Entry,Location_SL_IDs
O14497,SL-0191
O75376,SL-0191
P08519,
P49790,SL-0191; SL-0182; SL-0185
Q12888,SL-0191; SL-0468; SL-0149
Q5SW79,SL-0048; SL-0046; SL-0251
Q5VT06,SL-0048; SL-0251; SL-0191; SL-0046; SL-0087
Q685J3,SL-0039; SL-0243
Q8NEZ4,SL-0191
Q8NFD5,SL-0191
Q8WXI7,SL-0039; SL-0112
Q9C0C2,SL-0191; SL-0090; SL-0468
Q9NZM4,SL-0191
Q9ULI4,SL-0090
Q9UPA5,SL-0086; SL-0519; SL-0090; SL-0260
Q9Y4H2,SL-0091
Q9Y520,SL-0496
O15018,SL-0191; SL-0086; SL-0095; SL-0243
Q2LD37,SL-0097; SL-0015; SL-0039; SL-0171
Q8IWN7,SL-0304; SL-0458
Q8N3K9,SL-0191; SL-0239; SL-0086; SL-0198; SL-0315
Q96L96,SL-0191
Q9P2P6,SL-0046; SL-0191
Q9Y566,SL-0086; SL-0297; SL-0258
Q9Y6V0,SL-0519
Q03164,SL-0191
Q09666,SL-0191
Q5SSG8,SL-0039
Q5T1R4,SL-0086; SL-0191
Q68DE3,SL-0191
Q8IVL0,SL-0183; SL-0090
Q8NFC6,SL-0468
Q96RK0,SL-0191
A8CG34,SL-0185; SL-0182; SL-0097
O14686,SL-0191
O15417,SL-0191; SL-0468
O95359,SL-0086; SL-0191; SL-0048
P98088,SL-0243
Q12802,SL-0091; SL-0086; SL-0138; SL-0191; SL-0162
Q6W4X9,SL-0243
Q6ZRS2,SL-0191
Q8TCU4,SL-0086; SL-0048; SL-0087; SL-0448
Q96T58,SL-0191
Q9H7N4,SL-0191
Q9HCJ0,
Q9UKN1,SL-0162
Q9UPQ9,SL-0230
P20930,SL-0281
P78559,SL-0090
Q02817,SL-0243
Q15911,SL-0191; SL-0086
Q5JSZ5,
Q5TGY3,SL-0191; SL-0468
Q5VUA4,SL-0191
Q96JG9,SL-0191
Q96L91,SL-0191
Q9C0A1,SL-0191
Q9HC84,SL-0243
Q9ULL5,SL-0191; SL-0297; SL-0261
Q7Z5P9,SL-0243
Q8WUY3,SL-0086
