UniProt_ID,clean_global,clean_PICNIC_score,clean_PICNIC_GO_score,clean_PSAP_score,clean_PSPHunter_prob,clean_PSPire_score,clean_FuzDrop_pLLPS,clean_catGRANULE_score,clean_PLAAC_NLLR,clean_PScore_score,clean_ESpritz_score,clean_SEG_score,clean_DeepPhase_score,clean_SaPS_score,clean_PdPS_score,clean_PDL_score,clean_RY_score,clean_ParSe2_score,clean_LLPhyScore_score
Q9NUT2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P28288,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O95870,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q5T8D3,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q16570,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O95573,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60488,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9UKU0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9P0K1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O75077,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43306,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14514,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O94910,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9HAR2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8WXG9,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
P07550,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y4W6,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NUQ2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9BRQ8,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P51648,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9UM73,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
P51693,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q6UXV4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P05067,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False
Q8NBQ7,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P55087,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q96BM9,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NVJ2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8NBU5,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NVI7,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q5T9A4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q7Z3C6,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8WXF7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8NHH9,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q6DD88,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P54707,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9HD20,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P05023,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P50993,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P13637,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q13733,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P05026,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P14415,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14983,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P16615,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P20020,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q01814,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q16720,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P23634,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P98194,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P20648,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q96IX5,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q93050,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y2Q0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NTI2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O94766,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P51572,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P10415,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y276,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P35613,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q10589,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True
Q6UWU4,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q16790,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O43497,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P54289,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NY47,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P27824,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q03135,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P51679,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P20963,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P10747,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P07766,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P15529,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P60033,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P21926,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y6N8,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P19022,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P55283,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9HCU4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8N111,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P13569,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00533,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P08172,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P02708,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P11230,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
