tool,offset_auroc,auroc_vs_soluble,auroc_vs_membrane,auroc_shift
PICNIC (GO),0.14628106609624258,0.3774179780083383,0.7524042125497833,0.374986234541445
PICNIC,0.15255133313594027,0.38411389742939445,0.7597875889246253,0.37567369149523083
PdPS,0.22440980390752163,0.43581570436708905,0.7444649334904957,0.30864922912340664
PSPHunter,0.24048871346942963,0.5410428456711558,0.789009595751247,0.24796675008009117
PSPire,0.2529906991638916,0.45442601886163997,0.7168654615000623,0.2624394426384223
PDL,0.30386413628415115,0.4280863796332404,0.615756713193954,0.18767033356071355
catGRANULE,0.3166147038830667,0.5143102616294929,0.6994709435608917,0.18516068193139879
FuzDrop,0.33201203772746807,0.42737377015440586,0.6140679104353908,0.1866941402809849
PSAP,0.36335221298719944,0.41845722629494225,0.5575357977868336,0.13907857149189135
PScore,0.3818906238605289,0.48071768701542755,0.6006456685620598,0.11992798154663226
ESpritz,0.3842543461012609,0.41956770494338474,0.5431945529004918,0.12362684795710704
SaPS,0.39144535836601524,0.46389397682214384,0.5814278296500092,0.11753385282786533
ParSe2,0.4203103993470309,0.5459177139209216,0.625825971695822,0.0799082577749004
DeepPhase,0.4322597092556037,0.4563658260552317,0.5151004400368268,0.058734613981595074
R+Y,0.45875870057192986,0.49255224594204505,0.5372315236816486,0.04467927773960356
PLAAC,0.464669218116034,0.5259303487228968,0.5699039728524756,0.04397362412957884
SEG,0.5259769337493974,0.5272146043021149,0.4988271066495168,-0.02838749765259807
LLPhyScore,0.7086460516025902,0.7020530378409112,0.5080935465329084,-0.19395949130800283
