predictor,n_single,n_multi,rank_biserial,ci_lo,ci_hi,p,p_adj_BH,direction
PICNIC,249,210,0.44547714668196603,0.35673742589405244,0.5312860967680244,1.932904404655115e-16,3.479227928379207e-15,favours single-pass
PICNIC (GO),249,210,0.43956779498948184,0.3432281506980302,0.5302467010900747,4.776670241122746e-16,4.299003217010471e-15,favours single-pass
PSPHunter,249,210,0.3956205775482884,0.30267689806846443,0.4861187607573151,2.7618764714504606e-13,1.6571258828702762e-12,favours single-pass
PdPS,249,210,0.37349397590361444,0.27607095046854085,0.4663549435838592,5.315867286204401e-12,2.3921402787919804e-11,favours single-pass
PSPire,249,210,0.31604513291260283,0.21016733601070944,0.4166389366991777,5.34750353382141e-09,1.6042510601464232e-08,favours single-pass
FuzDrop,249,210,0.30061197169630915,0.2004259896729776,0.3992316886593995,2.8133063875136992e-08,6.329939371905823e-08,favours single-pass
PScore,234,206,0.2695626918927889,0.16184963903410501,0.3727475935607004,1.0552138678774034e-06,1.899384962179326e-06,favours single-pass
PDL,248,209,0.26913875598086134,0.1661049158820805,0.3664367572156197,7.094917333817382e-07,1.4189834667634764e-06,favours single-pass
PSAP,227,202,0.25101408819296034,0.1651371745104026,0.33311325075238796,1.7264041153932976e-08,4.439324868154194e-08,favours single-pass
ParSe2,249,210,0.20699942627653467,0.10243497800726707,0.30645773570472357,0.00013208875606737013,0.00021614523720115113,favours single-pass
catGRANULE,249,210,0.20003824823101923,0.09901128322815064,0.3014735131000191,0.00022100762110833762,0.0003315114316625064,favours single-pass
DeepPhase,246,208,0.1465759849906192,0.0358241479049405,0.2557159748280175,0.007095218913755296,0.00982414926519964,favours single-pass
PLAAC,248,210,0.08552227342549923,-0.019319796466973863,0.19177851382488484,0.11467499949664713,0.13760999939597654,no difference
ESpritz,249,210,0.08066551921973608,-0.015187894434882342,0.1821858864027538,0.10263644152151423,0.1319611390990897,no difference
R+Y,249,210,0.061369286670491574,-0.03663893669917764,0.16318273092369473,0.25723909489460295,0.28724634300709045,no difference
SEG,249,210,0.059552495697074104,-0.0397996748900363,0.17037339835532606,0.2712882128400299,0.28724634300709045,no difference
SaPS,249,210,0.04199655765920829,-0.059669152801682904,0.14413558997896328,0.4382286966158311,0.4382286966158311,no difference
LLPhyScore,249,210,-0.3384585962899216,-0.4353117230828074,-0.24355469497035762,4.1071313632107685e-10,1.4785672907558767e-09,favours multi-pass
