Predictor,Scenario,AUROC_full,AUROC_clean,AUROC_global,MaxMCC_full,MaxMCC_clean,MaxMCC_global,Delta_AUROC,CI_lo,CI_hi,N_pos_full,N_pos_clean,N_pos_global
PICNIC,Membrane vs proteome background,0.44,0.396,0.409,0.009,0.008,0.005,-0.043,0.327,0.475,60,48,4
PICNIC,Membrane vs membrane background,0.699,0.67,0.699,0.086,0.061,0.027,-0.029,0.597,0.737,60,48,4
PICNIC,Membrane vs single-pass background,0.569,0.527,0.554,0.074,0.037,0.021,-0.042,0.437,0.613,60,48,4
PICNIC,Membrane vs multi-pass background,0.806,0.787,0.818,0.226,0.156,0.067,-0.019,0.714,0.856,60,48,4
PICNIC (GO),Membrane vs proteome background,0.498,0.466,0.504,0.028,0.025,0.007,-0.032,0.381,0.557,60,48,4
PICNIC (GO),Membrane vs membrane background,0.713,0.698,0.765,0.167,0.144,0.048,-0.015,0.614,0.775,60,48,4
PICNIC (GO),Membrane vs single-pass background,0.603,0.58,0.637,0.159,0.143,0.046,-0.024,0.486,0.679,60,48,4
PICNIC (GO),Membrane vs multi-pass background,0.803,0.795,0.869,0.382,0.3,0.165,-0.008,0.717,0.863,60,48,4
PSPire,Membrane vs proteome background,0.63,0.681,0.592,0.041,0.038,0.014,0.051,0.586,0.782,60,32,4
PSPire,Membrane vs membrane background,0.766,0.814,0.736,0.3,0.353,0.096,0.048,0.722,0.894,60,32,4
PSPire,Membrane vs single-pass background,0.725,0.776,0.689,0.33,0.358,0.115,0.051,0.675,0.867,60,32,4
PSPire,Membrane vs multi-pass background,0.8,0.846,0.774,0.397,0.388,0.165,0.046,0.767,0.922,60,32,4
PSPHunter,Membrane vs proteome background,0.672,0.781,0.767,0.04,0.046,0.027,0.109,0.719,0.84,60,34,4
PSPHunter,Membrane vs membrane background,0.802,0.899,0.88,0.195,0.212,0.109,0.097,0.855,0.935,60,34,4
PSPHunter,Membrane vs single-pass background,0.721,0.834,0.823,0.201,0.222,0.117,0.113,0.768,0.894,60,34,4
PSPHunter,Membrane vs multi-pass background,0.868,0.951,0.927,0.382,0.403,0.249,0.084,0.924,0.974,60,34,4
SaPS,Membrane vs proteome background,0.628,0.636,0.762,0.045,0.058,0.018,0.008,0.538,0.724,60,36,4
SaPS,Membrane vs membrane background,0.712,0.719,0.89,0.143,0.166,0.061,0.007,0.61,0.826,60,36,4
SaPS,Membrane vs single-pass background,0.716,0.722,0.863,0.163,0.165,0.072,0.007,0.634,0.812,60,36,4
SaPS,Membrane vs multi-pass background,0.708,0.716,0.912,0.219,0.19,0.109,0.008,0.604,0.818,60,36,4
PdPS,Membrane vs proteome background,0.58,0.63,0.631,0.023,0.022,0.015,0.05,0.545,0.714,60,35,4
PdPS,Membrane vs membrane background,0.759,0.812,0.867,0.136,0.139,0.055,0.052,0.73,0.881,60,35,4
PdPS,Membrane vs single-pass background,0.689,0.742,0.789,0.136,0.143,0.061,0.053,0.655,0.822,60,35,4
PdPS,Membrane vs multi-pass background,0.817,0.869,0.931,0.271,0.289,0.105,0.052,0.791,0.93,60,35,4
PDL,Membrane vs proteome background,0.506,0.46,0.585,0.012,0.006,0.019,-0.046,0.367,0.552,59,43,4
PDL,Membrane vs membrane background,0.633,0.58,0.693,0.089,0.066,0.089,-0.053,0.475,0.674,59,43,4
PDL,Membrane vs single-pass background,0.576,0.523,0.643,0.086,0.06,0.107,-0.054,0.418,0.621,59,43,4
PDL,Membrane vs multi-pass background,0.679,0.627,0.734,0.193,0.149,0.153,-0.052,0.531,0.728,59,43,4
LLPhyScore,Membrane vs proteome background,0.376,,0.067,0.019,,0.002,,,,60,0,4
LLPhyScore,Membrane vs membrane background,0.488,,0.098,0.073,,0.003,,,,60,0,4
LLPhyScore,Membrane vs single-pass background,0.398,,0.057,0.07,,0.004,,,,60,0,4
