variable,type,n_in,median_in,median_out,stat,p_raw,p_fdr,sig_fdr05
Length (Spearman),continuous,60,-0.531,,-0.531,1.2498608881329053e-05,0.00019997774210126485,True
Leakage-flagged vs clean,binary(MWU),25,0.412,0.585,163.0,3.984174537805117e-05,0.0003187339630244094,True
Function: Kinase,binary(MWU),12,0.383,0.546,98.0,0.00046167430214882866,0.002094620994150075,True
TMD_count (Spearman),continuous,60,0.434,,0.434,0.0005236552485375187,0.002094620994150075,True
Function: Receptor Tyrosine Kinase,binary(MWU),11,0.371,0.536,92.0,0.000721010452520673,0.0023072334480661533,True
TMD_class: multi vs single,binary(MWU),21,0.585,0.423,205.0,0.0015687748401462538,0.004183399573723343,True
Function: Transferase,binary(MWU),14,0.398,0.532,183.0,0.015492656396012227,0.03541178604802795,True
Evidence in vivo (T vs F),binary(MWU),13,0.407,0.524,201.0,0.06202525620544252,0.1201827026354105,False
Function: Receptor,binary(MWU),27,0.423,0.555,322.0,0.06760277023241841,0.1201827026354105,False
Function: GPCR,binary(MWU),7,0.585,0.449,261.0,0.0842351141714395,0.1347761826743032,False
Function: Ion Channel,binary(MWU),5,0.668,0.449,197.0,0.11676363615057514,0.1698380162190184,False
Function: Transporter,binary(MWU),8,0.624,0.444,276.0,0.1444693193688102,0.1869641686393707,False
Function: Adhesion,binary(MWU),11,0.418,0.528,194.0,0.1519083870194887,0.1869641686393707,False
Function: Hydrolase,binary(MWU),5,0.58,0.485,174.0,0.34632167795291846,0.39579620337476396,False
LLPS_mode (Kruskal),multi(KW),60,,,2.889,0.4090741801970278,0.43634579221016295,False
role (Kruskal),multi(KW),60,,,1.507,0.4708194927864703,0.4708194927864703,False
