variable,type,n_in,median_in,median_out,stat,p_raw,p_fdr,sig_fdr05
Length,spearman,60,,,0.5566623599086794,3.862088437067245e-06,5.793132655600868e-05,True
leakage-flagged,mannwhitney,25,0.5812676838742697,0.4189699497994892,702.0,7.543645584283416e-05,0.0005657734188212562,True
Kinase,mannwhitney,12,0.6168368233596324,0.4591279945082195,475.0,0.0005676481357639258,0.002838240678819629,True
Receptor Tyrosine Kinase,mannwhitney,11,0.619247080534724,0.4616250897656681,443.0,0.0009496102545289871,0.003561038454483702,True
TMD_count,spearman,60,,,-0.4057578793272578,0.0012978926514884983,0.003893677954465495,True
multi-pass,mannwhitney,21,0.4189699497994892,0.5653109079852443,219.0,0.003232941564457032,0.008082353911142579,True
Transferase,mannwhitney,14,0.6116226858190623,0.46192092804218765,460.0,0.016253389395932398,0.03482869156271228,True
Receptor,mannwhitney,27,0.5678849972245646,0.456630899250771,568.0,0.06986474026667777,0.13099638800002084,False
GPCR,mannwhitney,7,0.4189699497994892,0.5395939246565227,113.0,0.09802576297700724,0.16337627162834542,False
Adhesion,mannwhitney,11,0.5653109079852443,0.4860429147072845,341.0,0.1749700556224455,0.2385955303942439,False
Ion Channel,mannwhitney,5,0.3643539677960915,0.5395939246565227,85.0,0.16942963779993525,0.2385955303942439,False
Transporter,mannwhitney,8,0.39177867836316266,0.5469301657993635,152.0,0.23231016629976686,0.2903877078747086,False
Hydrolase,mannwhitney,5,0.4192033889302338,0.5191633533969502,104.0,0.38865500982145595,0.44844808825552607,False
LLPS_mode,kruskal,60,,,2.7501894684075694,0.4317653891040797,0.46260577404008535,False
role,kruskal,60,,,1.2960449252676085,0.5230791632348404,0.5230791632348404,False
