variable,type,n_in,median_in,median_out,stat,p_raw,p_fdr,sig_fdr05
Length,spearman,60,,,0.5566623599086794,3.862088437067245e-06,6.565550343014317e-05,True
total_PTM,spearman,60,,,0.5039339265246136,4.046365804446327e-05,0.00034394109337793777,True
leakage-flagged,mannwhitney,25,0.5812676838742697,0.4189699497994892,702.0,7.543645584283416e-05,0.0004274732497760602,True
cyto_PTM,spearman,60,,,0.44978919675334905,0.00031154633339617775,0.0013240719169337555,True
Kinase,mannwhitney,12,0.6168368233596324,0.4591279945082195,475.0,0.0005676481357639,0.00193000366159726,True
Receptor Tyrosine Kinase,mannwhitney,11,0.619247080534724,0.4616250897656681,443.0,0.0009496102545289,0.002690562387831883,True
TMD_count,spearman,60,,,-0.4057578793272578,0.0012978926514884,0.003152025010757543,True
multi-pass,mannwhitney,21,0.4189699497994892,0.5653109079852443,219.0,0.003232941564457,0.006870000824471124,True
Transferase,mannwhitney,14,0.6116226858190623,0.4619209280421876,460.0,0.0162533893959323,0.030700846636761012,True
Receptor,mannwhitney,27,0.5678849972245646,0.456630899250771,568.0,0.0698647402666777,0.11877005845335209,False
GPCR,mannwhitney,7,0.4189699497994892,0.5395939246565227,113.0,0.0980257629770072,0.15149436096446567,False
Ion Channel,mannwhitney,5,0.3643539677960915,0.5395939246565227,85.0,0.1694296377999352,0.2288069958139672,False
Adhesion,mannwhitney,11,0.5653109079852443,0.4860429147072845,341.0,0.1749700556224455,0.2288069958139672,False
Transporter,mannwhitney,8,0.3917786783631626,0.5469301657993635,152.0,0.2323101662997668,0.2820909162211454,False
Hydrolase,mannwhitney,5,0.4192033889302338,0.5191633533969502,104.0,0.3886550098214559,0.44047567779765,False
LLPS_mode,kruskal,60,,,2.7501894684075694,0.4317653891040797,0.4587507259230847,False
role,kruskal,60,,,1.2960449252676085,0.5230791632348404,0.5230791632348404,False
