feature,rho,p,n,p_fdr,target
cyto_len,-0.5579784766999638,3.623183490381406e-06,60,1.9310442185336225e-05,mean_rank
log_length,-0.5566623599086794,3.862088437067245e-06,60,1.9310442185336225e-05,mean_rank
whole_FCR,-0.4126701861628231,0.0010505049638001257,60,0.002626262409500314,mean_rank
LCR_frac,-0.35617051695822305,0.005628182342510658,59,0.008442273513765986,mean_rank
cyto_frac,-0.3436386488634436,0.007183423586539436,60,0.009795577618008323,mean_rank
disorder_frac,-0.33434949113389056,0.009648156341332294,59,0.012060195426665367,mean_rank
ecto_frac,-0.2915324121753219,0.023819051809562838,60,0.02748352131872635,mean_rank
cyto_kappa,0.06775510204081632,0.6401271870153563,50,0.6401271870153563,mean_rank
whole_kappa,0.08846901917199224,0.5014675772213073,60,0.5372866898799721,mean_rank
TMD_count,0.4057578793272578,0.0012978926514884983,60,0.002781198538903925,mean_rank
cyto_FCR,0.4119186536278211,0.002956532344787606,50,0.004927553907979344,mean_rank
whole_NCPR,0.4242070604335534,0.0007306527069134475,60,0.0021919581207403426,mean_rank
cyto_NCPR,0.43056089177574397,0.0018015001864953616,50,0.003377812849678803,mean_rank
TM_frac,0.5127335892886026,2.8080530241961553e-05,60,0.00010530198840735583,mean_rank
whole_hydropathy,0.6904140038899695,1.037715462122014e-09,60,1.5565731931830212e-08,mean_rank
whole_hydropathy,-0.21644901361489305,0.09669460296393922,60,0.4834730148196961,rank_sd
cyto_NCPR,-0.19165386115067973,0.18242722279142243,50,0.4984881478610337,rank_sd
whole_NCPR,-0.15724030621559434,0.23020243479340424,60,0.4984881478610337,rank_sd
TMD_count,-0.15643519818173046,0.23262780233514904,60,0.4984881478610337,rank_sd
log_length,-0.11164367386009155,0.39573888478336233,60,0.7420104089688044,rank_sd
cyto_FCR,-0.07006170618360817,0.6287581126537247,50,0.9366075871902143,rank_sd
cyto_len,-0.0625236675912862,0.6350841127834571,60,0.9366075871902143,rank_sd
cyto_frac,0.008689136757062517,0.9474645004048041,60,0.9474645004048041,rank_sd
ecto_frac,0.010515195782659512,0.9364447338267409,60,0.9474645004048041,rank_sd
cyto_kappa,0.012244897959183673,0.9327402823164229,50,0.9474645004048041,rank_sd
TM_frac,0.01272664122556796,0.9231153154056071,60,0.9474645004048041,rank_sd
whole_FCR,0.05312586829674911,0.6868455639394905,60,0.9366075871902143,rank_sd
whole_kappa,0.158210614059461,0.2273027465482934,60,0.4984881478610337,rank_sd
LCR_frac,0.28457375020557646,0.028927915896733478,59,0.21695936922550108,rank_sd
disorder_frac,0.2923714208316025,0.02463723030203295,59,0.21695936922550108,rank_sd
