feature,rho,p,n,p_fdr
whole_hydropathy,-0.6904140038899695,1.037715462122014e-09,60,1.5565731931830212e-08
TM_frac,-0.5127335892886026,2.8080530241961553e-05,60,0.00010530198840735583
cyto_NCPR,-0.43056089177574397,0.0018015001864953616,50,0.003377812849678803
whole_NCPR,-0.4242070604335534,0.0007306527069134475,60,0.0021919581207403426
cyto_FCR,-0.4119186536278211,0.002956532344787606,50,0.004927553907979344
TMD_count,-0.4057578793272578,0.0012978926514884983,60,0.002781198538903925
whole_kappa,-0.08846901917199224,0.5014675772213073,60,0.5372866898799721
cyto_kappa,-0.06775510204081632,0.6401271870153563,50,0.6401271870153563
ecto_frac,0.2915324121753219,0.023819051809562838,60,0.02748352131872635
disorder_frac,0.33434949113389056,0.009648156341332294,59,0.012060195426665367
cyto_frac,0.3436386488634436,0.007183423586539436,60,0.009795577618008323
LCR_frac,0.35617051695822305,0.005628182342510658,59,0.008442273513765986
whole_FCR,0.4126701861628231,0.0010505049638001257,60,0.002626262409500314
log_length,0.5566623599086794,3.862088437067245e-06,60,1.9310442185336225e-05
cyto_len,0.5579784766999638,3.623183490381406e-06,60,1.9310442185336225e-05
