uniprot_id,protein_name,gene,organism,source
D0PV95,ATP-dependent RNA helicase laf-1;DEAD-box RNA helicase laf-1,laf-1;Y71H2AM.19,Caenorhabditis elegans,llps_natural
P35637,RNA-binding protein FUS;75 kDa DNA-pairing protein;Oncogene FUS;Oncogene TLS;POMp75;Translocated in liposarcoma protein,FUS;TLS,Homo sapiens,llps_natural
Q75E28,ABL158Cp,AGOS_ABL158C,Ashbya gossypii,llps_natural
P32588,Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1;ARS consensus-binding protein ACBP-60;Poly uridylate-binding protein,PUB1;RNP1;YNL016W;N2842,Saccharomyces cerevisiae,llps_natural
P40070,U6 snRNA-associated Sm-like protein LSm4,LSM4;SDB23;USS1;YER112W,Saccharomyces cerevisiae,llps_natural
P39936,Eukaryotic initiation factor 4F subunit p130;eIF4G2;mRNA cap-binding protein complex subunit p130,TIF4632;YGL049C,Saccharomyces cerevisiae,llps_natural
P31483,Nucleolysin TIA-1 isoform p40;RNA-binding protein TIA-1;T-cell-restricted intracellular antigen-1;p40-TIA-1,TIA1,Homo sapiens,llps_natural
P09651-2,Heterogeneous nuclear ribonucleoprotein A1;Helix-destabilizing protein;Single-strand RNA-binding protein;hnRNP core protein A1,HNRNPA1;HNRPA1,Homo sapiens,llps_natural
C5MKY7,Enhanced green fluorescent protein,egfp,Aequorea victoria,llps_natural
P26599,Polypyrimidine tract-binding protein 1;57 kDa RNA-binding protein PPTB-1;Heterogeneous nuclear ribonucleoprotein I,PTBP1;PTB,Homo sapiens,llps_natural
Q9NQI0,Probable ATP-dependent RNA helicase DDX4;DEAD box protein 4;Vasa homolog,DDX4;VASA,Homo sapiens,llps_natural
P55854,Small ubiquitin-related modifier 3;SUMO-3;SMT3 homolog 1;SUMO-2;Ubiquitin-like protein SMT3A;Smt3A;SUMO3;SMT3A;SMT3H1,SUMO3,Homo sapiens,llps_natural
O75928,E3 SUMO-protein ligase PIAS2;Androgen receptor-interacting protein 3;DAB2-interacting protein;E3 SUMO-protein transferase PIAS2;Msx-interacting zinc finger protein;PIAS-NY protein;Protein inhibitor of activated STAT x;Protein inhibitor of activated STAT2,PIAS2;PIASX,Homo sapiens,llps_natural
P16333,Cytoplasmic protein NCK1;NCK adaptor protein 1;SH2/SH3 adaptor protein NCK-alpha,NCK1;NCK,Homo sapiens,llps_natural
P00519,Tyrosine-protein kinase ABL1;Abelson murine leukemia viral oncogene homolog 1;Abelson tyrosine-protein kinase 1;Proto-oncogene c-Abl;p150,ABL1;ABL;JTK7,Homo sapiens,llps_natural
P05453,Eukaryotic peptide chain release factor GTP-binding subunit;ERF-3;ERF2;G1 to S phase transition protein 1;Omnipotent suppressor protein 2;PSI no more protein 2;Polypeptide release factor 3;Translation release factor 3,SUP35;GST1;PNM2;SAL3;SUF12;SUP2;YDR172W;YD9395.05,Saccharomyces cerevisiae,llps_natural
O74718,Eukaryotic peptide chain release factor GTP-binding subunit;ERF-3;ERF2;Polypeptide release factor 3;Translation release factor 3,sup35;SPCC584.04,Schizosaccharomyces pombe,llps_natural
Q22053,rRNA 2-O-methyltransferase fibrillarin;Histone-glutamine methyltransferase,fib-1;T01C3.7,Caenorhabditis elegans,llps_natural
P06748,Nucleophosmin;Nucleolar phosphoprotein B23;Nucleolar protein NO38;Numatrin,NPM1;NPM,Homo sapiens,llps_natural
J3QQ18,Ras/Rap GTPase-activating protein SynGAP,Syngap1,Mus musculus,llps_natural
P78352-3,Disks large homolog 4;Postsynaptic density protein 95;Synapse-associated protein 90,DLG4;PSD95,Homo sapiens,llps_natural
Q13148,TAR DNA-binding protein 43,TARDBP;TDP43,Homo sapiens,llps_natural
Q06787,Synaptic functional regulator FMR1;Fragile X mental retardation protein 1,FMR1,Homo sapiens,llps_natural
Q9TYK1,Probable H/ACA ribonucleoprotein complex subunit 1-like protein,Y66H1A.4,Caenorhabditis elegans,llps_natural
P10636-8,Microtubule-associated protein tau;Neurofibrillary tangle protein;Paired helical filament-tau,MAPT;MAPTL;MTBT1;TAU,Homo sapiens,llps_natural
P45973,Chromobox protein homolog 5;Antigen p25;Heterochromatin protein 1 homolog alpha,CBX5;HP1A,Homo sapiens,llps_natural
P83916,Chromobox protein homolog 1;HP1Hsbeta;Heterochromatin protein 1 homolog beta;Heterochromatin protein p25;M31;Modifier 1 protein;p25beta,CBX1;CBX,Homo sapiens,llps_natural
Q5FBB7,Shugoshin 1;Serologically defined breast cancer antigen NY-BR-85;Shugoshin-like 1,SGO1;SGOL1,Homo sapiens,llps_natural
Q14739,Lamin-B receptor;Integral nuclear envelope inner membrane protein;LMN2R,LBR,Homo sapiens,llps_natural
Q9UHD9,Ubiquilin-2;Chap1;DSK2 homolog;Protein linking IAP with cytoskeleton 2;Ubiquitin-like product Chap1/Dsk2,UBQLN2;N4BP4;PLIC2;HRIHFB2157,Homo sapiens,llps_natural
P0CG48,Polyubiquitin-C,UBC,Homo sapiens,llps_natural
P46777,60S ribosomal protein L5;Large ribosomal subunit protein uL18,RPL5;MSTP030,Homo sapiens,llps_natural
Q13823,Nucleolar GTP-binding protein 2;Autoantigen NGP-1,GNL2;NGP1,Homo sapiens,llps_natural
O75683,Surfeit locus protein 6,SURF6;SURF-6,Homo sapiens,llps_natural
