uniprot_id,protein_name,gene_names,organism,source
P35637,RNA-binding protein FUS,FUS TLS,Homo sapiens,phasepdb
Q13148,TAR DNA-binding protein 43,TARDBP TDP43,Homo sapiens,phasepdb
Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1 G3BP,Homo sapiens,phasepdb
P10636,Microtubule-associated protein tau,MAPT MAPTL MTBT1 TAU,Homo sapiens,phasepdb
P09651,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1 HNRPA1,Homo sapiens,phasepdb
P06748,Nucleophosmin,NPM1 NPM,Homo sapiens,phasepdb
Q13501,Sequestosome-1,SQSTM1 ORCA OSIL,Homo sapiens,phasepdb
P37840,Alpha-synuclein,SNCA NACP PARK1,Homo sapiens,phasepdb
O60885,Bromodomain-containing protein 4,BRD4 HUNK1,Homo sapiens,phasepdb
P45973,Chromobox protein homolog 5,CBX5 HP1A,Homo sapiens,phasepdb
P31483,Cytotoxic granule associated RNA binding protein TIA1,TIA1,Homo sapiens,phasepdb
P46937,Transcriptional coactivator YAP1,YAP1 YAP65,Homo sapiens,phasepdb
Q01844,RNA-binding protein EWS,EWSR1 EWS,Homo sapiens,phasepdb
Q15648,Mediator of RNA polymerase II transcription subunit 1,MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A,Homo sapiens,phasepdb
Q92804,TATA-binding protein-associated factor 2N,TAF15 RBP56 TAF2N,Homo sapiens,phasepdb
Q9NQI0,Probable ATP-dependent RNA helicase DDX4,DDX4 VASA,Homo sapiens,phasepdb
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1 HNRPA2B1,Homo sapiens,phasepdb
P24928,DNA-directed RNA polymerase II subunit RPB1,POLR2A POLR2,Homo sapiens,phasepdb
P52948,Nuclear pore complex protein Nup98-Nup96,NUP98 ADAR2,Homo sapiens,phasepdb
P04637,Cellular tumor antigen p53,TP53 P53,Homo sapiens,phasepdb
Q14444,Caprin-1,CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105,Homo sapiens,phasepdb
O15169,Axin-1,AXIN1 AXIN,Homo sapiens,phasepdb
P29590,Protein PML,PML MYL PP8675 RNF71 TRIM19,Homo sapiens,phasepdb
Q9UHD9,Ubiquilin-2,UBQLN2 N4BP4 PLIC2,Homo sapiens,phasepdb
Q9UN86,Ras GTPase-activating protein-binding protein 2,G3BP2 KIAA0660,Homo sapiens,phasepdb
P22087,rRNA 2'-O-methyltransferase fibrillarin,FBL FIB1 FLRN,Homo sapiens,phasepdb
P23246,"Splicing factor, proline- and glutamine-rich",SFPQ PSF,Homo sapiens,phasepdb
Q09472,Histone acetyltransferase p300,EP300 P300,Homo sapiens,phasepdb
Q12888,TP53-binding protein 1,TP53BP1,Homo sapiens,phasepdb
Q15233,Non-POU domain-containing octamer-binding protein,NONO NRB54,Homo sapiens,phasepdb
Q8N884,Cyclic GMP-AMP synthase,CGAS C6orf150 MB21D1,Homo sapiens,phasepdb
O00571,ATP-dependent RNA helicase DDX3X,DDX3X DBX DDX3,Homo sapiens,phasepdb
