uniprot_id,protein_name,gene,organism,source
Q75E28,ABL158Cp,AGOS_ABL158C,Ashbya gossypii,phasepro
D0PV95,ATP-dependent RNA helicase laf-1,LAF-1,Caenorhabditis elegans,phasepro
Q7ZXV8,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207,Xenopus laevis,phasepro
P35637,RNA-binding protein FUS,FUS,Homo sapiens,phasepro
Q06787,Synaptic functional regulator FMR1,FMR1,Homo sapiens,phasepro
Q92804,TATA-binding protein-associated factor 2N,TAF15,Homo sapiens,phasepro
Q13148,TAR DNA-binding protein 43,TARDBP,Homo sapiens,phasepro
Q8SWR8,Ataxin-2 homolog,ATX2,Drosophila melanogaster,phasepro
Q01844,RNA-binding protein EWS,EWSR1,Homo sapiens,phasepro
P09651,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,Homo sapiens,phasepro
P22626-2,Isoform A2 of Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,Homo sapiens,phasepro
P31483,Nucleolysin TIA-1 isoform p40,TIA1,Homo sapiens,phasepro
O60500,Nephrin,NPHS1,Homo sapiens,phasepro
O00401,Neural Wiskott-Aldrich syndrome protein,WASL,Homo sapiens,phasepro
P16333,Cytoplasmic protein NCK1,NCK1,Homo sapiens,phasepro
Q9NQI0,Probable ATP-dependent RNA helicase DDX4,DDX4,Homo sapiens,phasepro
O00571,ATP-dependent RNA helicase DDX3X,DDX3X,Homo sapiens,phasepro
P52948,Nuclear pore complex protein Nup98-Nup96,NUP98,Homo sapiens,phasepro
P14907,Nucleoporin NSP1,NSP1,Saccharomyces cerevisiae,phasepro
Q02629,Nucleoporin NUP100/NSP100,NUP100,Saccharomyces cerevisiae,phasepro
P15502,Elastin,ELN,Homo sapiens,phasepro
G5EBV6,Guanyl-specific ribonuclease pgl-3,PGL-3,Caenorhabditis elegans,phasepro
Q9TXM1,Uncharacterized protein,MEG-3,Caenorhabditis elegans,phasepro
P32588,Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1,PUB1,Saccharomyces cerevisiae,phasepro
P39936,Eukaryotic initiation factor 4F subunit p130,TIF4632,Saccharomyces cerevisiae,phasepro
Q96PK6,RNA-binding protein 14,RBM14,Homo sapiens,phasepro
P45973,Chromobox protein homolog 5,CBX5,Homo sapiens,phasepro
P05205,Heterochromatin protein 1,SU(VAR)205,Drosophila melanogaster,phasepro
P04147,"Polyadenylate-binding protein, cytoplasmic and nuclear",PAB1,Saccharomyces cerevisiae,phasepro
Q22053,rRNA 2-O-methyltransferase fibrillarin,FIB-1,Caenorhabditis elegans,phasepro
P06748,Nucleophosmin,NPM1,Homo sapiens,phasepro
P91349,Spindle-defective protein 5,SPD-5,Caenorhabditis elegans,phasepro
Q9UHD9,Ubiquilin-2,UBQLN2,Homo sapiens,phasepro
D8V196,Cytoplasmic polyadenylation element binding protein 4,CPEB4,Xenopus laevis,phasepro
Q16082,Heat shock protein beta-2,HSPB2,Homo sapiens,phasepro
P10636-8,Isoform Tau-F of Microtubule-associated protein tau,MAPT,Homo sapiens,phasepro
Q9UPQ9,Trinucleotide repeat-containing gene 6B protein,TNRC6B,Homo sapiens,phasepro
J3QQ18,Ras/Rap GTPase-activating protein SynGAP,SYNGAP1,Mus musculus,phasepro
P17931,Galectin-3,LGALS3,Homo sapiens,phasepro
Q7YU08,LD15974p,RBFOX1,Drosophila melanogaster,phasepro
Q13501,Sequestosome-1,SQSTM1,Homo sapiens,phasepro
O43561,Linker for activation of T-cells family member 1,LAT,Homo sapiens,phasepro
P62993,Growth factor receptor-bound protein 2,GRB2,Homo sapiens,phasepro
Q07889,Son of sevenless homolog 1,SOS1,Homo sapiens,phasepro
Q15233,Non-POU domain-containing octamer-binding protein,NONO,Homo sapiens,phasepro
