UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane
P35637,RNA-binding protein FUS,FUS TLS,DNA damage foci; Mesh-like condensate; Neuronal granule; Nuclear pore complex; Nuclear speckle; Nucleolus; Oskar granule; Paraspeckle; Stress granule; Transcriptional condensate,LLPSDB+PhasePDB,False
Q13148,TAR DNA-binding protein 43,TARDBP TDP43,Anisosome; Cajal body; Inclusion body; Nuclear body; Nuclear speckle; Nucleolus; Paraspeckle; PML nuclear body; RNP transport granule; Stress granule; TDP-43 nuclear condensate,LLPSDB+PhasePDB,False
Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1 G3BP,Neuronal granule; P-body; SARS-CoV-2 N condensate; Stress granule,PhasePDB,False
P10636,Microtubule-associated protein tau,MAPT MAPTL MTBT1 TAU,Nuclear pore complex; Nuclear speckle; Stress granule; Tau condensate,PhasePDB,False
P09651,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1 HNRPA1,Nuclear body; Nuclear speckle; Stress granule,PhasePDB,False
P06748,Nucleophosmin,NPM1 NPM,Nucleolus; ViPR body,LLPSDB+PhasePDB,False
Q13501,Sequestosome-1,SQSTM1 ORCA OSIL,Nucleolus; p62 cluster; PML nuclear body; Stress granule,LLPSDB+PhasePDB,False
P37840,Alpha-synuclein,SNCA NACP PARK1,Inclusion body; P-body; Postsynaptic density; Stress granule; Synapsin condensate; α-synuclein condensates,PhasePDB,False
O60885,Bromodomain-containing protein 4,BRD4 HUNK1,PML nuclear body; Transcriptional condensate,LLPSDB+PhasePDB,False
P45973,Chromobox protein homolog 5,CBX5 HP1A,Heterochromatin; Nucleolus; Stress granule,LLPSDB+PhasePDB,False
P31483,Cytotoxic granule associated RNA binding protein TIA1,TIA1,P-body; Stress granule,LLPSDB+PhasePDB,False
P46937,Transcriptional coactivator YAP1,YAP1 YAP65,Receptor cluster; Transcriptional condensate,PhasePDB,False
Q01844,RNA-binding protein EWS,EWSR1 EWS,DNA damage foci,LLPSDB+PhasePDB,False
Q15648,Mediator of RNA polymerase II transcription subunit 1,MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A,Mediator condensate; Nuclear speckle; Transcriptional condensate,LLPSDB+PhasePDB,False
Q92804,TATA-binding protein-associated factor 2N,TAF15 RBP56 TAF2N,DNA damage foci; Nucleolus; Transcriptional condensate,PhasePDB,False
