Tool,N_pos_leaked,N_neg_leaked,N_contradictory,N_clean,Clean_IDs,Note
PSAP,2,0,0,58,O00254;O14763;O60500;O60733;O75445;O75460;O75581;P00533;P01857;P04626;P05067;P05556;P07766;P07949;P08172;P08247;P08908;P10747;P11362;P13569;P15529;P15941;P15954;P17948;P20963;P21802;P29317;P31431;P31645;P35968;P40967;P46531;P49146;P61073;P63027;Q03135;Q04671;Q07065;Q08345;Q12879;Q13021;Q14739;Q14BN4;Q15303;Q16635;Q7Z3C6;Q7Z434;Q86WV6;Q8N114;Q8TEM1;Q8WXG9;Q9BR39;Q9BRQ8;Q9H3U5;Q9H461;Q9UJA2;Q9UM73;Q9Y624,"EMBO Mol Med 2021; 90 human proteins (paper's Table S1) + O43561 (LAT_HUMAN), pr"
DeePhase,1,2,0,57,O00254;O14763;O43561;O60733;O75445;O75460;O75581;P00533;P01857;P04626;P05556;P07766;P07949;P08172;P08247;P10747;P11362;P13569;P15529;P15941;P15954;P17948;P20963;P21802;P29317;P31431;P31645;P35968;P40967;P46531;P49146;P61073;P63027;Q03135;Q04671;Q07065;Q08345;Q12879;Q13021;Q14739;Q14BN4;Q15303;Q16635;Q7Z3C6;Q7Z434;Q86WV6;Q8N114;Q8NC56;Q8TEM1;Q8WXG9;Q9BR39;Q9BRQ8;Q9H3U5;Q9H461;Q9UJA2;Q9UM73;Q9Y624,github.com/kadiliissaar/DeePhase; in vitro homotypic <100µM filter
PSPHunter,4,22,0,34,O14763;O60733;O75445;O75460;O75581;P00533;P04626;P05556;P07949;P08247;P11362;P13569;P17948;P20963;P21802;P29317;P31645;P35968;P46531;P61073;Q07065;Q08345;Q12879;Q14739;Q14BN4;Q15303;Q7Z434;Q8NC56;Q8TEM1;Q8WXG9;Q9BRQ8;Q9H461;Q9UM73;Q9Y624,Nat Commun 15:2662; hPS167 positives + 5754 negatives
PSPire,10,18,0,32,O75445;O75581;P00533;P04626;P05556;P07949;P08172;P08247;P08908;P11362;P13569;P15954;P21802;P29317;P31645;P46531;P63027;Q03135;Q07065;Q12879;Q13021;Q14739;Q14BN4;Q15303;Q16635;Q7Z3C6;Q7Z434;Q8TEM1;Q8WXG9;Q9BRQ8;Q9H461;Q9UM73,Nat Commun 15:2147 Suppl Data 4; 259 pos + 8323 neg (Training split only)
PICNIC,9,3,0,48,O00254;O14763;O60733;O75445;O75460;O75581;P01857;P04626;P07766;P07949;P08172;P08247;P10747;P11362;P13569;P15529;P15941;P15954;P20963;P21802;P29317;P31431;P31645;P40967;P46531;P61073;P63027;Q03135;Q04671;Q07065;Q08345;Q12879;Q14739;Q14BN4;Q16635;Q7Z3C6;Q7Z434;Q86WV6;Q8N114;Q8NC56;Q8TEM1;Q8WXG9;Q9BRQ8;Q9H3U5;Q9H461;Q9UJA2;Q9UM73;Q9Y624,Edmond doi:10.17617/3.0Y9Q8N; CD-CODE-derived; 2142 pos + 1709 neg
PDL,16,0,0,44,O00254;O14763;O43561;O60733;O75445;O75460;O75581;P00533;P05067;P05556;P07766;P08172;P08247;P10747;P13569;P15529;P15941;P15954;P20963;P29317;P31431;P31645;P35968;P46531;P49146;P61073;P63027;Q03135;Q04671;Q07065;Q08345;Q12879;Q13021;Q14BN4;Q16635;Q7Z3C6;Q8N114;Q8TEM1;Q8WXG9;Q9BRQ8;Q9H3U5;Q9H461;Q9UJA2;Q9Y624,github.com/xmuzhanglab/PSPsPredict; ProtT5+KmerConv; 448 pos + 525 neg
SaPS,1,23,0,36,O43561;O60500;O75581;P00533;P01857;P05067;P05556;P08172;P08247;P08908;P11362;P13569;P15954;P17948;P21802;P29317;P31645;P35968;P40967;P46531;P63027;Q03135;Q07065;Q12879;Q13021;Q14739;Q14BN4;Q15303;Q16635;Q7Z3C6;Q7Z434;Q86WV6;Q8TEM1;Q9BR39;Q9BRQ8;Q9H461,PNAS 119:e2115369119 Suppl S2; hSaPS pos (59) + hNoPS neg (8801)
PdPS,2,23,0,35,O75581;P00533;P01857;P05067;P05556;P08172;P08247;P08908;P11362;P13569;P15954;P17948;P21802;P29317;P31645;P35968;P40967;P46531;P63027;Q03135;Q07065;Q12879;Q13021;Q14739;Q14BN4;Q15303;Q16635;Q7Z3C6;Q7Z434;Q86WV6;Q8NC56;Q8TEM1;Q9BR39;Q9BRQ8;Q9H461,PNAS 119:e2115369119 Suppl S2; hPdPS pos (96); same negatives as SaPS
MolPhase,8,0,0,52,O00254;O14763;O60733;O75445;O75460;O75581;P00533;P01857;P04626;P05556;P07766;P07949;P08172;P08247;P10747;P11362;P13569;P15529;P15941;P15954;P17948;P20963;P21802;P29317;P31431;P31645;P35968;P46531;P49146;P61073;P63027;Q03135;Q04671;Q07065;Q08345;Q12879;Q13021;Q14739;Q14BN4;Q15303;Q16635;Q7Z3C6;Q8N114;Q8TEM1;Q8WXG9;Q9BR39;Q9BRQ8;Q9H3U5;Q9H461;Q9UJA2;Q9UM73;Q9Y624,EMBO J 2024; 606 positives from multi-DB; PDB-derived negatives have no UniProt 
Opt_PredLLPS,15,0,0,45,O00254;O14763;O60733;O75445;O75460;O75581;P00533;P04626;P05556;P07766;P08172;P08247;P10747;P13569;P15529;P15941;P15954;P17948;P20963;P21802;P29317;P31431;P31645;P46531;P49146;P61073;P63027;Q03135;Q04671;Q07065;Q08345;Q12879;Q13021;Q14739;Q14BN4;Q16635;Q7Z3C6;Q8N114;Q8TEM1;Q8WXG9;Q9BRQ8;Q9H3U5;Q9H461;Q9UJA2;Q9Y624,Briefings Bioinform 2024; successor to PredLLPS_PSSM; 798 pos + 798 neg
MambaPhase,9,38,0,13,O75581;P00533;P01857;P08172;P13569;P21802;P29317;P31645;P46531;P63027;Q14739;Q7Z434;Q9H461,Briefings Bioinform 2025; ESM2+Mamba; human subset; scaffold+client=pos (2775); 
Seq2Phase,9,38,0,13,O75581;P00533;P01857;P08172;P13569;P21802;P29317;P31645;P46531;P63027;Q14739;Q7Z434;Q9H461,Bioinformatics Advances 2023; DrLLPS clients; human scaffold+client=pos (2775); 
LLPhyScore,2,7,0,0,,"github.com/julie-forman-kay-lab/LLPhyScore; 305 train pos (construct/gene names,"
