Predictor,Scenario,AUROC_mean,AUROC_sd,AUROC_lo,AUROC_hi,n_neg
PICNIC,Proteome background (full),0.44,0.0,0.44,0.44,19593
PICNIC,Membrane background (full),0.699,0.0,0.699,0.699,5132
PICNIC,Proteome background (1:1 matched),0.353,0.033,0.293,0.415,60
PICNIC,Proteome background (1:10 matched),0.347,0.01,0.329,0.366,600
PICNIC,Membrane background (1:1 matched),0.705,0.033,0.639,0.761,60
PICNIC,Membrane background (1:10 matched),0.699,0.011,0.677,0.724,600
PICNIC (GO),Proteome background (full),0.498,0.0,0.498,0.498,19593
PICNIC (GO),Membrane background (full),0.713,0.0,0.713,0.713,5132
PICNIC (GO),Proteome background (1:1 matched),0.416,0.028,0.368,0.48,60
PICNIC (GO),Proteome background (1:10 matched),0.415,0.008,0.399,0.429,600
PICNIC (GO),Membrane background (1:1 matched),0.718,0.028,0.664,0.769,60
PICNIC (GO),Membrane background (1:10 matched),0.714,0.009,0.699,0.733,600
PSPire,Proteome background (full),0.63,0.0,0.63,0.63,19593
PSPire,Membrane background (full),0.766,0.0,0.766,0.766,5132
PSPire,Proteome background (1:1 matched),0.588,0.034,0.512,0.641,60
PSPire,Proteome background (1:10 matched),0.58,0.01,0.564,0.598,600
PSPire,Membrane background (1:1 matched),0.771,0.023,0.727,0.813,60
PSPire,Membrane background (1:10 matched),0.766,0.007,0.753,0.78,600
PSPHunter,Proteome background (full),0.672,0.0,0.672,0.672,19593
PSPHunter,Membrane background (full),0.802,0.0,0.802,0.802,5132
PSPHunter,Proteome background (1:1 matched),0.627,0.034,0.563,0.689,60
PSPHunter,Proteome background (1:10 matched),0.624,0.011,0.599,0.646,600
PSPHunter,Membrane background (1:1 matched),0.805,0.023,0.757,0.849,60
PSPHunter,Membrane background (1:10 matched),0.802,0.008,0.785,0.816,600
SaPS,Proteome background (full),0.628,0.0,0.628,0.628,19593
SaPS,Membrane background (full),0.712,0.0,0.712,0.712,5132
SaPS,Proteome background (1:1 matched),0.598,0.034,0.529,0.675,60
SaPS,Proteome background (1:10 matched),0.597,0.012,0.575,0.625,600
SaPS,Membrane background (1:1 matched),0.712,0.026,0.664,0.762,60
SaPS,Membrane background (1:10 matched),0.713,0.008,0.696,0.729,600
PdPS,Proteome background (full),0.58,0.0,0.58,0.58,19593
PdPS,Membrane background (full),0.759,0.0,0.759,0.759,5132
PdPS,Proteome background (1:1 matched),0.521,0.035,0.457,0.584,60
PdPS,Proteome background (1:10 matched),0.515,0.012,0.49,0.54,600
PdPS,Membrane background (1:1 matched),0.765,0.026,0.709,0.812,60
PdPS,Membrane background (1:10 matched),0.76,0.009,0.741,0.777,600
PDL,Proteome background (full),0.506,0.0,0.506,0.506,19593
PDL,Membrane background (full),0.633,0.0,0.633,0.633,5132
PDL,Proteome background (1:1 matched),0.46,0.037,0.399,0.522,60
PDL,Proteome background (1:10 matched),0.46,0.012,0.437,0.484,600
PDL,Membrane background (1:1 matched),0.638,0.031,0.585,0.691,60
PDL,Membrane background (1:10 matched),0.633,0.01,0.615,0.652,600
LLPhyScore,Proteome background (full),0.376,0.0,0.376,0.376,19593
LLPhyScore,Membrane background (full),0.488,0.0,0.488,0.488,5132
LLPhyScore,Proteome background (1:1 matched),0.334,0.029,0.283,0.378,60
LLPhyScore,Proteome background (1:10 matched),0.335,0.009,0.319,0.349,600
LLPhyScore,Membrane background (1:1 matched),0.488,0.026,0.427,0.532,60
LLPhyScore,Membrane background (1:10 matched),0.489,0.008,0.472,0.503,600
PScore,Proteome background (full),0.604,0.0,0.604,0.604,19593
PScore,Membrane background (full),0.668,0.0,0.668,0.668,5132
PScore,Proteome background (1:1 matched),0.575,0.033,0.514,0.639,60
