tool,tool_type,spliced_approach_label,unspliced_approach_label,n_spliced_scored,n_unspliced_scored,n_whole_scored
DeePhase,sequence,concatenated,segment (mean),154,154,154
ESpritz,sequence,concatenated,segment (mean),159,159,159
FuzDrop,sequence,concatenated,segment (mean),107,85,157
LLPhyScore,sequence,concatenated,segment (mean),159,159,159
PLAAC,sequence,concatenated,segment (mean),159,159,159
PSAP,sequence,concatenated,segment (mean),159,159,159
PSPHunter,sequence,concatenated,segment (mean),159,159,159
PSPsPredict,sequence,concatenated,segment (mean),159,159,159
PScore,sequence,concatenated,segment (mean),154,154,154
ParSe2,sequence,concatenated,segment (mean),119,105,159
SEG,sequence,concatenated,segment (mean),159,159,159
catGRANULE,sequence,concatenated,segment (mean),142,142,143
PICNIC,structure,pdb_concatenated,segment (mean),146,149,149
PSPire,structure,pdb_concatenated,segment (mean),146,149,149
