Region,Batch file,UniProt_IDs,n_seqs,Scores (paste here)
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch01.fasta,P15941;Q7Z434;Q9BR39;O43561;P31431,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch02.fasta,O75445;Q9UM73;Q9H461;O14763;P46531,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch03.fasta,Q8N114;Q07065;P08172;Q08345;O60500,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch04.fasta,P05067;Q8WXG9;P11362;P40967;P07766,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch05.fasta,P20963;P04626;O75460;P35968;Q12879,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch06.fasta,Q86WV6;P07949;P08908;Q7Z3C6;O75581,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch07.fasta,P63027;Q04671;Q14BN4;P15529;Q8TEM1,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch08.fasta,P00533;P21802;P08247;P29317;P17948,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch09.fasta,P05556;P10747;P61073;Q15303;O00254,5,
Cytoplasmic,output/topology_fasta/PSPHunter_batches/Cytoplasmic_batch10.fasta,Q9Y624;P31645;P49146;P13569;Q03135,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch01.fasta,P15941;Q7Z434;Q9BR39;O43561;P31431,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch02.fasta,O75445;Q9UM73;Q9H461;O14763;P46531,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch03.fasta,Q8N114;Q07065;P08172;Q08345;O60500,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch04.fasta,P05067;Q8WXG9;P11362;Q8NC56;P40967,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch05.fasta,P07766;P20963;P04626;O75460;P35968,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch06.fasta,Q12879;Q86WV6;P07949;P08908;Q7Z3C6,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch07.fasta,O75581;P63027;O60733;Q04671;Q14BN4,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch08.fasta,P15529;Q8TEM1;Q9UJA2;P00533;P21802,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch09.fasta,P08247;Q14739;P29317;P17948;P05556,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch10.fasta,P10747;P61073;Q15303;O00254;Q9H3U5,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch11.fasta,Q9Y624;P31645;P49146;P15954;P13569,5,
Transmembrane,output/topology_fasta/PSPHunter_batches/Transmembrane_batch12.fasta,Q9BRQ8;Q13021,2,
Extracellular_Lumenal,output/topology_fasta/PSPHunter_batches/Extracellular_Lumenal_batch01.fasta,P15941;Q7Z434;O43561;P31431;O75445,5,
Extracellular_Lumenal,output/topology_fasta/PSPHunter_batches/Extracellular_Lumenal_batch02.fasta,Q9UM73;Q9H461;O14763;P46531;Q8N114,5,
Extracellular_Lumenal,output/topology_fasta/PSPHunter_batches/Extracellular_Lumenal_batch03.fasta,Q07065;P08172;Q08345;O60500;P05067,5,
Extracellular_Lumenal,output/topology_fasta/PSPHunter_batches/Extracellular_Lumenal_batch04.fasta,Q8WXG9;P11362;P40967;P07766;P20963,5,
Extracellular_Lumenal,output/topology_fasta/PSPHunter_batches/Extracellular_Lumenal_batch05.fasta,P04626;O75460;P35968;Q12879;Q86WV6,5,
Extracellular_Lumenal,output/topology_fasta/PSPHunter_batches/Extracellular_Lumenal_batch06.fasta,P07949;P08908;P01857;Q7Z3C6;O75581,5,
