Tool,Region,n,mean_delta,median_delta,frac_region_higher,wilcoxon_p
catGRANULE,Cytoplasmic,43,1.179,0.6155,0.651,0.0031
catGRANULE,Transmembrane,51,-1.7881,-1.8456,0.196,0.0001
catGRANULE,Extracellular/Lumenal,48,-0.4526,-0.0708,0.438,0.2157
PLAAC,Cytoplasmic,50,0.0263,0.0004,0.76,0.0004
PLAAC,Transmembrane,57,-0.0144,-0.0013,0.018,0.0
PLAAC,Extracellular/Lumenal,52,-0.0097,-0.0001,0.327,0.013
PScore,Cytoplasmic,49,0.0816,-0.0248,0.449,0.9371
PScore,Transmembrane,55,-0.8241,-0.6456,0.182,0.0
PScore,Extracellular/Lumenal,50,-0.0143,0.0803,0.68,0.0862
ESpritz,Cytoplasmic,50,0.086,0.0702,0.9,0.0
ESpritz,Transmembrane,57,-0.0679,-0.0559,0.123,0.0
ESpritz,Extracellular/Lumenal,52,-0.042,-0.0362,0.192,0.0
SEG,Cytoplasmic,50,0.0066,-0.013,0.32,0.2273
SEG,Transmembrane,57,0.2778,0.08,0.561,0.0002
SEG,Extracellular/Lumenal,52,-0.0457,-0.0278,0.173,0.0002
ParSe2,Cytoplasmic,50,0.1077,0.0134,0.7,0.0035
ParSe2,Transmembrane,57,-0.1278,-0.0743,0.0,0.0
ParSe2,Extracellular/Lumenal,48,-0.0254,-0.0012,0.375,0.0982
