Cluster,Size,Internal_Edges,External_Edges,Density,Avg_pLLPS,Members
1,1617,7782,35300,0.005956207865684527,0.9084353741496599,"CACNG4, DLGAP1, PSD, STRN4, FCAMR..."
2,5,9,16,0.9,0.9119999999999999,"SMIM41, TMDD1, SMIM28, SMIM31, SMIM38"
3,2,1,6,1.0,0.97,"SPATA31D1, SDK1"
4,2,1,34,1.0,0.845,"GGT7, GGT6"
5,2,1,3,1.0,0.86,"QRICH2, CFAP65"
6,2,1,3,1.0,0.885,"RFTN2, ARL6IP6"
7,2,1,1,1.0,0.985,"PRRT4, ARMH4"
8,2,1,17,1.0,0.87,"FNDC4, CRCP"
9,2,1,9,1.0,0.78,"PCDHA8, PCDHA13"
10,2,1,14,1.0,0.94,"RNF223, RNF19A"
11,1,0,2,0.0,0.98,CCDC107
12,1,0,5,0.0,0.98,PPM1G
13,1,0,2,0.0,0.9,SMCP
14,1,0,3,0.0,1.0,C11orf87
15,1,0,5,0.0,0.77,NOA1
16,1,0,24,0.0,0.82,RAET1G
17,1,0,2,0.0,0.95,C19orf18
18,1,0,2,0.0,0.96,C10orf105
19,1,0,2,0.0,0.94,C1orf115
20,1,0,3,0.0,1.0,MAP6
21,1,0,1,0.0,0.78,LRRN4CL
22,1,0,15,0.0,0.93,SGSM1
23,1,0,5,0.0,0.7,DCUN1D3
24,1,0,4,0.0,0.86,RALGPS1
25,1,0,4,0.0,0.82,SAYSD1
26,1,0,4,0.0,0.94,CHIC1
27,1,0,8,0.0,1.0,AKNA
28,1,0,11,0.0,0.91,IGDCC4
29,1,0,2,0.0,0.97,HRCT1
30,1,0,7,0.0,0.98,TP53INP2
31,1,0,10,0.0,1.0,ZNRF1
32,1,0,3,0.0,1.0,TMEM40
33,1,0,8,0.0,0.97,PLPPR4
34,1,0,5,0.0,1.0,AVEN
35,1,0,1,0.0,0.7,C19orf38
36,1,0,1,0.0,1.0,TMEM200C
37,1,0,3,0.0,0.97,NCMAP
38,1,0,9,0.0,0.91,TMEM200A
39,1,0,1,0.0,0.82,RTP5
40,1,0,3,0.0,0.91,SLC45A4
41,1,0,5,0.0,1.0,LAD1
42,1,0,4,0.0,1.0,TMEM121B
43,1,0,1,0.0,0.75,RNF180
44,1,0,2,0.0,0.82,TMEM191B
45,1,0,7,0.0,0.92,PPP1R16B
46,1,0,3,0.0,1.0,CAPRIN2
47,1,0,3,0.0,0.92,MROH7
48,1,0,7,0.0,0.93,IGFLR1
49,1,0,8,0.0,1.0,ADGRG4
50,1,0,13,0.0,0.79,ADAM19
51,1,0,2,0.0,1.0,PARM1
52,1,0,9,0.0,1.0,KMT2E
53,1,0,5,0.0,0.98,SPATA31D4
54,1,0,2,0.0,0.99,PCNX2
55,1,0,3,0.0,0.99,C16orf91
56,1,0,10,0.0,1.0,NPAP1
57,1,0,10,0.0,0.78,IL11RA
58,1,0,4,0.0,0.9,PPP1R14C
59,1,0,3,0.0,1.0,SPATA31A7
60,1,0,6,0.0,1.0,PLEKHN1
61,1,0,2,0.0,1.0,SPATA31E1
62,1,0,1,0.0,0.97,CCDC188
63,1,0,7,0.0,1.0,GPRIN1
64,1,0,4,0.0,0.7,TMEM229A
65,1,0,2,0.0,0.91,IGSF9
66,1,0,2,0.0,1.0,KIAA1549L
67,1,0,6,0.0,0.98,SPATA31D3
68,1,0,2,0.0,0.9,NPIPA1
69,1,0,8,0.0,0.79,RPS6KC1
70,1,0,1,0.0,0.99,NPIPB13
71,1,0,10,0.0,0.99,FAM174A
72,1,0,1,0.0,1.0,NPIPB3
73,1,0,4,0.0,1.0,PRRT1
74,1,0,5,0.0,1.0,PSD3
75,1,0,2,0.0,0.83,FER1L6
76,1,0,3,0.0,0.97,ELL2
77,1,0,48,0.0,0.84,SPHK2
78,1,0,3,0.0,0.85,TMC3
79,1,0,3,0.0,0.71,MEGF9
80,1,0,10,0.0,0.97,SMOC2
81,1,0,8,0.0,0.98,C4orf3
82,1,0,2,0.0,0.97,IFI27L2
83,1,0,4,0.0,0.99,MANBAL
84,1,0,5,0.0,0.97,ARMCX2
85,1,0,1,0.0,0.93,TMEM139
86,1,0,1,0.0,0.93,KNCN
87,1,0,1,0.0,0.87,TMEM52
88,1,0,2,0.0,0.71,SNN
89,1,0,1,0.0,0.99,NOL3
90,1,0,4,0.0,0.9,MTFR1
91,1,0,3,0.0,0.75,TMEM247
92,1,0,14,0.0,0.7,SLC22A23
93,1,0,5,0.0,0.91,LDLRAD4
94,1,0,1,0.0,0.99,FAM156B
95,1,0,2,0.0,0.98,EVA1B
96,1,0,16,0.0,0.8,TSPAN10
97,1,0,1,0.0,0.98,ZFYVE28
98,1,0,3,0.0,0.72,TMPRSS9
