stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,protein1,protein2,pllps_1,pllps_2,both_in_dataset
9606.ENSP00000262189,9606.ENSP00000436786,KMT2C,KMT2A,9606,0.831,0,0,0,0,0.321,0.0,0.761,Q8NEZ4,Q03164,1.0,1.0,True
9606.ENSP00000262189,9606.ENSP00000301067,KMT2C,KMT2D,9606,0.997,0,0,0,0,0.24,0.9,0.963,Q8NEZ4,O14686,1.0,1.0,True
9606.ENSP00000262518,9606.ENSP00000374212,SRCAP,EP400,9606,0.778,0,0,0,0,0.0,0.54,0.539,Q6ZRS2,Q96L91,1.0,1.0,True
9606.ENSP00000268712,9606.ENSP00000384018,NCOR1,NCOR2,9606,0.997,0,0,0,0,0.457,0.8,0.982,O75376,Q9Y618,1.0,1.0,True
9606.ENSP00000296452,9606.ENSP00000334319,BSN,PCLO,9606,0.8,0,0,0,0,0.0,0.8,0.0,Q9UPA5,Q9Y6V0,1.0,1.0,True
9606.ENSP00000297954,9606.ENSP00000341292,WNK2,WNK1,9606,0.959,0,0,0,0,0.959,0.0,0.0,Q9Y3S1,Q9H4A3,1.0,1.0,True
9606.ENSP00000301067,9606.ENSP00000436786,KMT2D,KMT2A,9606,0.994,0,0,0,0,0.323,0.9,0.92,O14686,Q03164,1.0,1.0,True
9606.ENSP00000302716,9606.ENSP00000441929,MUC17,MUC12,9606,0.745,0,0,0,0,0.0,0.0,0.745,Q685J3,Q9UKN1,1.0,1.0,True
9606.ENSP00000436812,9606.ENSP00000494061,MUC5B,MUC2,9606,0.741,0,0,0,0,0.0,0.0,0.741,Q9HC84,Q02817,1.0,1.0,True
9606.ENSP00000181839,9606.ENSP00000398880,CDK13,CDK12,9606,0.892,0,0,0,0,0.563,0.72,0.19,Q14004,Q9NYV4,1.0,1.0,True
9606.ENSP00000263253,9606.ENSP00000300651,EP300,MED1,9606,0.813,0,0,0,0,0.0,0.8,0.106,Q09472,Q15648,1.0,1.0,True
9606.ENSP00000263253,9606.ENSP00000421180,EP300,MAML3,9606,0.906,0,0,0,0,0.0,0.8,0.551,Q09472,Q96JK9,1.0,1.0,True
9606.ENSP00000263253,9606.ENSP00000434552,EP300,MAML2,9606,0.931,0,0,0,0,0.292,0.8,0.552,Q09472,Q8IZL2,1.0,1.0,True
9606.ENSP00000421180,9606.ENSP00000434552,MAML3,MAML2,9606,0.9,0,0,0,0,0.0,0.9,0.0,Q96JK9,Q8IZL2,1.0,1.0,True
9606.ENSP00000252996,9606.ENSP00000309555,TAF4,HCFC1,9606,0.9,0,0,0,0,0.0,0.9,0.0,O00268,P51610,1.0,1.0,True
9606.ENSP00000309555,9606.ENSP00000442788,HCFC1,TET2,9606,0.724,0,0,0,0,0.292,0.0,0.627,P51610,Q6N021,1.0,1.0,True
9606.ENSP00000309555,9606.ENSP00000383920,HCFC1,ASXL2,9606,0.842,0,0,0,0,0.457,0.5,0.466,P51610,Q76L83,1.0,1.0,True
9606.ENSP00000383920,9606.ENSP00000386049,ASXL2,MBD5,9606,0.811,0,0,0,0,0.639,0.5,0.0,Q76L83,Q9P267,1.0,1.0,True
9606.ENSP00000254108,9606.ENSP00000404121,FUS,ILF3,9606,0.869,0,0,0,0,0.464,0.0,0.767,P35637,Q12906,1.0,1.0,True
9606.ENSP00000257118,9606.ENSP00000367705,PHC2,BCOR,9606,0.928,0,0,0,0,0.316,0.9,0.0,Q8IXK0,Q6W2J9,1.0,1.0,True
9606.ENSP00000257118,9606.ENSP00000420294,PHC2,PHC3,9606,0.967,0,0,0,0,0.457,0.9,0.455,Q8IXK0,Q8NDX5,1.0,1.0,True
9606.ENSP00000257118,9606.ENSP00000437659,PHC2,PHC1,9606,0.989,0,0,0,0,0.655,0.9,0.725,Q8IXK0,P78364,1.0,1.0,True
9606.ENSP00000361066,9606.ENSP00000399968,NCOA3,NCOA2,9606,0.997,0,0,0,0,0.457,0.9,0.95,Q9Y6Q9,Q15596,1.0,1.0,True
9606.ENSP00000367705,9606.ENSP00000420294,BCOR,PHC3,9606,0.928,0,0,0,0,0.313,0.9,0.0,Q6W2J9,Q8NDX5,1.0,1.0,True
9606.ENSP00000367705,9606.ENSP00000437659,BCOR,PHC1,9606,0.928,0,0,0,0,0.312,0.9,0.0,Q6W2J9,P78364,1.0,1.0,True
9606.ENSP00000420294,9606.ENSP00000437659,PHC3,PHC1,9606,0.99,0,0,0,0,0.652,0.9,0.739,Q8NDX5,P78364,1.0,1.0,True
9606.ENSP00000265354,9606.ENSP00000435712,SRF,GATA4,9606,0.977,0,0,0,0,0.457,0.8,0.808,P11831,P43694,1.0,1.0,True
9606.ENSP00000296564,9606.ENSP00000378578,ICE1,AFF1,9606,0.9,0,0,0,0,0.0,0.9,0.0,Q9Y2F5,P51825,1.0,1.0,True
9606.ENSP00000305918,9606.ENSP00000378702,BRD3,BRD2,9606,0.984,0,0,0,0,0.694,0.0,0.95,Q15059,P25440,1.0,1.0,True
9606.ENSP00000264716,9606.ENSP00000303315,FOSL2,JUNB,9606,0.999,0,0,0,0,0.659,0.9,0.983,P15408,P17275,1.0,1.0,True
9606.ENSP00000308750,9606.ENSP00000418960,CBX2,BRCA1,9606,0.9,0,0,0,0,0.0,0.9,0.0,Q14781,P38398,1.0,1.0,True
9606.ENSP00000355809,9606.ENSP00000376652,ENAH,EVL,9606,0.981,0,0,0,0,0.734,0.9,0.358,Q8N8S7,Q9UI08,1.0,1.0,True
9606.ENSP00000245479,9606.ENSP00000379644,SOX9,SOX6,9606,0.924,0,0,0,0,0.0,0.0,0.924,P48436,P35712,1.0,1.0,True
9606.ENSP00000305422,9606.ENSP00000427514,CEBPB,CEBPA,9606,0.979,0,0,0,0,0.457,0.54,0.924,P17676,P49715,1.0,1.0,True
9606.ENSP00000245932,9606.ENSP00000493623,VASP,FYB1,9606,0.722,0,0,0,0,0.292,0.5,0.279,P50552,O15117,1.0,1.0,True
9606.ENSP00000273853,9606.ENSP00000457810,CENPC,CENPT,9606,0.993,0,0,0,0,0.8,0.8,0.855,Q03188,Q96BT3,1.0,1.0,True
9606.ENSP00000324560,9606.ENSP00000378914,ULK1,ULK2,9606,0.996,0,0,0,0,0.0,0.9,0.962,O75385,Q8IYT8,1.0,1.0,True
9606.ENSP00000364190,9606.ENSP00000453793,PBX2,MEIS2,9606,0.767,0,0,0,0,0.701,0.0,0.252,P40425,O14770,1.0,1.0,True
9606.ENSP00000247001,9606.ENSP00000261973,SUGP1,RBM25,9606,0.8,0,0,0,0,0.0,0.8,0.0,Q8IWZ8,P49756,1.0,1.0,True
9606.ENSP00000221494,9606.ENSP00000464050,SF3A2,DDX42,9606,0.861,0,0,0,0,0.734,0.5,0.0,Q15428,Q86XP3,1.0,1.0,True
9606.ENSP00000264110,9606.ENSP00000306245,ATF2,FOS,9606,0.964,0,0,0,0,0.653,0.5,0.814,P15336,P01100,1.0,1.0,True
9606.ENSP00000323588,9606.ENSP00000492024,SOX2,PAX6,9606,0.813,0,0,0,0,0.292,0.0,0.747,P48431,P26367,1.0,1.0,True
9606.ENSP00000372035,9606.ENSP00000437550,LATS2,LATS1,9606,0.978,0,0,0,0,0.611,0.9,0.498,Q9NRM7,O95835,1.0,1.0,True
9606.ENSP00000437550,9606.ENSP00000478927,LATS1,YAP1,9606,0.865,0,0,0,0,0.624,0.0,0.658,O95835,P46937,1.0,1.0,True
9606.ENSP00000046794,9606.ENSP00000264033,LCP2,CBL,9606,0.904,0,0,0,0,0.457,0.0,0.832,Q13094,P22681,1.0,1.0,True
9606.ENSP00000046794,9606.ENSP00000224337,LCP2,BLNK,9606,0.985,0,0,0,0,0.0,0.9,0.859,Q13094,Q8WV28,1.0,1.0,True
9606.ENSP00000224337,9606.ENSP00000264033,BLNK,CBL,9606,0.926,0,0,0,0,0.292,0.9,0.048,Q8WV28,P22681,1.0,1.0,True
9606.ENSP00000271628,9606.ENSP00000339090,SF3B4,RBMX2,9606,0.989,0,0,0,0,0.9,0.9,0.0,Q15427,Q9Y388,1.0,1.0,True
9606.ENSP00000335055,9606.ENSP00000483313,WASF3,WASF2,9606,0.952,0,0,0,0,0.436,0.9,0.228,Q9UPY6,Q9Y6W5,1.0,1.0,True
9606.ENSP00000364578,9606.ENSP00000380054,NELFE,EAF1,9606,0.9,0,0,0,0,0.0,0.9,0.0,P18615,Q96JC9,1.0,1.0,True
9606.ENSP00000354623,9606.ENSP00000480489,WHRN,PDZD7,9606,0.919,0,0,0,0,0.0,0.72,0.725,Q9P202,Q9H5P4,0.99,0.99,True
9606.ENSP00000361423,9606.ENSP00000365312,ABL1,ABI1,9606,0.967,0,0,0,0,0.562,0.0,0.929,P00519,Q8IZP0,0.99,0.99,True
9606.ENSP00000262962,9606.ENSP00000451129,YJU2,SNW1,9606,0.959,0,0,0,0,0.958,0.0,0.0,Q9BW85,Q13573,0.99,0.99,True
9606.ENSP00000316578,9606.ENSP00000363787,SUZ12,RING1,9606,0.938,0,0,0,0,0.0,0.9,0.413,Q15022,Q06587,0.99,0.98,True
9606.ENSP00000351490,9606.ENSP00000363787,MAX,RING1,9606,0.716,0,0,0,0,0.457,0.5,0.0,P61244,Q06587,0.98,0.98,True
9606.ENSP00000370193,9606.ENSP00000418379,TAF9,TAF1L,9606,0.851,0,0,0,0,0.69,0.54,0.0,Q16594,Q8IZX4,0.98,0.98,True
9606.ENSP00000262241,9606.ENSP00000285021,RCOR1,XPC,9606,0.9,0,0,0,0,0.0,0.9,0.0,Q9UKL0,Q01831,0.98,0.98,True
9606.ENSP00000348602,9606.ENSP00000370719,AMPH,ITSN1,9606,0.803,0,0,0,0,0.292,0.0,0.734,P49418,Q15811,0.98,0.98,True
9606.ENSP00000370719,9606.ENSP00000450857,ITSN1,STON2,9606,0.913,0,0,0,0,0.292,0.0,0.882,Q15811,Q8WXE9,0.98,0.98,True
9606.ENSP00000237853,9606.ENSP00000261900,ELL2,CCNT1,9606,0.983,0,0,0,0,0.292,0.9,0.79,O00472,O60563,0.97,0.97,True
9606.ENSP00000387006,9606.ENSP00000478070,CWC22,CWC25,9606,0.986,0,0,0,0,0.866,0.9,0.0,Q9HCG8,Q9NXE8,0.97,0.97,True
9606.ENSP00000215793,9606.ENSP00000360532,SF3A1,CDC5L,9606,0.973,0,0,0,0,0.973,0.0,0.0,Q15459,Q99459,0.96,0.96,True
9606.ENSP00000357901,9606.ENSP00000360532,SCNM1,CDC5L,9606,0.9,0,0,0,0,0.9,0.0,0.0,Q9BWG6,Q99459,0.96,0.96,True
9606.ENSP00000258962,9606.ENSP00000452123,SRSF1,SRSF5,9606,0.874,0,0,0,0,0.397,0.8,0.0,Q07955,Q13243,0.95,0.95,True
9606.ENSP00000262450,9606.ENSP00000278823,CHD5,MTA2,9606,0.912,0,0,0,0,0.654,0.72,0.166,Q8TDI0,O94776,0.95,0.95,True
9606.ENSP00000260947,9606.ENSP00000369497,BARD1,BRCA2,9606,0.994,0,0,0,0,0.642,0.72,0.948,Q99728,P51587,0.92,0.92,True
9606.ENSP00000307684,9606.ENSP00000352925,TADA3,TRRAP,9606,0.993,0,0,0,0,0.748,0.9,0.764,O75528,Q9Y4A5,0.92,0.92,True
9606.ENSP00000363492,9606.ENSP00000363708,GDF5,BMPR2,9606,0.851,0,0,0,0,0.549,0.0,0.684,P43026,Q13873,0.92,0.92,True
9606.ENSP00000216133,9606.ENSP00000287598,CBX7,BUB1B,9606,0.72,0,0,0,0,0.0,0.72,0.0,O95931,O60566,0.91,0.92,True
9606.ENSP00000370896,9606.ENSP00000405330,GREB1,ESR1,9606,0.862,0,0,0,0,0.457,0.5,0.533,Q4ZG55,P03372,0.91,0.91,True
9606.ENSP00000273668,9606.ENSP00000358478,EAF2,TTF2,9606,0.72,0,0,0,0,0.0,0.72,0.0,Q96CJ1,Q9UNY4,0.9,0.9,True
9606.ENSP00000273668,9606.ENSP00000348089,EAF2,ERCC6,9606,0.9,0,0,0,0,0.0,0.9,0.0,Q96CJ1,Q03468,0.9,0.99,True
9606.ENSP00000348089,9606.ENSP00000358478,ERCC6,TTF2,9606,0.72,0,0,0,0,0.0,0.72,0.0,Q03468,Q9UNY4,0.99,0.9,True
9606.ENSP00000270162,9606.ENSP00000482829,SIK1,SIK1B,9606,0.9,0,0,0,0,0.0,0.9,0.0,P57059,A0A0B4J2F2,0.89,0.89,True
9606.ENSP00000351022,9606.ENSP00000494125,TPM1,TPM4,9606,0.963,0,0,0,0,0.608,0.72,0.697,P09493,P67936,0.89,0.89,True
9606.ENSP00000222139,9606.ENSP00000346300,EPOR,CRKL,9606,0.716,0,0,0,0,0.457,0.5,0.0,P19235,P46109,0.88,0.88,True
9606.ENSP00000258484,9606.ENSP00000311827,EPC2,MSL2,9606,0.72,0,0,0,0,0.0,0.72,0.0,Q52LR7,Q9HCI7,0.84,0.85,True
9606.ENSP00000341805,9606.ENSP00000419765,PHF10,BRD9,9606,0.891,0,0,0,0,0.326,0.54,0.677,Q8WUB8,Q9H8M2,0.84,0.84,True
9606.ENSP00000356505,9606.ENSP00000380450,NCF2,NOXO1,9606,0.995,0,0,0,0,0.0,0.72,0.983,P19878,Q8NFA2,0.84,0.84,True
9606.ENSP00000460475,9606.ENSP00000494040,NLRP1,DDX3X,9606,0.721,0,0,0,0,0.0,0.72,0.046,Q9C000,O00571,0.84,0.83,True
9606.ENSP00000314067,9606.ENSP00000378338,PAK2,GIT1,9606,0.786,0,0,0,0,0.642,0.4,0.085,Q13177,Q9Y2X7,0.8,0.8,True
9606.ENSP00000361363,9606.ENSP00000365851,DMAP1,BMI1,9606,0.788,0,0,0,0,0.0,0.0,0.788,Q9NPF5,P35226,0.8,0.79,True
9606.ENSP00000347716,9606.ENSP00000378181,DPF1,BRD7,9606,0.757,0,0,0,0,0.615,0.0,0.395,Q92782,Q9NPI1,0.73,0.73,True
9606.ENSP00000226207,9606.ENSP00000347507,MYH1,MYH7,9606,0.9,0,0,0,0,0.0,0.9,0.0,P12882,P12883,0.7,0.7,True
