stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000262189,9606.ENSP00000436786,KMT2C,KMT2A,9606,0.831,0,0,0,0,0.321,0.0,0.761
9606.ENSP00000262189,9606.ENSP00000474253,KMT2C,SETD1B,9606,0.929,0,0,0,0,0.319,0.0,0.901
9606.ENSP00000262189,9606.ENSP00000301067,KMT2C,KMT2D,9606,0.997,0,0,0,0,0.24,0.9,0.963
9606.ENSP00000262518,9606.ENSP00000374212,SRCAP,EP400,9606,0.778,0,0,0,0,0.0,0.54,0.539
9606.ENSP00000268712,9606.ENSP00000364912,NCOR1,SPEN,9606,0.801,0,0,0,0,0.292,0.0,0.73
9606.ENSP00000268712,9606.ENSP00000384018,NCOR1,NCOR2,9606,0.997,0,0,0,0,0.457,0.8,0.982
9606.ENSP00000280772,9606.ENSP00000467141,ANK3,TTN,9606,0.784,0,0,0,0,0.0,0.0,0.784
9606.ENSP00000296452,9606.ENSP00000334319,BSN,PCLO,9606,0.8,0,0,0,0,0.0,0.8,0.0
9606.ENSP00000297954,9606.ENSP00000341292,WNK2,WNK1,9606,0.959,0,0,0,0,0.959,0.0,0.0
9606.ENSP00000301067,9606.ENSP00000474253,KMT2D,SETD1B,9606,0.712,0,0,0,0,0.321,0.0,0.593
9606.ENSP00000301067,9606.ENSP00000436786,KMT2D,KMT2A,9606,0.994,0,0,0,0,0.323,0.9,0.92
9606.ENSP00000302716,9606.ENSP00000441929,MUC17,MUC12,9606,0.745,0,0,0,0,0.0,0.0,0.745
9606.ENSP00000320485,9606.ENSP00000379946,ARID1A,BICRA,9606,0.942,0,0,0,0,0.303,0.9,0.235
9606.ENSP00000320485,9606.ENSP00000490491,ARID1A,ARID1B,9606,0.999,0,0,0,0,0.691,0.9,0.982
9606.ENSP00000352400,9606.ENSP00000378687,NUP214,POM121,9606,0.734,0,0,0,0,0.37,0.5,0.224
9606.ENSP00000352400,9606.ENSP00000481575,NUP214,POM121C,9606,0.734,0,0,0,0,0.37,0.5,0.224
9606.ENSP00000352400,9606.ENSP00000444029,NUP214,NUP153,9606,0.95,0,0,0,0,0.618,0.8,0.398
9606.ENSP00000353114,9606.ENSP00000367263,AHNAK2,AHNAK,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000364912,9606.ENSP00000384018,SPEN,NCOR2,9606,0.877,0,0,0,0,0.576,0.0,0.722
9606.ENSP00000378687,9606.ENSP00000444029,POM121,NUP153,9606,0.707,0,0,0,0,0.297,0.5,0.234
9606.ENSP00000378687,9606.ENSP00000481575,POM121,POM121C,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000379144,9606.ENSP00000401946,TNRC6A,TNRC6B,9606,0.821,0,0,0,0,0.165,0.4,0.672
9606.ENSP00000379946,9606.ENSP00000490491,BICRA,ARID1B,9606,0.932,0,0,0,0,0.303,0.9,0.107
9606.ENSP00000406861,9606.ENSP00000485659,MUC6,MUC5AC,9606,0.773,0,0,0,0,0.0,0.0,0.773
9606.ENSP00000436812,9606.ENSP00000494061,MUC5B,MUC2,9606,0.741,0,0,0,0,0.0,0.0,0.741
9606.ENSP00000436812,9606.ENSP00000485659,MUC5B,MUC5AC,9606,0.956,0,0,0,0,0.0,0.0,0.956
9606.ENSP00000444029,9606.ENSP00000481575,NUP153,POM121C,9606,0.733,0,0,0,0,0.359,0.5,0.234
9606.ENSP00000485659,9606.ENSP00000494061,MUC5AC,MUC2,9606,0.761,0,0,0,0,0.0,0.0,0.761
9606.ENSP00000181839,9606.ENSP00000398880,CDK13,CDK12,9606,0.892,0,0,0,0,0.563,0.72,0.19
9606.ENSP00000262367,9606.ENSP00000262965,CREBBP,TCF3,9606,0.754,0,0,0,0,0.618,0.0,0.384
9606.ENSP00000262367,9606.ENSP00000421180,CREBBP,MAML3,9606,0.825,0,0,0,0,0.0,0.8,0.164
9606.ENSP00000262367,9606.ENSP00000434552,CREBBP,MAML2,9606,0.874,0,0,0,0,0.292,0.8,0.186
9606.ENSP00000262367,9606.ENSP00000263253,CREBBP,EP300,9606,0.998,0,0,0,0,0.457,0.9,0.982
9606.ENSP00000262965,9606.ENSP00000263253,TCF3,EP300,9606,0.85,0,0,0,0,0.457,0.0,0.736
9606.ENSP00000263253,9606.ENSP00000300651,EP300,MED1,9606,0.813,0,0,0,0,0.0,0.8,0.106
9606.ENSP00000263253,9606.ENSP00000421180,EP300,MAML3,9606,0.906,0,0,0,0,0.0,0.8,0.551
9606.ENSP00000263253,9606.ENSP00000434552,EP300,MAML2,9606,0.931,0,0,0,0,0.292,0.8,0.552
9606.ENSP00000307411,9606.ENSP00000479910,MLLT10,MLLT6,9606,0.973,0,0,0,0,0.653,0.0,0.927
9606.ENSP00000421180,9606.ENSP00000434552,MAML3,MAML2,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000252996,9606.ENSP00000309555,TAF4,HCFC1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000283195,9606.ENSP00000371155,RANBP2,NUP58,9606,0.941,0,0,0,0,0.886,0.5,0.0
9606.ENSP00000295900,9606.ENSP00000350333,ATXN7,SAP130,9606,0.8,0,0,0,0,0.0,0.8,0.0
9606.ENSP00000309555,9606.ENSP00000442788,HCFC1,TET2,9606,0.724,0,0,0,0,0.292,0.0,0.627
9606.ENSP00000309555,9606.ENSP00000383920,HCFC1,ASXL2,9606,0.842,0,0,0,0,0.457,0.5,0.466
9606.ENSP00000335320,9606.ENSP00000381382,BCL9L,TCF4,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000378917,9606.ENSP00000446576,ATXN2L,ATXN2,9606,0.941,0,0,0,0,0.437,0.9,0.0
9606.ENSP00000381382,9606.ENSP00000388940,TCF4,TCF12,9606,0.972,0,0,0,0,0.931,0.0,0.619
9606.ENSP00000383920,9606.ENSP00000386049,ASXL2,MBD5,9606,0.811,0,0,0,0,0.639,0.5,0.0
9606.ENSP00000254108,9606.ENSP00000404121,FUS,ILF3,9606,0.869,0,0,0,0,0.464,0.0,0.767
9606.ENSP00000254108,9606.ENSP00000400142,FUS,EWSR1,9606,0.871,0,0,0,0,0.457,0.0,0.773
9606.ENSP00000257118,9606.ENSP00000367705,PHC2,BCOR,9606,0.928,0,0,0,0,0.316,0.9,0.0
9606.ENSP00000257118,9606.ENSP00000420294,PHC2,PHC3,9606,0.967,0,0,0,0,0.457,0.9,0.455
9606.ENSP00000257118,9606.ENSP00000437659,PHC2,PHC1,9606,0.989,0,0,0,0,0.655,0.9,0.725
9606.ENSP00000275732,9606.ENSP00000387170,GIGYF1,GIGYF2,9606,0.799,0,0,0,0,0.472,0.0,0.636
9606.ENSP00000361066,9606.ENSP00000399968,NCOA3,NCOA2,9606,0.997,0,0,0,0,0.457,0.9,0.95
9606.ENSP00000367705,9606.ENSP00000420294,BCOR,PHC3,9606,0.928,0,0,0,0,0.313,0.9,0.0
9606.ENSP00000367705,9606.ENSP00000437659,BCOR,PHC1,9606,0.928,0,0,0,0,0.312,0.9,0.0
9606.ENSP00000420294,9606.ENSP00000437659,PHC3,PHC1,9606,0.99,0,0,0,0,0.652,0.9,0.739
9606.ENSP00000265354,9606.ENSP00000388910,SRF,NFATC4,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000265354,9606.ENSP00000435712,SRF,GATA4,9606,0.977,0,0,0,0,0.457,0.8,0.808
9606.ENSP00000325376,9606.ENSP00000341826,HNRNPM,HNRNPA1,9606,0.794,0,0,0,0,0.539,0.4,0.315
9606.ENSP00000388910,9606.ENSP00000435712,NFATC4,GATA4,9606,0.97,0,0,0,0,0.0,0.9,0.717
9606.ENSP00000296564,9606.ENSP00000378578,ICE1,AFF1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000346634,9606.ENSP00000363193,THRAP3,MED12,9606,0.912,0,0,0,0,0.162,0.9,0.0
9606.ENSP00000346634,9606.ENSP00000435210,THRAP3,BCLAF1,9606,0.973,0,0,0,0,0.651,0.54,0.847
9606.ENSP00000281928,9606.ENSP00000498791,MED13L,MED19,9606,0.931,0,0,0,0,0.671,0.8,0.0
9606.ENSP00000297268,9606.ENSP00000398632,COL1A2,CD44,9606,0.831,0,0,0,0,0.0,0.0,0.831
9606.ENSP00000297268,9606.ENSP00000369889,COL1A2,COL2A1,9606,0.876,0,0,0,0,0.0,0.72,0.578
