uniprot_id,pmid,class_,primary_name,organism
A0A8C0MIV5,40015268,PS-other,,Canis lupus familiaris
A0A088MEP7,39922493,PS-self,,Doryteuthis opalescens
P19837,32601486,PS-self,,Trichonephila clavipes
P46804,32601486,PS-self,,Trichonephila clavipes
A0QSY1,31366629,PS-self,,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)
O65934,31366629,PS-self,,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
Q5XXP4,22837213,PS-other,,Chikungunya virus (strain 37997)
P53155,31285266,PS-other,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P08659,38876374,PS-other,,Photinus pyralis
C0HK44,34165838,PS-other,,Lasioglossum laticeps
P08287,39116133,PS-other,,Gallus gallus
P02259,39116133,PS-other,,Gallus gallus
Q3YL59,23865482,PS-self,,Pinctada fucata
P05434,38150475,PS-self,,Chlamydomonas reinhardtii
A0A3Q9VF17,38484009,PS-other,,Nicotiana benthamiana
Q769N4,39705355,PS-self,,Human norovirus Saitama
P46804,36251431,PS-other,,Trichonephila clavipes
P17763,34375636,PS-other,,Dengue virus type 1 (strain Nauru/West Pac/1974)
Q32ZE1,34375636,PS-other,,Zika virus
A0A2U8QNT7,33077592,PS-self,,Artemia franciscana
A0A8V0ZZD0,39029469,PS-other,,Gallus gallus
A0A178VP50,38327052,PS-self,,Arabidopsis thaliana
P03630,36357399,PS-other,,Pseudomonas phage PP7
P03612,36357399,PS-other,,Escherichia phage MS2
A2T3P0,36700549,PS-other,,Rotavirus A (isolate RVA/Monkey/South Africa/SA11-H96/1958/G3P5B[2])
A0A1U9W1C6,37735952,PS-self,,Tomato yellow mottle-associated virus
A0A1U9W1B7,37735952,PS-self,,Tomato yellow mottle-associated virus
C4NFL9,37047525,PS-other,,Nyamanini virus (isolate Tick/Thailand/39/1968)
A0A286NGJ8,37400539,PS-self,,Homo sapiens
C4NFM0,37047525,PS-other,,Nyamanini virus (isolate Tick/Thailand/39/1968)
P08659,36342014,PS-other,,Photinus pyralis
P00648,35853451,PS-other,,Bacillus amyloliquefaciens
H9JB09,37029111,PS-self,101741313,Bombyx mori
G7JS36,35610973,PS-other,11418607,Medicago truncatula
Q6LD62,37027309,PS-other,14-3-3 protein,Homo sapiens
K9N638,35129074,PS-other,1a,Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012)
A0A072VLI9,35610973,PS-self,25484214,Medicago truncatula
A0AAU7YSI3,36798397,PS-other,ABL158C,Eremothecium sp
Q4JIM5,37858340,PS-self,Abl2,Mus musculus
O14639,35858327,PS-self,ABLIM1,Homo sapiens
Q6GQW0,37261953,PS-other,Abtb3,Mus musculus
Q23390,36259463,PS-other,abu-14,Caenorhabditis elegans
P31787,38923199,PS-other,ACB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P62740,37838354,PS-other,ACTA2,Oryctolagus cuniculus
P60709,39932799,PS-other,ACTB,Homo sapiens
P35609,34049882,PS-other,ACTN2,Homo sapiens
O43707,39932799,PS-other,ACTN4,Homo sapiens
P61160,38459060,PS-other,ACTR2,Homo sapiens
Q8VHH7,39739811,PS-other,Adcy3,Mus musculus
Q8WXG9,36964137,PS-other,ADGRV1,Homo sapiens
P00330,38515267,PS-other,ADH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q60612,39739811,PS-other,Adora1,Mus musculus
P34971,39739811,PS-other,Adrb1,Mus musculus
P30566,35307352,PS-other,ADSL,Homo sapiens
O35889,40015268,PS-other,Afdn,Rattus norvegicus
Q9UHB7,32270036,PS-self,AFF4,Homo sapiens
Q9UHB7,36762438,PS-other,AFF4,Homo sapiens
Q500V5,30425322,PS-self,AGDP1,Arabidopsis thaliana
Q500V5,39014153,PS-self,AGDP1,Arabidopsis thaliana
Q8N302,35608889,PS-other,AGGF1,Homo sapiens
O04379,38384836,PS-self,AGO1,Arabidopsis thaliana
Q32KD4,35325613,PS-other,AGO1,Drosophila melanogaster
Q9UKV8,35325613,PS-other,AGO2,Homo sapiens
Q9UKV8,34821414,PS-self,AGO2,Homo sapiens
Q9UKV8,40056914,PS-other,AGO2,Homo sapiens
Q9UKV8,29576456,PS-other,AGO2,Homo sapiens
Q75E28,26474065,PS-other,AGOS_ABL158C,Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)
Q9BRQ8,37380771,PS-self,AIFM2,Homo sapiens
Q8BUE4,37380771,PS-other,Aifm2,Mus musculus
O43823,33235917,PS-self,AKAP8,Homo sapiens
O43823,32719551,PS-self,AKAP8,Homo sapiens
O43823,38711442,PS-other,AKAP8,Homo sapiens
Q96B36,35790738,PS-self,AKT1S1,Homo sapiens
P02769,39648588,PS-self,ALB,Bos taurus
P02769,37815312,PS-other,ALB,Bos taurus
P02768,37321990,PS-other,ALB,Homo sapiens
P07724,37321990,PS-other,Alb,Mus musculus
