tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
O00254,-65.0,-50.0,-85.0,-97.0,-73.0,-33.0,-97.0,-22.0,-522.0
O14763,-8.0,-8.0,-8.0,-8.0,-18.0,-8.0,-14.0,1.0,-71.0
O43561,-7.0,3.0,-15.0,-12.0,1.0,-4.0,-18.0,-12.0,-64.0
O60500,1.0,5.0,-13.0,-9.0,0.0,-6.0,-9.0,-13.0,-44.0
O60733,-6.0,6.0,-19.0,-13.0,-19.0,-10.0,-19.0,-15.0,-95.0
O75445,-5.0,3.0,-12.0,-11.0,-2.0,0.0,-16.0,-5.0,-48.0
O75460,-12.0,-8.0,-11.0,-12.0,-12.0,-5.0,-17.0,-4.0,-81.0
O75581,-12.0,-9.0,-9.0,-13.0,-16.0,-3.0,-16.0,11.0,-67.0
P00533,-2.0,7.0,-12.0,-10.0,-5.0,-6.0,-14.0,-11.0,-53.0
P04626,-15.0,-4.0,-12.0,-15.0,-12.0,-7.0,-18.0,-4.0,-87.0
P05067,-10.0,-7.0,-7.0,-7.0,-11.0,-9.0,-15.0,-4.0,-70.0
P05556,-6.0,-5.0,-14.0,-10.0,-11.0,-8.0,-16.0,-7.0,-77.0
P07766,-13.0,-6.0,-11.0,-12.0,-13.0,-12.0,-20.0,-1.0,-88.0
P07949,-9.0,-8.0,-9.0,-11.0,-11.0,-5.0,-16.0,0.0,-69.0
P08172,-68.0,-59.0,-75.0,-85.0,-98.0,-44.0,-115.0,-8.0,-552.0
P08247,-15.0,-6.0,-30.0,-13.0,-44.0,-21.0,-49.0,0.0,-178.0
P08908,-53.0,-8.0,-80.0,-97.0,-71.0,-61.0,-105.0,-53.0,-528.0
P10747,-13.0,-10.0,-14.0,-15.0,-16.0,-8.0,-22.0,-1.0,-99.0
P11362,-9.0,-3.0,-8.0,-11.0,-11.0,-8.0,-15.0,1.0,-64.0
P13569,-77.0,-66.0,-102.0,-115.0,-138.0,-56.0,-142.0,-40.0,-736.0
P15529,-14.0,-17.0,-9.0,-13.0,-18.0,-9.0,-16.0,1.0,-95.0
P15941,-7.0,-4.0,-12.0,-13.0,-9.0,-8.0,-17.0,-7.0,-77.0
