UniProt_ID,region,n_residues,score
Q07065,Cytoplasmic,106,0.06292948
Q7Z3C6,Cytoplasmic,653,0.0017101469
Q14739,Cytoplasmic,211,0.3510343
P31431,Cytoplasmic,28,0.89285946
P49146,Cytoplasmic,112,0.6905228
P13569,Cytoplasmic,1122,0.0037269804
P46531,Cytoplasmic,799,0.4224743
P21802,Cytoplasmic,423,0.6584241
Q9UM73,Cytoplasmic,561,0.2658173
O60500,Cytoplasmic,166,0.015535377
P17948,Cytoplasmic,558,0.660735
P10747,Cytoplasmic,41,0.38630316
P40967,Cytoplasmic,45,0.095400736
P15941,Cytoplasmic,74,0.3220556
Q14BN4,Cytoplasmic,802,0.63869995
P05067,Cytoplasmic,48,0.28762454
Q03135,Cytoplasmic,156,0.2329007
Q08345,Cytoplasmic,475,0.8228881
P15529,Cytoplasmic,26,0.17959617
P07949,Cytoplasmic,457,0.99078447
Q8N114,Cytoplasmic,114,0.02100639
P35968,Cytoplasmic,571,0.4987711
Q8TEM1,Cytoplasmic,1840,0.018240897
P08172,Cytoplasmic,239,0.4842174
Q9Y624,Cytoplasmic,40,0.4728868
P08908,Cytoplasmic,183,0.5604808
P00533,Cytoplasmic,542,0.8326141
O00254,Cytoplasmic,55,0.10568597
Q15303,Cytoplasmic,633,0.9289066
P61073,Cytoplasmic,113,0.04041273
Q7Z434,Cytoplasmic,512,0.5522675
P04626,Cytoplasmic,580,0.9297663
O75581,Cytoplasmic,220,0.07022797
P20963,Cytoplasmic,113,0.4001619
P11362,Cytoplasmic,425,0.17281416
P63027,Cytoplasmic,93,0.50202453
Q12879,Cytoplasmic,663,0.004978328
P31645,Cytoplasmic,208,0.030724782
P01857,Cytoplasmic,28,0.35453856
Q86WV6,Cytoplasmic,284,0.19660984
P08247,Cytoplasmic,122,0.15829197
Q9BR39,Cytoplasmic,674,0.22535762
O75460,Cytoplasmic,513,0.2231983
P05556,Cytoplasmic,47,0.19116329
Q04671,Cytoplasmic,339,0.0019497538
O14763,Cytoplasmic,209,0.26839632
P07766,Cytoplasmic,55,0.9354223
O43561,Cytoplasmic,235,0.41204184
P29317,Cytoplasmic,418,0.6562031
Q9H461,Cytoplasmic,155,0.060394228
P15954,Transmembrane,27,0.012566438
Q07065,Transmembrane,21,0.04164466
Q7Z3C6,Transmembrane,93,0.02304404
Q14739,Transmembrane,168,0.0074213343
O60733,Transmembrane,42,0.010511312
P31431,Transmembrane,25,0.052128594
P49146,Transmembrane,182,0.031979404
P13569,Transmembrane,253,0.013150148
P46531,Transmembrane,21,0.07930927
P21802,Transmembrane,21,0.064101145
Q9UM73,Transmembrane,21,0.16198453
O60500,Transmembrane,21,0.10087774
P17948,Transmembrane,22,0.036933653
P10747,Transmembrane,27,0.025725087
P40967,Transmembrane,21,0.083432265
Q9BRQ8,Transmembrane,21,0.091210425
P15941,Transmembrane,23,0.012677133
Q14BN4,Transmembrane,21,0.030494109
P05067,Transmembrane,21,0.123157896
Q08345,Transmembrane,21,0.05231915
P15529,Transmembrane,23,0.051451564
P07949,Transmembrane,22,0.10014566
Q8N114,Transmembrane,21,0.0983376
P35968,Transmembrane,21,0.0510783
Q8TEM1,Transmembrane,21,0.09178712
P08172,Transmembrane,173,0.030452928
Q9Y624,Transmembrane,21,0.032686293
P08908,Transmembrane,165,0.035168182
P00533,Transmembrane,23,0.22069082
O00254,Transmembrane,162,0.005094809
Q15303,Transmembrane,24,0.06309453
P61073,Transmembrane,148,0.012649615
Q13021,Transmembrane,84,0.033897676
Q7Z434,Transmembrane,21,0.04568311
P04626,Transmembrane,23,0.06575133
O75581,Transmembrane,23,0.074797116
P20963,Transmembrane,21,0.047484845
P11362,Transmembrane,21,0.38286585
P63027,Transmembrane,20,0.02359559
Q12879,Transmembrane,62,0.036287274
P31645,Transmembrane,258,0.059401106
P01857,Transmembrane,21,0.079533346
Q9H3U5,Transmembrane,253,0.019837331
Q86WV6,Transmembrane,75,0.0027633759
P08247,Transmembrane,96,0.087594345
Q9BR39,Transmembrane,21,0.039530016
O75460,Transmembrane,21,0.06512319
P05556,Transmembrane,23,0.03184005
Q8NC56,Transmembrane,42,0.009568925
Q04671,Transmembrane,205,0.0561697
O14763,Transmembrane,21,0.16289148
P07766,Transmembrane,26,0.039116178
O43561,Transmembrane,23,0.029914334
Q9UJA2,Transmembrane,107,0.024057323
P29317,Transmembrane,21,0.025705341
Q9H461,Transmembrane,147,0.0039568176
Q07065,Extracellular/Lumenal,475,0.45203647
Q7Z3C6,Extracellular/Lumenal,53,0.06014399
P31431,Extracellular/Lumenal,127,0.021162357
P49146,Extracellular/Lumenal,87,0.1131444
P13569,Extracellular/Lumenal,105,0.0016904201
P46531,Extracellular/Lumenal,1717,0.018839102
P21802,Extracellular/Lumenal,356,0.40644175
Q9UM73,Extracellular/Lumenal,1020,0.0833438
O60500,Extracellular/Lumenal,1032,0.10150363
P17948,Extracellular/Lumenal,732,0.9555418
P10747,Extracellular/Lumenal,134,0.12061318
P40967,Extracellular/Lumenal,126,0.04636535
P15941,Extracellular/Lumenal,1135,0.38538748
P05067,Extracellular/Lumenal,684,0.60865927
Q08345,Extracellular/Lumenal,397,0.2711634
P15529,Extracellular/Lumenal,309,0.079394735
P07949,Extracellular/Lumenal,607,0.28648275
Q8N114,Extracellular/Lumenal,77,0.022667063
P35968,Extracellular/Lumenal,745,0.16298911
P08172,Extracellular/Lumenal,54,0.07498859
Q9Y624,Extracellular/Lumenal,211,0.6614482
P08908,Extracellular/Lumenal,74,0.06206178
P00533,Extracellular/Lumenal,621,0.5794575
O00254,Extracellular/Lumenal,119,0.07623354
Q15303,Extracellular/Lumenal,626,0.64207304
P61073,Extracellular/Lumenal,91,0.022815632
P04626,Extracellular/Lumenal,630,0.26489484
O75581,Extracellular/Lumenal,1351,0.39699247
P11362,Extracellular/Lumenal,355,0.17344974
Q12879,Extracellular/Lumenal,702,0.97918606
P31645,Extracellular/Lumenal,164,0.011073681
P01857,Extracellular/Lumenal,350,0.2742156
Q86WV6,Extracellular/Lumenal,20,0.10402767
O75460,Extracellular/Lumenal,425,0.01987874
P05556,Extracellular/Lumenal,708,0.57148445
Q04671,Extracellular/Lumenal,294,0.0012826396
O14763,Extracellular/Lumenal,155,0.04058793
P07766,Extracellular/Lumenal,104,0.6594209
P29317,Extracellular/Lumenal,514,0.26542768
Q9H461,Extracellular/Lumenal,365,0.07718945
