UniProt_ID,tool,approach,region,seg_idx,score
P15941,catGRANULE,segment,Cytoplasmic,0,-2.3337
P15941,PLAAC,segment,Cytoplasmic,0,0.012
P15941,PScore,segment,Cytoplasmic,0,1.1403
P15941,ESpritz,segment,Cytoplasmic,0,0.2598
P15941,SEG,segment,Cytoplasmic,0,0.027
P15941,catGRANULE,segment,Transmembrane,0,-9.6694
P15941,PLAAC,segment,Transmembrane,0,0.0
P15941,PScore,segment,Transmembrane,0,-1.9388
P15941,ESpritz,segment,Transmembrane,0,0.067
P15941,SEG,segment,Transmembrane,0,0.913
P15941,catGRANULE,segment,Extracellular/Lumenal,0,-5.7764
P15941,PLAAC,segment,Extracellular/Lumenal,0,0.0014
P15941,PScore,segment,Extracellular/Lumenal,0,2.4466
P15941,ESpritz,segment,Extracellular/Lumenal,0,0.4992
P15941,SEG,segment,Extracellular/Lumenal,0,0.0282
Q7Z434,catGRANULE,segment,Cytoplasmic,0,-4.5712
Q7Z434,PLAAC,segment,Cytoplasmic,0,0.0009
Q7Z434,PScore,segment,Cytoplasmic,0,1.4034
Q7Z434,ESpritz,segment,Cytoplasmic,0,0.4241
Q7Z434,SEG,segment,Cytoplasmic,0,0.1426
Q7Z434,PLAAC,segment,Transmembrane,0,0.0001
Q7Z434,PScore,segment,Transmembrane,0,-0.015
Q7Z434,ESpritz,segment,Transmembrane,0,0.3158
Q7Z434,SEG,segment,Transmembrane,0,0.8095
Q7Z434,PLAAC,segment,Extracellular/Lumenal,0,0.0005
Q7Z434,PScore,segment,Extracellular/Lumenal,0,-0.045
Q7Z434,ESpritz,segment,Extracellular/Lumenal,0,0.3004
Q7Z434,SEG,segment,Extracellular/Lumenal,0,0.0
Q9BR39,catGRANULE,segment,Cytoplasmic,0,-0.1563
Q9BR39,PLAAC,segment,Cytoplasmic,0,0.0096
Q9BR39,PScore,segment,Cytoplasmic,0,1.158
Q9BR39,ESpritz,segment,Cytoplasmic,0,0.3906
Q9BR39,SEG,segment,Cytoplasmic,0,0.27
Q9BR39,PLAAC,segment,Transmembrane,0,0.0001
Q9BR39,PScore,segment,Transmembrane,0,-0.012
Q9BR39,ESpritz,segment,Transmembrane,0,0.3076
Q9BR39,SEG,segment,Transmembrane,0,0.0
O43561,catGRANULE,segment,Cytoplasmic,0,-4.1147
O43561,PLAAC,segment,Cytoplasmic,0,0.0007
O43561,PScore,segment,Cytoplasmic,0,1.1059
O43561,ESpritz,segment,Cytoplasmic,0,0.4563
O43561,SEG,segment,Cytoplasmic,0,0.2553
O43561,catGRANULE,segment,Transmembrane,0,-10.3468
O43561,PLAAC,segment,Transmembrane,0,0.0
O43561,PScore,segment,Transmembrane,0,-2.0965
O43561,ESpritz,segment,Transmembrane,0,0.2525
O43561,SEG,segment,Transmembrane,0,0.9565
O43561,catGRANULE,segment,Extracellular/Lumenal,0,-11.9399
O43561,PLAAC,segment,Extracellular/Lumenal,0,0.0005
O43561,PScore,segment,Extracellular/Lumenal,0,-2.23
O43561,ESpritz,segment,Extracellular/Lumenal,0,0.2755
O43561,SEG,segment,Extracellular/Lumenal,0,0.0
P31431,PLAAC,segment,Cytoplasmic,0,0.0006
P31431,PScore,segment,Cytoplasmic,0,0.684
P31431,ESpritz,segment,Cytoplasmic,0,0.387
P31431,SEG,segment,Cytoplasmic,0,0.0
P31431,catGRANULE,segment,Transmembrane,0,-1.7916
P31431,PLAAC,segment,Transmembrane,0,0.0001
P31431,PScore,segment,Transmembrane,0,-0.6625
P31431,ESpritz,segment,Transmembrane,0,0.2287
P31431,SEG,segment,Transmembrane,0,0.0
P31431,catGRANULE,segment,Extracellular/Lumenal,0,-1.8
P31431,PLAAC,segment,Extracellular/Lumenal,0,0.0005
P31431,PScore,segment,Extracellular/Lumenal,0,0.8245
P31431,ESpritz,segment,Extracellular/Lumenal,0,0.3895
P31431,SEG,segment,Extracellular/Lumenal,0,0.1496
O75445,catGRANULE,segment,Cytoplasmic,0,-4.7615
O75445,PLAAC,segment,Cytoplasmic,0,0.005
O75445,PScore,segment,Cytoplasmic,0,0.5265
O75445,ESpritz,segment,Cytoplasmic,0,0.099
O75445,SEG,segment,Cytoplasmic,0,0.0
O75445,catGRANULE,segment,Transmembrane,0,-7.2938
O75445,PLAAC,segment,Transmembrane,0,0.0001
O75445,PScore,segment,Transmembrane,0,-1.8885
O75445,ESpritz,segment,Transmembrane,0,0.0437
O75445,SEG,segment,Transmembrane,0,0.9524
O75445,catGRANULE,segment,Extracellular/Lumenal,0,-4.786
O75445,PLAAC,segment,Extracellular/Lumenal,0,0.0033
O75445,PScore,segment,Extracellular/Lumenal,0,0.6753
O75445,ESpritz,segment,Extracellular/Lumenal,0,0.0482
O75445,SEG,segment,Extracellular/Lumenal,0,0.0068
Q9UM73,catGRANULE,segment,Cytoplasmic,0,-4.0927
Q9UM73,PLAAC,segment,Cytoplasmic,0,0.0122
Q9UM73,PScore,segment,Cytoplasmic,0,0.5246
Q9UM73,ESpritz,segment,Cytoplasmic,0,0.1977
Q9UM73,SEG,segment,Cytoplasmic,0,0.0588
Q9UM73,catGRANULE,segment,Transmembrane,0,-8.7315
Q9UM73,PLAAC,segment,Transmembrane,0,0.0001
Q9UM73,PScore,segment,Transmembrane,0,-1.6827
Q9UM73,ESpritz,segment,Transmembrane,0,0.0433
Q9UM73,SEG,segment,Transmembrane,0,0.7143
Q9UM73,catGRANULE,segment,Extracellular/Lumenal,0,-1.6241
Q9UM73,PLAAC,segment,Extracellular/Lumenal,0,0.026
Q9UM73,PScore,segment,Extracellular/Lumenal,0,0.9611
Q9UM73,ESpritz,segment,Extracellular/Lumenal,0,0.0734
Q9UM73,SEG,segment,Extracellular/Lumenal,0,0.1078
Q9H461,catGRANULE,segment,Cytoplasmic,0,1.6192
Q9H461,catGRANULE,segment,Cytoplasmic,1,-4.3105
Q9H461,catGRANULE,segment,Cytoplasmic,2,-9.8119
Q9H461,catGRANULE,segment,Cytoplasmic,3,28.0134
Q9H461,PLAAC,segment,Cytoplasmic,0,0.0
Q9H461,PLAAC,segment,Cytoplasmic,1,0.0011
Q9H461,PLAAC,segment,Cytoplasmic,2,0.0002
Q9H461,PLAAC,segment,Cytoplasmic,3,0.332
Q9H461,PScore,segment,Cytoplasmic,0,2.5211
Q9H461,PScore,segment,Cytoplasmic,1,-0.395
Q9H461,PScore,segment,Cytoplasmic,2,-0.4084
Q9H461,PScore,segment,Cytoplasmic,3,3.1342
Q9H461,ESpritz,segment,Cytoplasmic,0,0.0941
Q9H461,ESpritz,segment,Cytoplasmic,1,0.0468
Q9H461,ESpritz,segment,Cytoplasmic,2,0.0409
Q9H461,ESpritz,segment,Cytoplasmic,3,0.4306
Q9H461,SEG,segment,Cytoplasmic,0,0.0
Q9H461,SEG,segment,Cytoplasmic,1,0.0
Q9H461,SEG,segment,Cytoplasmic,2,0.0
Q9H461,SEG,segment,Cytoplasmic,3,0.427
Q9H461,catGRANULE,segment,Transmembrane,0,-10.1165
Q9H461,catGRANULE,segment,Transmembrane,1,14.3713
Q9H461,catGRANULE,segment,Transmembrane,2,-8.6158
Q9H461,catGRANULE,segment,Transmembrane,3,-4.4987
Q9H461,catGRANULE,segment,Transmembrane,4,-6.4262
Q9H461,catGRANULE,segment,Transmembrane,5,-11.4391
Q9H461,catGRANULE,segment,Transmembrane,6,5.968
Q9H461,PLAAC,segment,Transmembrane,0,0.0
Q9H461,PLAAC,segment,Transmembrane,1,0.0001
Q9H461,PLAAC,segment,Transmembrane,2,0.0002
Q9H461,PLAAC,segment,Transmembrane,3,0.0004
Q9H461,PLAAC,segment,Transmembrane,4,0.0001
Q9H461,PLAAC,segment,Transmembrane,5,0.0001
Q9H461,PLAAC,segment,Transmembrane,6,0.0001
Q9H461,PScore,segment,Transmembrane,0,0.9373
Q9H461,PScore,segment,Transmembrane,1,1.0833
Q9H461,PScore,segment,Transmembrane,2,1.9085
Q9H461,PScore,segment,Transmembrane,3,-0.4042
Q9H461,PScore,segment,Transmembrane,4,-0.0373
Q9H461,PScore,segment,Transmembrane,5,-1.0658
Q9H461,PScore,segment,Transmembrane,6,2.7226
Q9H461,ESpritz,segment,Transmembrane,0,0.1199
Q9H461,ESpritz,segment,Transmembrane,1,0.086
Q9H461,ESpritz,segment,Transmembrane,2,0.051
Q9H461,ESpritz,segment,Transmembrane,3,0.0451
Q9H461,ESpritz,segment,Transmembrane,4,0.0398
Q9H461,ESpritz,segment,Transmembrane,5,0.0437
Q9H461,ESpritz,segment,Transmembrane,6,0.0847
Q9H461,SEG,segment,Transmembrane,0,0.0
Q9H461,SEG,segment,Transmembrane,1,0.0
Q9H461,SEG,segment,Transmembrane,2,0.0
Q9H461,SEG,segment,Transmembrane,3,0.0
Q9H461,SEG,segment,Transmembrane,4,0.0
Q9H461,SEG,segment,Transmembrane,5,0.0
Q9H461,SEG,segment,Transmembrane,6,0.0
Q9H461,catGRANULE,segment,Extracellular/Lumenal,0,-2.4888
Q9H461,catGRANULE,segment,Extracellular/Lumenal,1,1.7818
Q9H461,catGRANULE,segment,Extracellular/Lumenal,2,-3.8174
Q9H461,catGRANULE,segment,Extracellular/Lumenal,3,-8.4772
Q9H461,PLAAC,segment,Extracellular/Lumenal,0,0.0274
Q9H461,PLAAC,segment,Extracellular/Lumenal,1,0.0641
Q9H461,PLAAC,segment,Extracellular/Lumenal,2,0.0012
Q9H461,PLAAC,segment,Extracellular/Lumenal,3,0.0004
Q9H461,PScore,segment,Extracellular/Lumenal,0,1.7149
Q9H461,PScore,segment,Extracellular/Lumenal,1,0.7498
Q9H461,PScore,segment,Extracellular/Lumenal,2,-0.6096
Q9H461,PScore,segment,Extracellular/Lumenal,3,-0.0675
Q9H461,ESpritz,segment,Extracellular/Lumenal,0,0.1806
Q9H461,ESpritz,segment,Extracellular/Lumenal,1,0.1128
Q9H461,ESpritz,segment,Extracellular/Lumenal,2,0.0424
Q9H461,ESpritz,segment,Extracellular/Lumenal,3,0.0574
Q9H461,SEG,segment,Extracellular/Lumenal,0,0.2984
Q9H461,SEG,segment,Extracellular/Lumenal,1,0.4921
Q9H461,SEG,segment,Extracellular/Lumenal,2,0.0
Q9H461,SEG,segment,Extracellular/Lumenal,3,0.0
O14763,catGRANULE,segment,Cytoplasmic,0,-5.015
O14763,PLAAC,segment,Cytoplasmic,0,0.0005
O14763,PScore,segment,Cytoplasmic,0,0.1398
O14763,ESpritz,segment,Cytoplasmic,0,0.2324
O14763,SEG,segment,Cytoplasmic,0,0.0861
O14763,catGRANULE,segment,Transmembrane,0,-0.4049
O14763,PLAAC,segment,Transmembrane,0,0.0001
O14763,PScore,segment,Transmembrane,0,-0.2967
O14763,ESpritz,segment,Transmembrane,0,0.1051
O14763,SEG,segment,Transmembrane,0,0.8571
O14763,catGRANULE,segment,Extracellular/Lumenal,0,-6.1099
O14763,PLAAC,segment,Extracellular/Lumenal,0,0.0029
O14763,PScore,segment,Extracellular/Lumenal,0,1.0791
O14763,ESpritz,segment,Extracellular/Lumenal,0,0.1599
O14763,SEG,segment,Extracellular/Lumenal,0,0.0903
P46531,catGRANULE,segment,Cytoplasmic,0,-3.7054
P46531,PLAAC,segment,Cytoplasmic,0,0.0846
P46531,PScore,segment,Cytoplasmic,0,0.4134
P46531,ESpritz,segment,Cytoplasmic,0,0.2638
P46531,SEG,segment,Cytoplasmic,0,0.1815
P46531,catGRANULE,segment,Transmembrane,0,1.4189
P46531,PLAAC,segment,Transmembrane,0,0.0002
P46531,PScore,segment,Transmembrane,0,0.4019
P46531,ESpritz,segment,Transmembrane,0,0.1228
P46531,SEG,segment,Transmembrane,0,0.8571
P46531,catGRANULE,segment,Extracellular/Lumenal,0,-3.4431
P46531,PLAAC,segment,Extracellular/Lumenal,0,0.0011
P46531,PScore,segment,Extracellular/Lumenal,0,1.9098
P46531,ESpritz,segment,Extracellular/Lumenal,0,0.0483
P46531,SEG,segment,Extracellular/Lumenal,0,0.0215
Q8N114,catGRANULE,segment,Cytoplasmic,0,-8.9514
Q8N114,PLAAC,segment,Cytoplasmic,0,0.5921
Q8N114,PScore,segment,Cytoplasmic,0,2.8109
Q8N114,ESpritz,segment,Cytoplasmic,0,0.3374
Q8N114,SEG,segment,Cytoplasmic,0,0.7456
Q8N114,catGRANULE,segment,Transmembrane,0,-16.8586
Q8N114,PLAAC,segment,Transmembrane,0,0.0005
Q8N114,PScore,segment,Transmembrane,0,-0.0636
Q8N114,ESpritz,segment,Transmembrane,0,0.0789
Q8N114,SEG,segment,Transmembrane,0,0.1905
Q8N114,catGRANULE,segment,Extracellular/Lumenal,0,-8.601
Q8N114,PLAAC,segment,Extracellular/Lumenal,0,0.0007
Q8N114,PScore,segment,Extracellular/Lumenal,0,0.5075
Q8N114,ESpritz,segment,Extracellular/Lumenal,0,0.1155
Q8N114,SEG,segment,Extracellular/Lumenal,0,0.0
Q07065,catGRANULE,segment,Cytoplasmic,0,1.0514
Q07065,PLAAC,segment,Cytoplasmic,0,0.4301
Q07065,PScore,segment,Cytoplasmic,0,2.4874
Q07065,ESpritz,segment,Cytoplasmic,0,0.5864
Q07065,SEG,segment,Cytoplasmic,0,0.6698
Q07065,catGRANULE,segment,Transmembrane,0,-2.9964
