Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,P85037,FOXK1_HUMAN,Forkhead box protein K1 (Myocyte nuclear factor) (MNF),1.0
2,Q7RTP6,MICA3_HUMAN,[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3),1.0
3,Q01167,FOXK2_HUMAN,Forkhead box protein K2 (G/T-mismatch specific binding protein) (nGTBP) (Interleukin enhancer-binding factor 1),1.0
4,Q86VQ3,TXND2_HUMAN,Thioredoxin domain-containing protein 2 (Spermatid-specific thioredoxin-1) (Sptrx-1),1.0
5,O60936,NOL3_HUMAN,Nucleolar protein 3 (Apoptosis repressor with CARD) (Muscle-enriched cytoplasmic protein) (Myp) (Nucleolar protein of 30 kDa) (Nop30),0.99
6,Q08397,LOXL1_HUMAN,Lysyl oxidase homolog 1 (EC 1.4.3.-) (Lysyl oxidase-like protein 1) (LOL),0.99
7,Q96EB6,SIR1_HUMAN,NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)],0.99
8,Q5VUM1,SDHF4_HUMAN,"Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4)",0.99
9,P80192,M3K9_HUMAN,Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1),0.98
10,P29353,SHC1_HUMAN,SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1),0.98
11,Q86VP3,PACS2_HUMAN,Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein),0.97
12,Q96A73,P33MX_HUMAN,Putative monooxygenase p33MONOX (EC 1.-.-.-) (Brain-derived rescue factor p60MONOX) (Flavin monooxygenase motif-containing protein of 33 kDa),0.97
13,P56181,NDUV3_HUMAN,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit) (Renal carcinoma antigen NY-REN-4)",0.96
14,Q92538,GBF1_HUMAN,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1),0.96
15,Q92622,RUBIC_HUMAN,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Rubicon) (Beclin-1 associated RUN domain containing protein) (Baron),0.95
16,Q9BVT8,TMUB1_HUMAN,Transmembrane and ubiquitin-like domain-containing protein 1 (Dendritic cell-derived ubiquitin-like protein) (DULP) (Hepatocyte odd protein shuttling protein) (Ubiquitin-like protein SB144) [Cleaved into: iHOPS],0.93
17,Q49B96,COX19_HUMAN,Cytochrome c oxidase assembly protein COX19 (hCOX19),0.9
18,Q9Y6M9,NDUB9_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (LYR motif-containing protein 3) (NADH-ubiquinone oxidoreductase B22 subunit),0.9
19,P55789,ALR_HUMAN,FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin),0.88
20,P10606,COX5B_HUMAN,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)",0.88
21,Q86UR1,NOXA1_HUMAN,NADPH oxidase activator 1 (NOX activator 1) (Antigen NY-CO-31) (NCF2-like protein) (P67phox-like factor) (p51-nox),0.87
22,Q9Y3D2,MSRB2_HUMAN,"Methionine-R-sulfoxide reductase B2, mitochondrial (MsrB2) (EC 1.8.4.12) (EC 1.8.4.14)",0.86
23,P19878,NCF2_HUMAN,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox),0.84
24,Q8NFA2,NOXO1_HUMAN,NADPH oxidase organizer 1 (NADPH oxidase regulatory protein) (Nox organizer 1) (Nox-organizing protein 1) (SH3 and PX domain-containing protein 5),0.84
25,Q02221,CX6A2_HUMAN,"Cytochrome c oxidase subunit 6A2, mitochondrial (Cytochrome c oxidase polypeptide VIa-heart) (COXVIAH) (Cytochrome c oxidase subunit VIA-muscle) (COX VIa-M)",0.84
26,Q9NRA0,SPHK2_HUMAN,Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91),0.84
27,A8MVU1,NCF1C_HUMAN,Putative neutrophil cytosol factor 1C (NCF-1C) (Putative SH3 and PX domain-containing protein 1C),0.83
28,Q8NBK3,SUMF1_HUMAN,Formylglycine-generating enzyme (FGE) (EC 1.8.3.7) (C-alpha-formylglycine-generating enzyme 1) (Sulfatase-modifying factor 1),0.82
29,A6NFY7,SDHF1_HUMAN,"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)",0.82
30,P10515,ODP2_HUMAN,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)",0.82
31,Q96EY1,DNJA3_HUMAN,"DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)",0.82
32,Q8TDZ2,MICA1_HUMAN,[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains),0.8
33,P07919,QCR6_HUMAN,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",0.8
34,Q9NS69,TOM22_HUMAN,Mitochondrial import receptor subunit TOM22 homolog (hTom22) (1C9-2) (Translocase of outer membrane 22 kDa subunit homolog),0.78
35,P11474,ERR1_HUMAN,Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1),0.78
36,P12074,CX6A1_HUMAN,"Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver) (Cytochrome c oxidase subunit VIA-liver) (COX VIa-L)",0.78
37,Q14061,COX17_HUMAN,Cytochrome c oxidase copper chaperone,0.77
38,Q96GN5,CDA7L_HUMAN,Cell division cycle-associated 7-like protein (Protein JPO2) (Transcription factor RAM2),0.77
39,Q9H0H9,C4F30_HUMAN,Putative cytochrome P450 family member 4F30,0.77
40,A0A096LP55,QCR6L_HUMAN,"Cytochrome b-c1 complex subunit 6-like, mitochondrial",0.76
41,O95169,NDUB8_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)",0.75
42,Q9NX14,NDUBB_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)",0.74
43,O43169,CYB5B_HUMAN,Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform),0.72
44,O75509,TNR21_HUMAN,Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358),0.72
45,Q92830,KAT2A_HUMAN,Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97),0.71
46,A6NI72,NCF1B_HUMAN,Putative neutrophil cytosol factor 1B (NCF-1B) (Putative SH3 and PX domain-containing protein 1B),0.71
47,P28300,LYOX_HUMAN,"Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]",0.7
48,Q9NYJ1,COA4_HUMAN,"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial (Coiled-coil-helix-coiled-coil-helix domain-containing protein 8) (E2-induced gene 2 protein)",0.7
49,P53701,CCHL_HUMAN,Cytochrome c-type heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome c-type synthase),0.69
50,Q14114,LRP8_HUMAN,Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2),0.68
51,P51687,SUOX_HUMAN,"Sulfite oxidase, mitochondrial (EC 1.8.3.1)",0.68
52,O75880,SCO1_HUMAN,"Protein SCO1 homolog, mitochondrial",0.67
53,Q8IXL7,MSRB3_HUMAN,Methionine-R-sulfoxide reductase B3 (MsrB3) (EC 1.8.4.12) (EC 1.8.4.14),0.66
54,Q96LC7,SIG10_HUMAN,Sialic acid-binding Ig-like lectin 10 (Siglec-10) (Siglec-like protein 2),0.66
55,P17643,TYRP1_HUMAN,"5,6-dihydroxyindole-2-carboxylic acid oxidase (DHICA oxidase) (EC 1.14.18.-) (Catalase B) (Glycoprotein 75) (Melanoma antigen gp75) (Tyrosinase-related protein 1) (TRP) (TRP-1) (TRP1)",0.66
56,Q8WXS8,ATS14_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 14 (ADAM-TS 14) (ADAM-TS14) (ADAMTS-14) (EC 3.4.24.-),0.65
57,Q16206,ENOX2_HUMAN,Ecto-NOX disulfide-thiol exchanger 2 (APK1 antigen) (Cytosolic ovarian carcinoma antigen 1) (Tumor-associated hydroquinone oxidase) (tNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)],0.65
58,P13498,CY24A_HUMAN,Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox),0.64
59,O94851,MICA2_HUMAN,[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (Molecule interacting with CasL protein 2) (MICAL-2),0.63
60,O95298,NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b),0.63
61,P14598,NCF1_HUMAN,Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox),0.62
62,O95831,AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial (EC 1.6.99.-) (Programmed cell death protein 8)",0.62
63,Q9Y6N1,COX11_HUMAN,"Cytochrome c oxidase assembly protein COX11, mitochondrial",0.61
64,P49748,ACADV_HUMAN,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)",0.6
65,Q6ZRP7,QSOX2_HUMAN,Sulfhydryl oxidase 2 (EC 1.8.3.2) (Neuroblastoma-derived sulfhydryl oxidase) (Quiescin Q6-like protein 1),0.6
66,Q96KJ9,COX42_HUMAN,"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial (Cytochrome c oxidase subunit IV isoform 2) (COX IV-2)",0.6
67,P10109,ADX_HUMAN,"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)",0.58
68,Q16853,AOC3_HUMAN,Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1),0.58
69,Q9H7D7,WDR26_HUMAN,WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2),0.58
70,O14733,MP2K7_HUMAN,Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2),0.57
71,Q6UW78,UQCC3_HUMAN,Ubiquinol-cytochrome-c reductase complex assembly factor 3 (Assembly factor CBP4 homolog),0.57
72,P49327,FAS_HUMAN,Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],0.57
73,Q7Z4L0,COX8C_HUMAN,"Cytochrome c oxidase subunit 8C, mitochondrial (Cytochrome c oxidase polypeptide 8 isoform 3) (Cytochrome c oxidase polypeptide VIII isoform 3) (COX VIII-3) (Cytochrome c oxidase subunit 8-3) (COX8-3) (Cytochrome c oxidase subunit VIIIC)",0.57
74,Q9GZY4,COA1_HUMAN,Cytochrome c oxidase assembly factor 1 homolog (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 15 kDa),0.57
75,O00330,ODPX_HUMAN,"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)",0.56
76,Q6GPH4,XAF1_HUMAN,XIAP-associated factor 1 (BIRC4-binding protein),0.56
77,P58004,SESN2_HUMAN,Sestrin-2 (EC 1.11.1.-) (Hypoxia-induced gene),0.56
78,Q9UJ68,MSRA_HUMAN,Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR),0.54
79,Q9ULD0,OGDHL_HUMAN,"2-oxoglutarate dehydrogenase-like, mitochondrial (EC 1.2.4.-) (2-oxoglutarate dehydrogenase complex component E1-like) (OGDC-E1-like) (Alpha-ketoglutarate dehydrogenase-like)",0.54
