Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q12802,AKP13_HUMAN,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),1.0
2,P25054,APC_HUMAN,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),1.0
3,Q5JU85,IQEC2_HUMAN,IQ motif and SEC7 domain-containing protein 2,1.0
4,Q96PE2,ARHGH_HUMAN,Rho guanine nucleotide exchange factor 17 (164 kDa Rho-specific guanine-nucleotide exchange factor) (p164-RhoGEF) (p164RhoGEF) (Tumor endothelial marker 4),1.0
5,Q15751,HERC1_HUMAN,Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619),1.0
6,Q12774,ARHG5_HUMAN,Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM),1.0
7,O15085,ARHGB_HUMAN,Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),1.0
8,Q6ZSZ5,ARHGI_HUMAN,Rho guanine nucleotide exchange factor 18 (114 kDa Rho-specific guanine nucleotide exchange factor) (p114-Rho-GEF) (p114RhoGEF) (Septin-associated RhoGEF) (SA-RhoGEF),1.0
9,A5PKW4,PSD1_HUMAN,PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1),1.0
10,Q8NDX1,PSD4_HUMAN,PH and SEC7 domain-containing protein 4 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 B) (Exchange factor for ARF6 B) (Pleckstrin homology and SEC7 domain-containing protein 4) (Telomeric of interleukin-1 cluster protein),1.0
11,Q6ZNL6,FGD5_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 5 (Zinc finger FYVE domain-containing protein 23)",1.0
12,Q9UPP2,IQEC3_HUMAN,IQ motif and SEC7 domain-containing protein 3,1.0
13,A5YM69,ARG35_HUMAN,Rho guanine nucleotide exchange factor 35 (Rho guanine nucleotide exchange factor 5-like protein),1.0
14,O75962,TRIO_HUMAN,Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein),1.0
15,Q6ZV73,FGD6_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 6 (Zinc finger FYVE domain-containing protein 24)",1.0
16,Q9NYI0,PSD3_HUMAN,PH and SEC7 domain-containing protein 3 (Epididymis tissue protein Li 20mP) (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 D) (Exchange factor for ARF6 D) (Hepatocellular carcinoma-associated antigen 67) (Pleckstrin homology and SEC7 domain-containing protein 3),1.0
17,Q5VZ89,DEN4C_HUMAN,DENN domain-containing protein 4C,0.99
18,Q8N1W1,ARG28_HUMAN,Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor),0.99
19,Q9Y4G8,RPGF2_HUMAN,Rap guanine nucleotide exchange factor 2 (Cyclic nucleotide ras GEF) (CNrasGEF) (Neural RAP guanine nucleotide exchange protein) (nRap GEP) (PDZ domain-containing guanine nucleotide exchange factor 1) (PDZ-GEF1) (RA-GEF-1) (Ras/Rap1-associating GEF-1),0.99
20,O95248,MTMR5_HUMAN,Myotubularin-related protein 5 (Inactive phosphatidylinositol 3-phosphatase 5) (SET-binding factor 1) (Sbf1),0.99
21,Q7Z401,MYCPP_HUMAN,C-myc promoter-binding protein (DENN domain-containing protein 4A),0.99
22,Q8TEU7,RPGF6_HUMAN,Rap guanine nucleotide exchange factor 6 (PDZ domain-containing guanine nucleotide exchange factor 2) (PDZ-GEF2) (RA-GEF-2),0.99
23,Q8IZP0,ABI1_HUMAN,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1),0.99
24,O60239,3BP5_HUMAN,SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK),0.99
25,Q8TEH3,DEN1A_HUMAN,DENN domain-containing protein 1A (Connecdenn 1) (Connecdenn) (Protein FAM31A),0.99
26,Q8IVF5,TIAM2_HUMAN,T-lymphoma invasion and metastasis-inducing protein 2 (TIAM-2) (SIF and TIAM1-like exchange factor),0.99
27,P78524,DEN2B_HUMAN,DENN domain-containing protein 2B (HeLa tumor suppression 1) (Suppression of tumorigenicity 5 protein),0.99
28,O15211,RGL2_HUMAN,Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like 2) (RalGDS-like factor) (Ras-associated protein RAB2L),0.99
29,Q6VN20,RBP10_HUMAN,Ran-binding protein 10 (RanBP10),0.99
30,O94989,ARHGF_HUMAN,Rho guanine nucleotide exchange factor 15 (Ephexin-5) (E5) (Vsm-RhoGEF),0.99
31,Q6XZF7,DNMBP_HUMAN,Dynamin-binding protein (Scaffold protein Tuba),0.99
32,Q9H329,E41LB_HUMAN,Band 4.1-like protein 4B (FERM-containing protein CG1) (Protein EHM2),0.98
33,Q9P219,DAPLE_HUMAN,Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues) (hDaple) (Hook-related protein 2) (HkRP2),0.98
34,Q7L8J4,3BP5L_HUMAN,SH3 domain-binding protein 5-like (SH3BP-5-like),0.98
35,Q9NZN5,ARHGC_HUMAN,Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF),0.98
36,P11274,BCR_HUMAN,Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26),0.98
37,O15013,ARHGA_HUMAN,Rho guanine nucleotide exchange factor 10,0.98
38,Q6ZS11,RINL_HUMAN,Ras and Rab interactor-like protein,0.98
39,Q15811,ITSN1_HUMAN,Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17),0.98
40,Q76NI1,KNDC1_HUMAN,Kinase non-catalytic C-lobe domain-containing protein 1 (KIND domain-containing protein 1) (Cerebral protein 9) (Protein very KIND) (v-KIND) (Ras-GEF domain-containing family member 2),0.98
