protein1_uniprot,protein2_uniprot,protein1_gene,protein2_gene,string_score,string_score_normalized,pllps_1,pllps_2,pllps_mean
O43761,Q01959,SYNGR3,SLC6A3,911.0,0.911,0.52,0.29,0.405
Q9Y5Y7,P35613,LYVE1,BSG,874.0,0.874,0.56,0.29,0.42500000000000004
P35613,O95907,BSG,SLC16A8,989.0,0.989,0.29,0.57,0.42999999999999994
P35613,O60669,BSG,SLC16A7,742.0,0.742,0.29,0.37,0.32999999999999996
P35613,P08195,BSG,SLC3A2,909.0,0.909,0.29,0.43,0.36
P35613,P53985,BSG,SLC16A1,999.0,0.999,0.29,0.29,0.29
Q8WUM9,Q08357,SLC20A1,SLC20A2,766.0,0.766,0.35,0.45,0.4
O60494,P98164,CUBN,LRP2,983.0,0.983,0.89,0.32,0.605
P43003,P43004,SLC1A3,SLC1A2,900.0,0.9,0.19,0.19,0.19
Q6PCB7,Q6P1M0,SLC27A1,SLC27A4,929.0,0.929,0.13,0.14,0.135
O15118,P61916,NPC1,NPC2,998.0,0.998,0.15,0.16,0.155
P14672,P11166,SLC2A4,SLC2A1,900.0,0.9,0.14,0.12,0.13
Q8WUX1,Q99624,SLC38A5,SLC38A3,900.0,0.9,0.16,0.13,0.14500000000000002
