Entry,Gene,Protein_name,cohort,n_tm,topology,cdcode_role,n_cdcode_biomol_condensates,in_source_db,has_bg_scores,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,FuzDrop_pLLPS,catGRANULE_score,PLAAC_NLLR,PScore_score,ESpritz_score,SEG_score,SaPS_score,PdPS_score,DeepPhase_score,PDL_score,RY_score,ParSe2_score,LLPhyScore_score,TMD_count,Entry name,p(LLPS),pLLPS_Class,Length
Q9NUT2,ABCB8,"Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial ATP-binding cassette 1) (M-ABC1) (Mitochondrial sulfonylurea-receptor) (MITOSUR)",legacy,3,multi-pass,member,1.0,True,True,0.1912766592,0.1950732412,,0.213,0.012334646,0.19,0.491485,-0.181,0.92,0.0380952380952381,0.0952380952380952,0.0642745271325111,0.0891780853271484,0.5,0.046444025,0.0897959183673469,26.8794071800251,-932.0,3.0,MITOS_HUMAN,0.19,Low,735.0
P28288,ABCD3,ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (70 kDa peroxisomal membrane protein) (PMP70),legacy,4,multi-pass,member,3.0,True,True,0.4843526435,0.3604407677,0.0,0.616,0.54431546,0.19,0.795194,-0.305,-0.11,0.0,0.0288315629742033,0.1462931185960769,0.2912075519561767,0.01,0.03183536,0.1183611532625189,5.073728896743514,-920.0,4.0,ABCD3_HUMAN,0.19,Low,659.0
O95870,ABHD16A,Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (hBAT5) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23) (Protein G5),legacy,2,multi-pass,member,1.0,True,True,0.2144225748,0.0486329901,0.0,0.09,0.0023885674,0.32,0.0768257,-0.193,0.82,0.0,0.0089605734767025,0.0628384575247764,0.0785757154226303,0.18,0.04044886,0.1182795698924731,11.593741026591474,-583.0,2.0,ABHGA_HUMAN,0.32,Low,558.0
Q5T8D3,ACBD5,Acyl-CoA-binding domain-containing protein 5,legacy,1,single-pass,member,2.0,True,True,0.5567193505,0.3060609849,0.020833333,0.573,0.03096326,0.94,1.21392,-0.043,2.28,0.0,0.0749063670411985,0.8912874460220337,0.7779191732406616,0.99,0.1920025,0.0767790262172284,167.90509365524088,33.0,1.0,ACBD5_HUMAN,0.94,High,534.0
Q16570,ACKR1,Atypical chemokine receptor 1 (Duffy antigen receptor for chemokines) (Duffy antigen/chemokine receptor) (Duffy blood group antigen) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234),legacy,7,multi-pass,member,1.0,True,True,0.0306628175,0.0334935076,0.0,0.092,0.0009655766,0.19,-0.556729,-0.339,1.29,0.0,0.1577380952380952,0.0641077309846878,0.0296308547258377,0.53,0.11242357,0.0357142857142857,1.8760634946547217,-582.0,7.0,ACKR1_HUMAN,0.19,Low,336.0
O95573,ACSL3,Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2),legacy,1,single-pass,member,1.0,True,True,0.6339244296000001,0.7074971653000001,0.0,0.676,0.31183514,0.17,0.752461,-0.273,0.73,0.0,0.0,0.0599382631480693,0.2918022274971008,0.16,0.5182938,0.0777777777777777,32.64025133057319,-677.0,1.0,ACSL3_HUMAN,0.17,Low,720.0
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4),legacy,1,single-pass,member,1.0,True,True,0.5996765297000001,0.5312033803,0.001666667,0.686,0.9542287,0.23,0.815891,-0.184,0.96,0.0,0.0,0.4242100119590759,0.4736115932464599,0.19,0.7496679,0.0745428973277074,71.19556299916462,-564.0,1.0,ACSL4_HUMAN,0.23,Low,711.0
Q9UKU0,ACSL6,Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6) (LACS 6),legacy,1,single-pass,member,1.0,True,True,0.600390305,0.7628415638,0.0,0.165,0.08294926,0.25,0.623018,-0.212,0.83,0.0,0.0,0.0616652593016624,0.0550572648644447,0.23,0.10168374,0.0817790530846484,39.35923019336442,-731.0,1.0,ACSL6_HUMAN,0.25,Low,697.0
Q9P0K1,ADAM22,"Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)",legacy,1,single-pass,member,1.0,True,True,0.5995319507,0.2566017968,0.004166667,0.565,0.15291545,0.29,1.33565,-0.132,2.45,0.0562913907284768,0.0695364238410596,0.2246709316968917,0.5509351491928101,0.98,0.27365994,0.0849889624724061,184.5793658427226,-309.0,1.0,ADA22_HUMAN,0.29,Low,906.0
O75077,ADAM23,"Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)",legacy,1,single-pass,member,1.0,True,True,0.4676104679,0.1952507399,0.001666667,0.435,0.10766615,0.41,1.03049,-0.121,2.61,0.0348557692307692,0.0733173076923077,0.0617651753127574,0.1636479496955871,0.81,0.19780733,0.0841346153846153,127.36366504906962,-333.0,1.0,ADA23_HUMAN,0.41,Medium,832.0
