UniProt_ID,region,n_residues,n_fragments,score
Q07065,Cytoplasmic,106,1,0.06292948
Q7Z3C6,Cytoplasmic,653,7,0.001982511
Q14739,Cytoplasmic,211,1,0.3510343
P31431,Cytoplasmic,28,1,0.8889427
P49146,Cytoplasmic,112,4,0.70590794
P13569,Cytoplasmic,1122,7,0.0033905334
P46531,Cytoplasmic,799,1,0.43694764
P21802,Cytoplasmic,423,1,0.5787122
Q9UM73,Cytoplasmic,561,1,0.2860666
O60500,Cytoplasmic,166,1,0.015535377
P17948,Cytoplasmic,558,1,0.6916263
P10747,Cytoplasmic,41,1,0.3923177
P40967,Cytoplasmic,45,1,0.11814366
P15941,Cytoplasmic,74,1,0.36636943
Q14BN4,Cytoplasmic,802,1,0.63869995
P05067,Cytoplasmic,48,1,0.18145093
Q03135,Cytoplasmic,156,2,0.15193078
Q08345,Cytoplasmic,475,1,0.82511866
P15529,Cytoplasmic,26,1,0.16349348
P07949,Cytoplasmic,457,1,0.9887967
Q8N114,Cytoplasmic,114,1,0.02100639
P35968,Cytoplasmic,571,1,0.52413464
Q8TEM1,Cytoplasmic,1840,2,0.014993878
P08172,Cytoplasmic,239,4,0.5307995
Q9Y624,Cytoplasmic,40,1,0.4728868
P08908,Cytoplasmic,183,4,0.61310124
P00533,Cytoplasmic,542,1,0.78439265
O00254,Cytoplasmic,55,4,0.07823604
Q15303,Cytoplasmic,633,1,0.9177634
P61073,Cytoplasmic,113,4,0.03552101
Q7Z434,Cytoplasmic,512,1,0.54742134
P04626,Cytoplasmic,580,1,0.8975118
O75581,Cytoplasmic,220,1,0.07022797
P20963,Cytoplasmic,113,1,0.49421406
P11362,Cytoplasmic,425,1,0.22327065
P63027,Cytoplasmic,93,1,0.50202453
Q12879,Cytoplasmic,663,3,0.005064507
P31645,Cytoplasmic,208,7,0.025019372
P01857,Cytoplasmic,28,1,0.35453856
Q86WV6,Cytoplasmic,284,3,0.13511695
P08247,Cytoplasmic,122,3,0.17446738
Q9BR39,Cytoplasmic,674,1,0.22535762
O75460,Cytoplasmic,513,1,0.16821167
P05556,Cytoplasmic,47,1,0.18576111
Q04671,Cytoplasmic,339,7,0.0019784719
O14763,Cytoplasmic,209,1,0.30216557
P07766,Cytoplasmic,55,1,0.9691326
O43561,Cytoplasmic,235,1,0.4230636
P29317,Cytoplasmic,418,1,0.5108783
Q9H461,Cytoplasmic,155,4,0.060325027
Q07065,Extracellular/Lumenal,475,1,0.46660614
Q7Z3C6,Extracellular/Lumenal,53,2,0.056020577
P31431,Extracellular/Lumenal,127,1,0.021162357
P49146,Extracellular/Lumenal,87,4,0.1036181
P13569,Extracellular/Lumenal,105,6,0.0013873687
P46531,Extracellular/Lumenal,1717,1,0.021904286
P21802,Extracellular/Lumenal,356,1,0.4877695
Q9UM73,Extracellular/Lumenal,1020,1,0.087408885
O60500,Extracellular/Lumenal,1032,1,0.23267119
P17948,Extracellular/Lumenal,732,1,0.91669
P10747,Extracellular/Lumenal,134,1,0.12250868
P40967,Extracellular/Lumenal,126,1,0.040822107
P15941,Extracellular/Lumenal,1135,1,0.39614198
P05067,Extracellular/Lumenal,684,1,0.60638416
Q08345,Extracellular/Lumenal,397,1,0.3317566
P15529,Extracellular/Lumenal,309,1,0.07235811
P07949,Extracellular/Lumenal,607,1,0.31229705
Q8N114,Extracellular/Lumenal,77,1,0.02382542
P35968,Extracellular/Lumenal,745,1,0.18328157
P08172,Extracellular/Lumenal,54,4,0.07323632
Q9Y624,Extracellular/Lumenal,211,1,0.6654475
P08908,Extracellular/Lumenal,74,4,0.06206178
P00533,Extracellular/Lumenal,621,1,0.77274096
O00254,Extracellular/Lumenal,119,4,0.07637956
Q15303,Extracellular/Lumenal,626,1,0.6934699
P61073,Extracellular/Lumenal,91,4,0.020457398
P04626,Extracellular/Lumenal,630,1,0.23908985
O75581,Extracellular/Lumenal,1351,1,0.3040733
P11362,Extracellular/Lumenal,355,1,0.08916995
Q12879,Extracellular/Lumenal,702,2,0.97805357
P31645,Extracellular/Lumenal,164,6,0.00896658
P01857,Extracellular/Lumenal,350,1,0.2742156
Q86WV6,Extracellular/Lumenal,20,2,0.10402767
O75460,Extracellular/Lumenal,425,1,0.031029457
P05556,Extracellular/Lumenal,708,1,0.34116453
Q04671,Extracellular/Lumenal,294,6,0.0012808823
O14763,Extracellular/Lumenal,155,1,0.030956188
P07766,Extracellular/Lumenal,104,1,0.6594209
P29317,Extracellular/Lumenal,514,1,0.16082224
Q9H461,Extracellular/Lumenal,365,4,0.090619095
P15954,Transmembrane,27,1,0.012566438
Q07065,Transmembrane,21,1,0.04164466
Q7Z3C6,Transmembrane,93,4,0.02304404
Q14739,Transmembrane,168,8,0.0074213343
O60733,Transmembrane,42,2,0.010511312
P31431,Transmembrane,25,1,0.052128594
P49146,Transmembrane,182,7,0.031979404
P13569,Transmembrane,253,12,0.014260928
P46531,Transmembrane,21,1,0.07930927
P21802,Transmembrane,21,1,0.064101145
Q9UM73,Transmembrane,21,1,0.16198453
O60500,Transmembrane,21,1,0.10087774
P17948,Transmembrane,22,1,0.036933653
P10747,Transmembrane,27,1,0.025725087
P40967,Transmembrane,21,1,0.083432265
Q9BRQ8,Transmembrane,21,1,0.091210425
P15941,Transmembrane,23,1,0.012677133
Q14BN4,Transmembrane,21,1,0.030494109
P05067,Transmembrane,21,1,0.123157896
Q08345,Transmembrane,21,1,0.05231915
P15529,Transmembrane,23,1,0.051451564
P07949,Transmembrane,22,1,0.10014566
Q8N114,Transmembrane,21,1,0.0983376
P35968,Transmembrane,21,1,0.0510783
Q8TEM1,Transmembrane,21,1,0.09178712
P08172,Transmembrane,173,7,0.030452928
Q9Y624,Transmembrane,21,1,0.032686293
P08908,Transmembrane,165,7,0.035168182
P00533,Transmembrane,23,1,0.22069082
O00254,Transmembrane,162,7,0.005094809
Q15303,Transmembrane,24,1,0.06309453
P61073,Transmembrane,148,7,0.012649615
Q13021,Transmembrane,84,4,0.033897676
Q7Z434,Transmembrane,21,1,0.04568311
P04626,Transmembrane,23,1,0.06575133
O75581,Transmembrane,23,1,0.074797116
P20963,Transmembrane,21,1,0.047484845
P11362,Transmembrane,21,1,0.38286585
P63027,Transmembrane,20,1,0.02359559
Q12879,Transmembrane,62,3,0.036287274
P31645,Transmembrane,258,12,0.059401106
P01857,Transmembrane,21,1,0.079533346
Q9H3U5,Transmembrane,253,12,0.019837331
Q86WV6,Transmembrane,75,4,0.0025064433
P08247,Transmembrane,96,4,0.087594345
Q9BR39,Transmembrane,21,1,0.039530016
O75460,Transmembrane,21,1,0.06512319
P05556,Transmembrane,23,1,0.03184005
Q8NC56,Transmembrane,42,2,0.009568925
Q04671,Transmembrane,205,12,0.0561697
O14763,Transmembrane,21,1,0.16289148
P07766,Transmembrane,26,1,0.039116178
O43561,Transmembrane,23,1,0.029914334
Q9UJA2,Transmembrane,107,5,0.024057323
P29317,Transmembrane,21,1,0.025705341
Q9H461,Transmembrane,147,7,0.0039568176
