UniProt_ID,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,FuzDrop_pLLPS,catGRANULE_score,PLAAC_NLLR,PScore_score,ESpritz_score,SEG_score,SaPS_score,PdPS_score,DeepPhase_score,PDL_score,RY_score,ParSe2_score,LLPhyScore_score,TMD_count,is_membrane_protein,label_all,label_mem,label_mem_bg,label_mem_fixed,label_mem_singlepass_bg,label_mem_multipass_bg
P50914,0.9741134126,0.9784834295,0.009166667,0.782,0.6294166,0.32,-0.16262,-0.246,1.35,0.2790697674418604,0.4651162790697674,0.0607224330306053,0.3078154921531677,0.91,0.96167165,0.0697674418604651,0.0,-106.0,0,False,1,0,,,,
P62750,0.971865607,0.9789935067,0.005,0.893,0.9976136,0.62,-0.143834,-0.505,0.59,0.4807692307692308,0.1858974358974359,0.6331499218940735,0.9138290286064148,0.79,0.9864674,0.1025641025641025,0.0,-169.0,0,False,1,0,,,,
P62854,0.9712176987,0.9585360517,0.000833333,0.688,0.86115456,0.9,-0.596375,-0.469,,0.9391304347826088,0.2782608695652174,0.2183229029178619,0.6408076286315918,0.61,0.981356,0.1652173913043478,0.0,-168.0,0,False,0,0,,0,,
P47914,0.9700212002,0.9690950256,0.001666667,0.716,0.6728247,0.8,0.329225,-0.301,0.17,1.0,0.270440251572327,0.6615025997161865,0.7091331481933594,0.92,0.9669086,0.1069182389937107,0.0,-57.0,0,False,0,0,,0,,
Q9NRF9,0.9646578324,0.8548076035000001,0.0075,0.396,0.8952955,0.88,-0.0604249,-0.421,1.13,0.6802721088435374,0.3537414965986394,0.6776947975158691,0.8377408981323242,0.98,0.76804626,0.0816326530612244,0.0,-8.0,0,False,0,0,,0,,
Q5JNZ5,0.9635420266,0.9534843039,0.0025,0.144,0.39882845,0.78,-0.953223,-0.504,,0.5565217391304348,0.1565217391304348,0.050370842218399,0.312389999628067,0.28,0.9838446,0.1478260869565217,0.0,-169.0,0,False,0,0,,0,,
P46778,0.9633624942,0.9682896505,0.000833333,0.744,0.99452144,0.36,0.984898,-0.341,2.72,0.2625,0.0,0.7339221835136414,0.9404922723770142,0.55,0.9573668,0.125,0.1387728011546588,-90.0,0,False,0,0,,0,,
P83731,0.9631174028,0.9691620052,0.005833333,0.78,0.8803331,0.61,0.258035,-0.381,1.59,0.6369426751592356,0.2611464968152866,0.705818772315979,0.818872332572937,0.88,0.98361623,0.1337579617834395,0.0,-82.0,0,False,1,0,,,,
P25205,0.9626313113,0.9284628891,0.000833333,0.905,0.8988786,0.61,0.55998,-0.345,0.43,0.0,0.0594059405940594,0.8484005928039551,0.915157675743103,0.97,0.97293323,0.099009900990099,37.72698633056228,-559.0,0,False,0,0,,0,,
Q6PD62,0.9615955415,0.7623437512,0.005,0.817,0.6547686,0.29,1.37117,-0.1,4.27,0.2293265132139812,0.2080136402387041,0.9001364707946777,0.903422713279724,0.94,0.87452143,0.1005967604433077,70.93935171245067,-598.0,0,False,1,0,,,,
P18206,0.9615661497,0.8120054829000001,0.0025,0.869,0.9901783,0.41,0.446922,-0.232,0.5,0.0,0.0908289241622574,0.6949307918548584,0.8427553176879883,0.89,0.96941197,0.0670194003527336,18.637806975610097,-1129.0,0,False,1,0,,,,
O60841,0.9610664872,0.9564368635,0.0025,0.78,0.6197325,0.94,1.58372,-0.306,2.78,0.460655737704918,0.2622950819672131,0.7065973877906799,0.7441868782043457,0.88,0.96291375,0.0557377049180327,26.824200410511843,-120.0,0,False,0,0,,0,,
Q00341,0.960817952,0.9528175289,0.001666667,0.871,0.74973327,0.39,1.11372,-0.392,0.54,0.0339116719242902,0.0449526813880126,0.5276567339897156,0.8832939267158508,0.89,0.9848876,0.0733438485804416,30.55647017605655,-1093.0,0,False,0,0,,0,,
Q07955,0.960481657,0.9732640745,,0.923,0.99659127,0.95,2.37379,-0.127,4.04,0.2782258064516129,0.3911290322580645,0.8872339129447937,0.9587386846542358,0.89,0.9865067,0.2338709677419354,117.4598921208138,65.0,0,False,1,0,,,,
P61353,0.9587319011,0.9796813134,0.001666667,0.717,0.9964282,0.17,0.617154,-0.415,,0.0147058823529411,0.088235294117647,0.517764687538147,0.7257438898086548,0.14,0.9814601,0.1470588235294117,8.782961676291539,-82.0,0,False,0,0,,0,,
Q9Y3A2,0.9579677443,0.9748945656,0.0,0.495,0.8840793,0.29,0.421635,-0.503,-0.94,0.1778656126482213,0.0474308300395256,0.7221896052360535,0.5373226404190063,0.75,0.041550662,0.1264822134387351,0.0,-238.0,0,False,0,0,,0,,
Q9NR30,0.9551248805,0.9696308583,0.016666667,0.944,0.9706044,0.45,1.50043,0.015,5.54,0.2349936143039591,0.1583652618135377,0.9343938827514648,0.8668771982192993,0.85,0.71609163,0.070242656449553,40.47525653025717,-174.0,0,False,1,0,,,,
Q9NTJ3,0.9548539793,0.874586356,0.000833333,0.801,0.85585463,0.45,1.04264,-0.201,0.39,0.0395962732919254,0.1032608695652173,0.519402265548706,0.8781777620315552,0.88,0.93487257,0.0690993788819875,29.26832396774357,-1351.0,0,False,0,0,,0,,
Q9BZE4,0.9546131407,0.9555402217,0.0,0.816,0.6394323,0.31,0.538417,-0.364,1.57,0.1261829652996845,0.1104100946372239,0.5504183173179626,0.828769862651825,0.87,0.89059985,0.1182965299684542,13.09638123321814,-714.0,0,False,0,0,,0,,
Q9H875,0.9544065618,0.988726308,0.004166667,0.424,0.17496756,0.99,0.29644,-0.379,0.34,1.0,0.3478260869565217,0.4168901443481445,0.6953925490379333,0.93,0.06852039,0.0978260869565217,7.089717253520829,-14.0,0,False,0,0,,0,,
Q02878,0.9536863588,0.9757495708,0.000833333,0.854,0.96497554,0.54,1.1264,-0.457,0.7,0.1631944444444444,0.1770833333333333,0.8315308690071106,0.805478572845459,0.84,0.9790029,0.1111111111111111,0.7391776494140374,-235.0,0,False,0,0,,0,,
Q14683,0.9535561538,0.9814546048,0.000833333,0.825,0.9580948,0.49,1.29766,-0.324,1.03,0.1159772911597729,0.0859691808596918,0.7280587553977966,0.855135440826416,0.83,0.978884,0.0867802108678021,17.814289107305818,-988.0,0,False,0,0,,0,,
P38646,0.9534323124,0.9807820243,0.008333333,0.928,0.98624516,0.41,1.11664,-0.237,0.59,0.0736377025036818,0.1045655375552282,0.7927659153938293,0.9252788424491882,0.93,0.982178,0.0692194403534609,32.05913858266711,-387.0,0,False,1,0,,,,
P62424,0.9532854911,0.960767453,0.0,0.822,0.9495803,0.31,0.380208,-0.339,0.05,0.1052631578947368,0.1466165413533834,0.3275553584098816,0.8168071508407593,0.15,0.9862898,0.1090225563909774,0.5753316256806597,-294.0,0,False,1,0,,,,
P26373,0.9530228036,0.9749554168,0.000833333,0.812,0.95980835,0.76,0.138868,-0.367,-0.12,0.1611374407582938,0.1137440758293838,0.5625842809677124,0.8776732683181763,0.82,0.97949183,0.1611374407582938,0.1728517862158745,-188.0,0,False,1,0,,,,
P11387,0.9528248847,0.9793790491,0.0025,0.826,0.8603104,0.39,1.33302,-0.276,0.71,0.2300653594771241,0.2339869281045751,0.7018611431121826,0.8555550575256348,0.88,0.97433394,0.0823529411764705,0.1542183796203724,-512.0,0,False,0,0,,0,,
P42766,0.9528023018,0.9787670846,0.000833333,0.746,0.9750923,0.26,0.357191,-0.544,,1.0,0.1707317073170731,0.4969757199287414,0.5066642761230469,0.61,0.9833973,0.1544715447154471,0.0,-109.0,0,False,0,0,,0,,
Q99729,0.9527683755,0.925874428,0.115,0.995,0.9892548,0.99,3.14925,0.504,15.84,0.4126506024096386,0.3493975903614458,0.920922875404358,0.919625461101532,1.0,0.985386,0.108433734939759,304.1187310688909,340.0,0,False,0,0,,0,,
P62917,0.9526486863,0.9594118508,0.004166667,0.82,0.92435503,0.3,1.73246,-0.295,0.76,0.0,0.0389105058365758,0.3391736447811126,0.7620944976806641,0.5,0.98269075,0.1322957198443579,18.59221604738236,-153.0,0,False,1,0,,,,
P82979,0.9520866849,0.9642960082,0.001666667,0.678,0.74463123,0.98,0.229187,-0.436,-0.38,0.9761904761904762,0.2571428571428571,0.7411505579948425,0.7757065892219543,0.89,0.97138333,0.0761904761904762,2.529219069061718,-55.0,0,False,0,0,,0,,
O60506,0.9517479796,0.9486231733,0.073333333,0.981,0.998522,0.62,2.27645,0.147,8.33,0.102728731942215,0.2086677367576244,0.9453929662704468,0.9018948674201964,0.96,0.9855333,0.1300160513643659,225.36558917598504,171.0,0,False,1,0,,,,
Q99879,0.9517173988,0.8534619811,0.0,0.46,0.95742285,0.52,0.314262,-0.375,,0.9444444444444444,0.119047619047619,0.512863039970398,0.7966625094413757,0.54,0.98679084,0.1031746031746031,0.0,-87.0,0,False,0,0,,0,,
O75937,0.9516022011,0.7162166152,0.000833333,0.708,0.9396351,0.84,0.788154,-0.359,0.9,0.9011857707509882,0.1185770750988142,0.5955567955970764,0.7399228811264038,0.82,0.9382339,0.1027667984189723,8.210488477819887,-114.0,0,False,0,0,,0,,
O14862,0.9513465173,0.8727895965,0.0,0.563,0.12122673,0.21,0.252726,-0.285,0.11,0.0,0.0,0.0654302611947059,0.2673689723014831,0.14,0.68285114,0.0583090379008746,0.3775541713614708,-290.0,0,False,0,0,,0,,
Q13247,0.9502007998,0.9480213414,0.04,0.852,0.9788454,1.0,1.87355,-0.209,2.91,0.2877906976744186,0.4651162790697674,0.9188078045845032,0.9560490846633912,0.9,0.9824724,0.2412790697674418,71.2413675532734,-3.0,0,False,0,0,,0,,
Q9UQE7,0.9498742947,0.9273516122,0.000833333,0.819,0.89190674,0.64,1.16343,-0.196,1.38,0.0,0.09531635168447,0.533589780330658,0.8607444763183594,0.9,0.9785593,0.0944946589975349,62.17840151772469,-1023.0,0,False,0,0,,0,,
Q9ULR0,0.9491062403,0.9521436496,0.0,0.553,0.14565963,0.57,0.854835,-0.485,0.89,0.7508771929824561,0.1578947368421052,0.1109864339232444,0.4132659435272217,0.79,0.10892861,0.1157894736842105,14.022260846317462,-95.0,0,False,0,0,,0,,
P35579,0.9489594446,0.9588095652,0.000833333,0.783,0.87321824,0.94,1.00275,-0.317,1.28,0.0336734693877551,0.1443877551020408,0.7490342855453491,0.8638456463813782,0.9,0.9843902,0.0801020408163265,18.9364563476327,-1468.0,0,False,1,0,,,,
P33778,0.9488704813,0.8534619811,0.000833333,0.648,0.95068264,0.55,0.215252,-0.377,,0.8809523809523809,0.238095238095238,0.0482906028628349,0.338725745677948,0.64,0.9868428,0.1031746031746031,0.0,-95.0,0,False,0,0,,0,,
P62899,0.9482488422,0.9699670058,0.000833333,0.818,0.99945515,0.29,0.457034,-0.497,,0.64,0.168,0.643488347530365,0.8128128051757812,0.13,0.9770328,0.144,1.0383690239369343,-112.0,0,False,0,0,,0,,
Q96AT1,0.9477938402,,0.0,0.51,0.88794595,0.99,0.555079,-0.446,0.59,1.0,0.2142857142857142,0.8590878248214722,0.8847644925117493,0.9,0.094361424,0.0779220779220779,5.0007997482387765,23.0,0,False,0,0,,0,,
Q9H9Y2,0.9476296312,0.9623191561,0.000833333,0.414,0.14025906,0.53,0.744505,-0.259,0.48,0.1919770773638968,0.2005730659025787,0.0510123670101165,0.4414947628974914,0.87,0.14730427,0.1117478510028653,4.368877271537055,-299.0,0,False,0,0,,0,,
Q13243,0.9475605241,0.9765157204,0.049166667,0.871,0.97292316,0.95,1.44089,-0.231,2.1,0.2352941176470588,0.4411764705882353,0.8913204073905945,0.9514344930648804,0.91,0.98491216,0.2242647058823529,0.1764928444806323,-119.0,0,False,0,0,,0,,
P08579,0.9473685971,0.9731620316,0.004166667,0.657,0.8645215,0.24,0.6198,0.028,0.08,0.0,0.12,0.1508814543485641,0.4788107275962829,0.59,0.9867791,0.0711111111111111,40.86698365758333,-26.0,0,False,0,0,,0,,
Q8N257,0.9473482855,0.8400739545,0.0,0.422,0.95155877,0.62,0.254164,-0.378,,0.9126984126984128,0.2142857142857142,0.4986313879489898,0.7862907648086548,0.62,0.9868241,0.1031746031746031,0.0,-105.0,0,False,0,0,,0,,
