UniProt_ID,approach,region,seg_idx,score
P15941,concat,Whole,,0.6354200000000001
Q7Z434,concat,Whole,,0.5576200000000001
Q9BR39,concat,Whole,,0.76884
O43561,concat,Whole,,0.7408999999999999
P31431,concat,Whole,,0.14326000000000005
O75445,concat,Whole,,0.6567999999999999
Q9UM73,concat,Whole,,0.7052600000000001
Q9H461,concat,Whole,,0.6854400000000004
O14763,concat,Whole,,0.38876
P46531,concat,Whole,,0.6381800000000001
Q8N114,concat,Whole,,0.37168000000000007
Q07065,concat,Whole,,0.6443200000000003
P08172,concat,Whole,,0.26248
Q08345,concat,Whole,,0.45900000000000035
O60500,concat,Whole,,0.84248
P05067,concat,Whole,,0.8819800000000002
Q8WXG9,concat,Whole,,0.6098799999999998
P11362,concat,Whole,,0.4544400000000003
Q8NC56,concat,Whole,,0.2807200000000001
P40967,concat,Whole,,0.60766
P07766,concat,Whole,,0.2212999999999999
P20963,concat,Whole,,0.2564199999999999
P04626,concat,Whole,,0.3854000000000002
O75460,concat,Whole,,0.31934
P35968,concat,Whole,,0.6701800000000003
Q12879,concat,Whole,,0.5699999999999998
Q86WV6,concat,Whole,,0.07921999999999996
P07949,concat,Whole,,0.30844000000000005
P08908,concat,Whole,,0.70366
P01857,concat,Whole,,0.4037000000000001
Q7Z3C6,concat,Whole,,0.18828000000000003
O75581,concat,Whole,,0.67746
P63027,concat,Whole,,0.09250000000000001
O60733,concat,Whole,,0.58638
Q04671,concat,Whole,,0.26386000000000004
Q14BN4,concat,Whole,,0.6666399999999999
P15529,concat,Whole,,0.48857999999999996
Q8TEM1,concat,Whole,,0.6747799999999999
Q9UJA2,concat,Whole,,0.11795999999999994
P00533,concat,Whole,,0.45444
P21802,concat,Whole,,0.7090000000000001
P08247,concat,Whole,,0.42274000000000006
Q14739,concat,Whole,,0.21420000000000008
P29317,concat,Whole,,0.7064400000000001
P17948,concat,Whole,,0.5163
P05556,concat,Whole,,0.56464
P10747,concat,Whole,,0.05235999999999998
Q16635,concat,Whole,,0.057019999999999946
P61073,concat,Whole,,0.03727999999999996
Q15303,concat,Whole,,0.6312600000000002
O00254,concat,Whole,,0.11211999999999998
Q9H3U5,concat,Whole,,0.12801999999999997
Q9Y624,concat,Whole,,0.22696000000000013
P31645,concat,Whole,,0.2824400000000001
P49146,concat,Whole,,0.05945999999999995
P15954,concat,Whole,,0.037079999999999995
P13569,concat,Whole,,0.5884799999999999
Q9BRQ8,concat,Whole,,0.4578599999999999
Q03135,concat,Whole,,0.2317400000000001
Q13021,concat,Whole,,0.037479999999999986
P15941,concat,Cytoplasmic,,0.10605999999999999
Q7Z434,concat,Cytoplasmic,,0.6038799999999996
Q9BR39,concat,Cytoplasmic,,0.8023800000000001
O43561,concat,Cytoplasmic,,0.6701200000000002
P31431,concat,Cytoplasmic,,0.12922
O75445,concat,Cytoplasmic,,0.19498000000000001
Q9UM73,concat,Cytoplasmic,,0.62154
Q9H461,concat,Cytoplasmic,,0.6292
O14763,concat,Cytoplasmic,,0.21488000000000007
P46531,concat,Cytoplasmic,,0.74052
Q8N114,concat,Cytoplasmic,,0.44238000000000016
Q07065,concat,Cytoplasmic,,0.6849000000000001
P08172,concat,Cytoplasmic,,0.5652999999999999
Q08345,concat,Cytoplasmic,,0.42284000000000005
O60500,concat,Cytoplasmic,,0.36975999999999987
P05067,concat,Cytoplasmic,,0.14123999999999992
Q8WXG9,concat,Cytoplasmic,,0.3419800000000002
P11362,concat,Cytoplasmic,,0.3333400000000001
P40967,concat,Cytoplasmic,,0.03747999999999998
P07766,concat,Cytoplasmic,,0.29839999999999994
P20963,concat,Cytoplasmic,,0.4468599999999998
P04626,concat,Cytoplasmic,,0.68092
O75460,concat,Cytoplasmic,,0.34979999999999994
P35968,concat,Cytoplasmic,,0.53286
Q12879,concat,Cytoplasmic,,0.59986
Q86WV6,concat,Cytoplasmic,,0.15442000000000003
P07949,concat,Cytoplasmic,,0.4654200000000002
P08908,concat,Cytoplasmic,,0.2815800000000001
Q7Z3C6,concat,Cytoplasmic,,0.32622000000000007
O75581,concat,Cytoplasmic,,0.6141800000000003
P63027,concat,Cytoplasmic,,0.21972000000000008
Q04671,concat,Cytoplasmic,,0.2339400000000001
Q14BN4,concat,Cytoplasmic,,0.6517999999999996
P15529,concat,Cytoplasmic,,0.05663999999999997
Q8TEM1,concat,Cytoplasmic,,0.10366000000000003
P00533,concat,Cytoplasmic,,0.4117000000000004
P21802,concat,Cytoplasmic,,0.40778000000000003
P08247,concat,Cytoplasmic,,0.7430399999999999
P29317,concat,Cytoplasmic,,0.54326
P17948,concat,Cytoplasmic,,0.48955999999999994
P05556,concat,Cytoplasmic,,0.12988000000000002
P10747,concat,Cytoplasmic,,0.13662000000000002
P61073,concat,Cytoplasmic,,0.11981999999999998
Q15303,concat,Cytoplasmic,,0.7189200000000002
O00254,concat,Cytoplasmic,,0.07687999999999998
Q9Y624,concat,Cytoplasmic,,0.07709999999999996
P31645,concat,Cytoplasmic,,0.2076
P49146,concat,Cytoplasmic,,0.20518
P13569,concat,Cytoplasmic,,0.6496400000000001
Q03135,concat,Cytoplasmic,,0.28057999999999994
P15941,concat,Transmembrane,,0.0038400000000000023
Q7Z434,concat,Transmembrane,,0.004180000000000003
Q9BR39,concat,Transmembrane,,0.005380000000000004
O43561,concat,Transmembrane,,0.003120000000000002
P31431,concat,Transmembrane,,0.0022000000000000014
O75445,concat,Transmembrane,,0.0038400000000000027
Q9UM73,concat,Transmembrane,,0.004220000000000002
Q9H461,concat,Transmembrane,,0.0245
O14763,concat,Transmembrane,,0.005020000000000004
P46531,concat,Transmembrane,,0.008380000000000006
Q8N114,concat,Transmembrane,,0.004800000000000003
Q07065,concat,Transmembrane,,0.004660000000000003
P08172,concat,Transmembrane,,0.06691999999999998
Q08345,concat,Transmembrane,,0.005020000000000004
O60500,concat,Transmembrane,,0.005980000000000004
P05067,concat,Transmembrane,,0.009780000000000006
Q8WXG9,concat,Transmembrane,,0.011200000000000009
P11362,concat,Transmembrane,,0.005240000000000003
Q8NC56,concat,Transmembrane,,0.005820000000000004
P40967,concat,Transmembrane,,0.004360000000000003
P07766,concat,Transmembrane,,0.0067000000000000046
P20963,concat,Transmembrane,,0.005180000000000003
P04626,concat,Transmembrane,,0.005260000000000003
O75460,concat,Transmembrane,,0.01658000000000001
P35968,concat,Transmembrane,,0.0036200000000000017
Q12879,concat,Transmembrane,,0.0032800000000000025
Q86WV6,concat,Transmembrane,,0.009420000000000006
P07949,concat,Transmembrane,,0.005820000000000004
P08908,concat,Transmembrane,,0.03195999999999998
Q7Z3C6,concat,Transmembrane,,0.012040000000000009
O75581,concat,Transmembrane,,0.01318000000000001
P63027,concat,Transmembrane,,0.01250000000000001
O60733,concat,Transmembrane,,0.010920000000000008
Q04671,concat,Transmembrane,,0.08913999999999996
Q14BN4,concat,Transmembrane,,0.004260000000000003
P15529,concat,Transmembrane,,0.010040000000000007
Q8TEM1,concat,Transmembrane,,0.01316000000000001
Q9UJA2,concat,Transmembrane,,0.016720000000000013
P00533,concat,Transmembrane,,0.003100000000000002
P21802,concat,Transmembrane,,0.004760000000000004
P08247,concat,Transmembrane,,0.03527999999999998
Q14739,concat,Transmembrane,,0.01422000000000001
P29317,concat,Transmembrane,,0.0035800000000000025
P17948,concat,Transmembrane,,0.005700000000000004
P05556,concat,Transmembrane,,0.0022800000000000016
P10747,concat,Transmembrane,,0.0038800000000000024
P61073,concat,Transmembrane,,0.015320000000000009
Q15303,concat,Transmembrane,,0.005940000000000004
O00254,concat,Transmembrane,,0.037719999999999976
Q9H3U5,concat,Transmembrane,,0.06848
Q9Y624,concat,Transmembrane,,0.0022800000000000016
P31645,concat,Transmembrane,,0.09745999999999999
P49146,concat,Transmembrane,,0.022799999999999997
P15954,concat,Transmembrane,,0.005180000000000003
P13569,concat,Transmembrane,,0.06009999999999998
