Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9Y3S1,WNK2_HUMAN,Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43),1.0
2,Q9H4A3,WNK1_HUMAN,Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1),1.0
3,Q8N3K9,CMYA5_HUMAN,Cardiomyopathy-associated protein 5 (Dystrobrevin-binding protein 2) (Genethonin-3) (Myospryn) (SPRY domain-containing protein 2) (Tripartite motif-containing protein 76),1.0
4,Q5T1R4,ZEP3_HUMAN,Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3),1.0
5,Q12802,AKP13_HUMAN,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),1.0
6,O15021,MAST4_HUMAN,Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1),1.0
7,Q96L96,ALPK3_HUMAN,Alpha-protein kinase 3 (EC 2.7.11.1) (Muscle alpha-protein kinase),1.0
8,P35568,IRS1_HUMAN,Insulin receptor substrate 1 (IRS-1),1.0
9,Q14004,CDK13_HUMAN,Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller),1.0
10,O95613,PCNT_HUMAN,Pericentrin (Kendrin) (Pericentrin-B),1.0
11,Q02952,AKA12_HUMAN,A-kinase anchor protein 12 (AKAP-12) (A-kinase anchor protein 250 kDa) (AKAP 250) (Gravin) (Myasthenia gravis autoantigen),1.0
12,Q86TB3,ALPK2_HUMAN,Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase),1.0
13,Q6P0Q8,MAST2_HUMAN,Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1),1.0
14,O15534,PER1_HUMAN,Period circadian protein homolog 1 (hPER1) (Circadian clock protein PERIOD 1) (Circadian pacemaker protein Rigui),1.0
15,Q9NYV4,CDK12_HUMAN,"Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)",1.0
16,P39060,COIA1_HUMAN,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)],1.0
17,Q86YV5,PRAG1_HUMAN,Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223),1.0
18,Q5TCY1,TTBK1_HUMAN,Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase),1.0
19,Q96Q04,LMTK3_HUMAN,Serine/threonine-protein kinase LMTK3 (EC 2.7.11.1) (Lemur tyrosine kinase 3),1.0
