UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,PSPire_includes_IDRs,PSPspredict_PDL,PSPspredict_catGRANULE,PSPspredict_PLAAC,PSPspredict_PScore,PSPspredict_ESpritz_DisProt,PSPspredict_SEG,PSPspredict_DeepPhase,PSPspredict_SaPS_10fea,PSPspredict_PdPS_10fea,PSPspredict_Psphunter,PSPspredict_PSPire
P35637,RNA-binding protein FUS,FUS TLS,DNA damage foci; Mesh-like condensate; Neuronal granule; Nuclear pore complex; Nuclear speckle; Nucleolus; Oskar granule; Paraspeckle; Stress granule; Transcriptional condensate,LLPSDB+PhasePDB,False,0.8617607835000001,0.945786727,,0.984,0.99866885,Yes,0.9857379,0.999705521472392,0.99906084721467,0.999510763209393,0.931582822085889,0.994208588957055,0.826101552664708,0.993668711656441,0.980564417177914,0.984,0.998862087726593
Q13148,TAR DNA-binding protein 43,TARDBP TDP43,Anisosome; Cajal body; Inclusion body; Nuclear body; Nuclear speckle; Nucleolus; Paraspeckle; PML nuclear body; RNP transport granule; Stress granule; TDP-43 nuclear condensate,LLPSDB+PhasePDB,False,0.8596329597,0.9133736608,,0.991,0.99284744,Yes,0.982682,0.989398773006135,0.996292817952646,0.987279843444227,0.574331288343558,0.918920245398773,0.806546370121695,0.999705521472392,0.997791411042944,0.991,0.999302744865417
Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1 G3BP,Neuronal granule; P-body; SARS-CoV-2 N condensate; Stress granule,PhasePDB,False,0.8971113481,0.9242664453,,0.981,0.99007493,Yes,0.9802531,0.93801226993865,0.696060501211012,0.610621874320504,0.878920245398773,0.892269938650306,0.673856483424255,0.993766871165644,0.814576687116564,0.981,0.992386996746063
P10636,Microtubule-associated protein tau,MAPT MAPTL MTBT1 TAU,Nuclear pore complex; Nuclear speckle; Stress granule; Tau condensate,PhasePDB,False,0.8027611292,0.9830198964,,0.968,0.980744,Yes,0.75364035,0.982576687116564,0.875389254114972,0.918841052402696,0.949742331288343,0.794846625766871,0.986991187578682,0.993079754601227,0.948269938650306,0.968,0.990094542503356
P09651,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1 HNRPA1,Nuclear body; Nuclear speckle; Stress granule,PhasePDB,False,0.9161035025,0.948826981,,0.995,0.99967444,Yes,0.98786247,0.999067484662576,0.996688250704364,0.999456403565992,0.802257668711656,0.979533742331288,0.484767100293747,0.999803680981595,0.994552147239263,0.995,0.999645888805389
P06748,Nucleophosmin,NPM1 NPM,Nucleolus; ViPR body,LLPSDB+PhasePDB,False,0.8669064266000001,0.9881384637,,0.959,0.98870933,Yes,0.9622603,0.84760736196319,0.256190994019079,0.315612089584692,0.845153374233128,0.805840490797546,0.996307175828787,0.992932515337423,0.992883435582822,0.959,0.995037734508514
Q13501,Sequestosome-1,SQSTM1 ORCA OSIL,Nucleolus; p62 cluster; PML nuclear body; Stress granule,LLPSDB+PhasePDB,False,0.6431450049,0.9385885349,,0.942,0.9106805,Yes,0.83048576,0.769472392638036,0.367307597251742,0.841161121983039,0.854478527607362,0.728441717791411,0.992614351657574,0.916613496932515,0.992196319018404,0.942,0.978011965751648
P37840,Alpha-synuclein,SNCA NACP PARK1,Inclusion body; P-body; Postsynaptic density; Stress granule; Synapsin condensate; α-synuclein condensates,PhasePDB,False,0.7913308254,0.93120318,0.0025,0.754,0.99638814,No,0.5722021,0.925840490797546,0.07266076812812,0.158349641226353,0.960638036809816,0.884662576687116,,0.894282208588957,0.786306748466257,0.754,0.996388137340545
O60885,Bromodomain-containing protein 4,BRD4 HUNK1,PML nuclear body; Transcriptional condensate,LLPSDB+PhasePDB,False,0.8963481155,0.9228022039,,0.94,0.97284096,Yes,0.97338676,0.476122699386503,0.99569966882507,0.864263970428354,0.929521472392638,0.98080981595092,0.495342005874947,0.987779141104294,0.964368098159509,0.94,0.990575969219207
P45973,Chromobox protein homolog 5,CBX5 HP1A,Heterochromatin; Nucleolus; Stress granule,LLPSDB+PhasePDB,False,0.8347471714,0.5792320543,,0.929,0.99147904,Yes,0.9826872,0.679018404907975,0.020216499431565,0.152533159382474,0.94763190184049,0.410797546012269,0.502895509861519,0.972662576687116,0.934380368098159,0.929,0.991116881370544
