UniProt_ID,length,n_annotated,frac_annotated,n_Cytoplasmic,n_Transmembrane,n_Extracellular/Lumenal,n_segs_Cytoplasmic,n_segs_Transmembrane,n_segs_Extracellular/Lumenal,catGRANULE_whole_official,catGRANULE_whole,catGRANULE_Cytoplasmic,catGRANULE_Cytoplasmic_mean_seg_score,catGRANULE_Cytoplasmic_longest_seg_score,catGRANULE_Cytoplasmic_max_seg_score,catGRANULE_Cytoplasmic_seg_lengths,catGRANULE_Cytoplasmic_seg_scores,catGRANULE_Transmembrane,catGRANULE_Transmembrane_mean_seg_score,catGRANULE_Transmembrane_longest_seg_score,catGRANULE_Transmembrane_max_seg_score,catGRANULE_Transmembrane_seg_lengths,catGRANULE_Transmembrane_seg_scores,catGRANULE_Extracellular/Lumenal,catGRANULE_Extracellular/Lumenal_mean_seg_score,catGRANULE_Extracellular/Lumenal_longest_seg_score,catGRANULE_Extracellular/Lumenal_max_seg_score,catGRANULE_Extracellular/Lumenal_seg_lengths,catGRANULE_Extracellular/Lumenal_seg_scores,PLAAC_whole_official,PLAAC_whole,PLAAC_Cytoplasmic,PLAAC_Cytoplasmic_mean_seg_score,PLAAC_Cytoplasmic_longest_seg_score,PLAAC_Cytoplasmic_max_seg_score,PLAAC_Cytoplasmic_seg_lengths,PLAAC_Cytoplasmic_seg_scores,PLAAC_Transmembrane,PLAAC_Transmembrane_mean_seg_score,PLAAC_Transmembrane_longest_seg_score,PLAAC_Transmembrane_max_seg_score,PLAAC_Transmembrane_seg_lengths,PLAAC_Transmembrane_seg_scores,PLAAC_Extracellular/Lumenal,PLAAC_Extracellular/Lumenal_mean_seg_score,PLAAC_Extracellular/Lumenal_longest_seg_score,PLAAC_Extracellular/Lumenal_max_seg_score,PLAAC_Extracellular/Lumenal_seg_lengths,PLAAC_Extracellular/Lumenal_seg_scores,PScore_whole_official,PScore_whole,PScore_Cytoplasmic,PScore_Cytoplasmic_mean_seg_score,PScore_Cytoplasmic_longest_seg_score,PScore_Cytoplasmic_max_seg_score,PScore_Cytoplasmic_seg_lengths,PScore_Cytoplasmic_seg_scores,PScore_Transmembrane,PScore_Transmembrane_mean_seg_score,PScore_Transmembrane_longest_seg_score,PScore_Transmembrane_max_seg_score,PScore_Transmembrane_seg_lengths,PScore_Transmembrane_seg_scores,PScore_Extracellular/Lumenal,PScore_Extracellular/Lumenal_mean_seg_score,PScore_Extracellular/Lumenal_longest_seg_score,PScore_Extracellular/Lumenal_max_seg_score,PScore_Extracellular/Lumenal_seg_lengths,PScore_Extracellular/Lumenal_seg_scores,ESpritz_whole_official,ESpritz_whole,ESpritz_Cytoplasmic,ESpritz_Cytoplasmic_mean_seg_score,ESpritz_Cytoplasmic_longest_seg_score,ESpritz_Cytoplasmic_max_seg_score,ESpritz_Cytoplasmic_seg_lengths,ESpritz_Cytoplasmic_seg_scores,ESpritz_Transmembrane,ESpritz_Transmembrane_mean_seg_score,ESpritz_Transmembrane_longest_seg_score,ESpritz_Transmembrane_max_seg_score,ESpritz_Transmembrane_seg_lengths,ESpritz_Transmembrane_seg_scores,ESpritz_Extracellular/Lumenal,ESpritz_Extracellular/Lumenal_mean_seg_score,ESpritz_Extracellular/Lumenal_longest_seg_score,ESpritz_Extracellular/Lumenal_max_seg_score,ESpritz_Extracellular/Lumenal_seg_lengths,ESpritz_Extracellular/Lumenal_seg_scores,SEG_whole_official,SEG_whole,SEG_Cytoplasmic,SEG_Cytoplasmic_mean_seg_score,SEG_Cytoplasmic_longest_seg_score,SEG_Cytoplasmic_max_seg_score,SEG_Cytoplasmic_seg_lengths,SEG_Cytoplasmic_seg_scores,SEG_Transmembrane,SEG_Transmembrane_mean_seg_score,SEG_Transmembrane_longest_seg_score,SEG_Transmembrane_max_seg_score,SEG_Transmembrane_seg_lengths,SEG_Transmembrane_seg_scores,SEG_Extracellular/Lumenal,SEG_Extracellular/Lumenal_mean_seg_score,SEG_Extracellular/Lumenal_longest_seg_score,SEG_Extracellular/Lumenal_max_seg_score,SEG_Extracellular/Lumenal_seg_lengths,SEG_Extracellular/Lumenal_seg_scores,ParSe2_whole_official,ParSe2_whole,ParSe2_Cytoplasmic,ParSe2_Cytoplasmic_mean_seg_score,ParSe2_Cytoplasmic_longest_seg_score,ParSe2_Cytoplasmic_max_seg_score,ParSe2_Cytoplasmic_seg_lengths,ParSe2_Cytoplasmic_seg_scores,ParSe2_Transmembrane,ParSe2_Transmembrane_mean_seg_score,ParSe2_Transmembrane_longest_seg_score,ParSe2_Transmembrane_max_seg_score,ParSe2_Transmembrane_seg_lengths,ParSe2_Transmembrane_seg_scores,ParSe2_Extracellular/Lumenal,ParSe2_Extracellular/Lumenal_mean_seg_score,ParSe2_Extracellular/Lumenal_longest_seg_score,ParSe2_Extracellular/Lumenal_max_seg_score,ParSe2_Extracellular/Lumenal_seg_lengths,ParSe2_Extracellular/Lumenal_seg_scores
P15941,1255,1232,0.9817,74,23,1135,1,1,1,0.468664,-5.746531286307054,-2.3336791666666667,-2.3336791666666667,-2.3336791666666667,-2.3336791666666667,74,-2.3337,-9.669382608695651,-9.669382608695651,-9.669382608695651,-9.669382608695651,23,-9.6694,-5.776363436123348,-5.776363436123348,-5.776363436123348,-5.776363436123348,1135,-5.7764,-0.074,0.00215003984063745,0.011986486486486486,0.011986486486486486,0.011986486486486486,0.011986486486486486,74,0.0120,4.347826086956522e-05,4.347826086956522e-05,4.347826086956522e-05,4.347826086956522e-05,23,0.0000,0.0014453744493392068,0.0014453744493392068,0.0014453744493392068,0.0014453744493392068,1135,0.0014,3.69,2.2574273162939296,1.140309859154929,1.140309859154929,1.140309859154929,1.140309859154929,74,1.1403,-1.9387826086956519,-1.9387826086956519,-1.9387826086956519,-1.9387826086956519,23,-1.9388,2.4465594713656387,2.4465594713656387,2.4465594713656387,2.4465594713656387,1135,2.4466,0.6749003984063745,0.47572,0.25983378378378374,0.25983378378378374,0.25983378378378374,0.25983378378378374,74,0.2598,0.06701739130434782,0.06701739130434782,0.06701739130434782,0.06701739130434782,23,0.0670,0.4992333920704846,0.4992333920704846,0.4992333920704846,0.4992333920704846,1135,0.4992,0.05338645418326693,0.05338645418326693,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,74,0.0270,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,23,0.9130,0.028193832599118944,0.028193832599118944,0.028193832599118944,0.028193832599118944,1135,0.0282,1047.8771367042202,0.8512405659660605,1.18556801333626,1.18556801333626,1.18556801333626,1.18556801333626,74,1.1856,0.0,0.0,0.0,0.0,23,0.0000,0.8584774624470237,0.8584774624470237,0.8584774624470237,0.8584774624470237,1135,0.8585
Q7Z434,540,539,0.9981,512,21,6,1,1,1,0.249132,-4.583727142857143,-4.571209815950921,-4.571209815950921,-4.571209815950921,-4.571209815950921,512,-4.5712,,,,,21,nan,,,,,6,nan,-0.124,0.0008494444444444444,0.0008767578125,0.0008767578125,0.0008767578125,0.0008767578125,512,0.0009,8.571428571428573e-05,8.571428571428573e-05,8.571428571428573e-05,8.571428571428573e-05,21,0.0001,0.0005166666666666667,0.0005166666666666667,0.0005166666666666667,0.0005166666666666667,6,0.0005,2.12,1.3406014897579144,1.4033867187500002,1.4033867187500002,1.4033867187500002,1.4033867187500002,512,1.4034,-0.014952380952380948,-0.014952380952380948,-0.014952380952380948,-0.014952380952380948,21,-0.0150,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,6,-0.0450,0.22777777777777777,0.41813592592592597,0.42408613281249996,0.42408613281249996,0.42408613281249996,0.42408613281249996,512,0.4241,0.3158380952380953,0.3158380952380953,0.3158380952380953,0.3158380952380953,21,0.3158,0.30043333333333333,0.30043333333333333,0.30043333333333333,0.30043333333333333,6,0.3004,0.16666666666666666,0.16666666666666666,0.142578125,0.142578125,0.142578125,0.142578125,512,0.1426,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,21,0.8095,0.0,0.0,0.0,0.0,6,0.0000,161.5620476398603,0.3131047434881014,0.3224791370057092,0.3224791370057092,0.3224791370057092,0.3224791370057092,512,0.3225,0.0,0.0,0.0,0.0,21,0.0000,,,,,6,nan
Q9BR39,696,695,0.9986,674,21,0,1,1,0,1.59152,-0.15627956656346745,-0.15627956656346745,-0.15627956656346745,-0.15627956656346745,-0.15627956656346745,674,-0.1563,,,,,21,nan,,,,,,,0.038,0.009287643678160918,0.009587091988130562,0.009587091988130562,0.009587091988130562,0.009587091988130562,674,0.0096,7.61904761904762e-05,7.61904761904762e-05,7.61904761904762e-05,7.61904761904762e-05,21,0.0001,,,,,,,4.39,1.1259668109668108,1.1580459940652819,1.1580459940652819,1.1580459940652819,1.1580459940652819,674,1.1580,-0.012000000000000002,-0.012000000000000002,-0.012000000000000002,-0.012000000000000002,21,-0.0120,,,,,,,0.27586206896551724,0.3879512931034483,0.3905818991097923,0.3905818991097923,0.3905818991097923,0.3905818991097923,674,0.3906,0.3075809523809524,0.3075809523809524,0.3075809523809524,0.3075809523809524,21,0.3076,,,,,,,0.2614942528735632,0.2614942528735632,0.27002967359050445,0.27002967359050445,0.27002967359050445,0.27002967359050445,674,0.2700,0.0,0.0,0.0,0.0,21,0.0000,,,,,,,276.6461553093689,0.4116758263532275,0.41789449442502846,0.41789449442502846,0.41789449442502846,0.41789449442502846,674,0.4179,0.0,0.0,0.0,0.0,21,0.0000,,,,,,
O43561,262,262,1.0,235,23,4,1,1,1,-0.334812,-4.9384731132075474,-4.114703243243243,-4.114703243243243,-4.114703243243243,-4.114703243243243,235,-4.1147,-10.3468,-10.3468,-10.3468,-10.3468,23,-10.3468,-11.93995,-11.93995,-11.93995,-11.93995,4,-11.9399,-0.126,0.0006255725190839694,0.0006859574468085106,0.0006859574468085106,0.0006859574468085106,0.0006859574468085106,235,0.0007,3.0434782608695656e-05,3.0434782608695656e-05,3.0434782608695656e-05,3.0434782608695656e-05,23,0.0000,0.0005,0.0005,0.0005,0.0005,4,0.0005,2.71,0.769972972972973,1.1058706896551724,1.1058706896551724,1.1058706896551724,1.1058706896551724,235,1.1059,-2.096478260869565,-2.096478260869565,-2.096478260869565,-2.096478260869565,23,-2.0965,-2.23,-2.23,-2.23,-2.23,4,-2.2300,0.20229007633587787,0.4356190839694656,0.4562702127659575,0.4562702127659575,0.4562702127659575,0.4562702127659575,235,0.4563,0.25245652173913047,0.25245652173913047,0.25245652173913047,0.25245652173913047,23,0.2525,0.27554999999999996,0.27554999999999996,0.27554999999999996,0.27554999999999996,4,0.2755,0.31297709923664124,0.31297709923664124,0.2553191489361702,0.2553191489361702,0.2553191489361702,0.2553191489361702,235,0.2553,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,23,0.9565,0.0,0.0,0.0,0.0,4,0.0000,82.61135574673678,0.34710653675099484,0.3704545100750528,0.3704545100750528,0.3704545100750528,0.3704545100750528,235,0.3705,0.0,0.0,0.0,0.0,23,0.0000,,,,,4,nan
P31431,198,180,0.9091,28,25,127,1,1,1,0.435536,-1.5685722972972973,,,,,28,nan,-1.7916333333333334,-1.7916333333333334,-1.7916333333333334,-1.7916333333333334,25,-1.7916,-1.80004094488189,-1.80004094488189,-1.80004094488189,-1.80004094488189,127,-1.8000,-0.495,0.000545959595959596,0.0006464285714285713,0.0006464285714285713,0.0006464285714285713,0.0006464285714285713,28,0.0006,6.8e-05,6.8e-05,6.8e-05,6.8e-05,25,0.0001,0.0005307086614173229,0.0005307086614173229,0.0005307086614173229,0.0005307086614173229,127,0.0005,1.71,0.7088358974358975,0.68404,0.68404,0.68404,0.68404,28,0.6840,-0.6624800000000002,-0.6624800000000002,-0.6624800000000002,-0.6624800000000002,25,-0.6625,0.824472440944882,0.824472440944882,0.824472440944882,0.824472440944882,127,0.8245,0.0,0.3638237373737374,0.3870071428571428,0.3870071428571428,0.3870071428571428,0.3870071428571428,28,0.3870,0.22873200000000005,0.22873200000000005,0.22873200000000005,0.22873200000000005,25,0.2287,0.38951574803149613,0.38951574803149613,0.38951574803149613,0.38951574803149613,127,0.3895,0.16161616161616163,0.16161616161616163,0.0,0.0,0.0,0.0,28,0.0000,0.0,0.0,0.0,0.0,25,0.0000,0.14960629921259844,0.14960629921259844,0.14960629921259844,0.14960629921259844,127,0.1496,2.2908677915975266,0.013165906848261646,0.0,0.0,0.0,0.0,28,0.0000,0.0,0.0,0.0,0.0,25,0.0000,0.01803832906769706,0.01803832906769706,0.01803832906769706,0.01803832906769706,127,0.0180
O75445,5202,5171,0.994,139,21,5011,1,1,1,1.29107,-4.805458288043479,-4.761484269662922,-4.761484269662922,-4.761484269662922,-4.761484269662922,139,-4.7615,-7.293766666666667,-7.293766666666667,-7.293766666666667,-7.293766666666667,21,-7.2938,-4.785996447814807,-4.785996447814807,-4.785996447814807,-4.785996447814807,5011,-4.7860,-0.024,0.0033195501730103813,0.005010071942446044,0.005010071942446044,0.005010071942446044,0.005010071942446044,139,0.0050,5.2380952380952384e-05,5.2380952380952384e-05,5.2380952380952384e-05,5.2380952380952384e-05,21,0.0001,0.003300299341448813,0.003300299341448813,0.003300299341448813,0.003300299341448813,5011,0.0033,3.22,0.6570103866128102,0.5265367647058823,0.5265367647058823,0.5265367647058823,0.5265367647058823,139,0.5265,-1.8884761904761906,-1.8884761904761906,-1.8884761904761906,-1.8884761904761906,21,-1.8885,0.6753027339852324,0.6753027339852324,0.6753027339852324,0.6753027339852324,5011,0.6753,0.0,0.05006910803537101,0.09901798561151079,0.09901798561151079,0.09901798561151079,0.09901798561151079,139,0.0990,0.04370952380952381,0.04370952380952381,0.04370952380952381,0.04370952380952381,21,0.0437,0.048189223707842746,0.048189223707842746,0.048189223707842746,0.048189223707842746,5011,0.0482,0.010380622837370242,0.010380622837370242,0.0,0.0,0.0,0.0,139,0.0000,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,21,0.9524,0.006785072839752544,0.006785072839752544,0.006785072839752544,0.006785072839752544,5011,0.0068,445.6902147517933,0.08607381513167116,0.1331799949511709,0.1331799949511709,0.1331799949511709,0.1331799949511709,139,0.1332,0.0,0.0,0.0,0.0,21,0.0000,0.08556702362662037,0.08556702362662037,0.08556702362662037,0.08556702362662037,5011,0.0856
Q9UM73,1620,1602,0.9889,561,21,1020,1,1,1,1.36769,-2.5356692356687898,-4.0926547945205485,-4.0926547945205485,-4.0926547945205485,-4.0926547945205485,561,-4.0927,-8.731528571428571,-8.731528571428571,-8.731528571428571,-8.731528571428571,21,-8.7315,-1.6240717647058822,-1.6240717647058822,-1.6240717647058822,-1.6240717647058822,1020,-1.6241,-0.1,0.020611358024691356,0.012175935828877004,0.012175935828877004,0.012175935828877004,0.012175935828877004,561,0.0122,9.047619047619049e-05,9.047619047619049e-05,9.047619047619049e-05,9.047619047619049e-05,21,0.0001,0.02600019607843137,0.02600019607843137,0.02600019607843137,0.02600019607843137,1020,0.0260,5.28,0.7609542362399505,0.5245967741935484,0.5245967741935484,0.5245967741935484,0.5245967741935484,561,0.5246,-1.6826666666666665,-1.6826666666666665,-1.6826666666666665,-1.6826666666666665,21,-1.6827,0.9611411764705883,0.9611411764705883,0.9611411764705883,0.9611411764705883,1020,0.9611,0.001851851851851852,0.11839617283950615,0.19771818181818182,0.19771818181818182,0.19771818181818182,0.19771818181818182,561,0.1977,0.0433047619047619,0.0433047619047619,0.0433047619047619,0.0433047619047619,21,0.0433,0.07342921568627452,0.07342921568627452,0.07342921568627452,0.07342921568627452,1020,0.0734,0.10308641975308643,0.10308641975308643,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,561,0.0588,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,21,0.7143,0.10784313725490197,0.10784313725490197,0.10784313725490197,0.10784313725490197,1020,0.1078,459.5761471170296,0.2879549793966351,0.11679080094600645,0.11679080094600645,0.11679080094600645,0.11679080094600645,561,0.1168,0.0,0.0,0.0,0.0,21,0.0000,0.3877039190173256,0.3877039190173256,0.3877039190173256,0.3877039190173256,1020,0.3877
Q9H461,694,667,0.9611,155,147,365,4,7,4,1.27683,-1.1197437888198762,7.132043809523809,3.8775336221070607,28.013425641025645,28.013425641025645,"16,22,28,89","1.6192,-4.3105,-9.8119,28.0134",-2.965308843537415,-2.9653088435374153,-10.116485714285716,14.3713,"21,21,21,21,21,21,21","-10.1165,14.3713,-8.6158,-4.4987,-6.4262,-11.4391,5.9680",-2.344040821917808,-3.2504188207523548,-2.4888495967741937,1.7818142857142858,"248,63,23,31","-2.4888,1.7818,-3.8174,-8.4772",0.073,0.058329538904899135,0.19081161290322582,0.08333141302166934,0.3319640449438202,0.3319640449438202,"16,22,28,89","0.0000,0.0011,0.0002,0.3320",0.00014625850340136055,0.00014625850340136055,4.761904761904763e-05,0.0004476190476190475,"21,21,21,21,21,21,21","0.0000,0.0001,0.0002,0.0004,0.0001,0.0001,0.0001",0.0297813698630137,0.023277667857699417,0.027382258064516125,0.06410793650793653,"248,63,23,31","0.0274,0.0641,0.0012,0.0004",6.14,1.1995687409551374,1.9062894736842104,1.2129737900181217,3.1342441860465127,3.1342441860465127,"16,22,28,89","2.5211,-0.3950,-0.4084,3.1342",0.7349251700680273,0.7349251700680272,0.9373333333333334,2.7226190476190473,"21,21,21,21,21,21,21","0.9373,1.0833,1.9085,-0.4042,-0.0373,-1.0658,2.7226",1.250495890410959,0.4469279480843295,1.7149354838709676,1.7149354838709676,"248,63,23,31","1.7149,0.7498,-0.6096,-0.0675",0.06772334293948126,0.16092002881844383,0.2710245161290322,0.1531244931508099,0.43064269662921356,0.43064269662921356,"16,22,28,89","0.0941,0.0468,0.0409,0.4306",0.06717210884353743,0.06717210884353741,0.11989999999999998,0.11989999999999998,"21,21,21,21,21,21,21","0.1199,0.0860,0.0510,0.0451,0.0398,0.0437,0.0847",0.14973123287671233,0.09830953793216679,0.18060120967741938,0.18060120967741938,"248,63,23,31","0.1806,0.1128,0.0424,0.0574",0.2377521613832853,0.2377521613832853,0.24516129032258063,0.10674157303370786,0.42696629213483145,0.42696629213483145,"16,22,28,89","0.0000,0.0000,0.0000,0.4270",0.0,0.0,0.0,0.0,"21,21,21,21,21,21,21","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.2876712328767123,0.1976126472094214,0.29838709677419356,0.49206349206349204,"248,63,23,31","0.2984,0.4921,0.0000,0.0000",422.04399390970127,0.6299164088204496,1.7603014156292622,0.817282800113586,3.269131200454344,3.269131200454344,"16,22,28,89","0.0000,0.0000,0.0000,3.2691",0.0,0.0,0.0,0.0,"21,21,21,21,21,21,21","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.46663257938278563,0.37272383727470226,0.41294315935941495,1.0779521897393942,"248,63,23,31","0.4129,1.0780,0.0000,0.0000"
O14763,440,385,0.875,209,21,155,1,1,1,0.211283,-5.444562051282052,-5.015009433962264,-5.015009433962264,-5.015009433962264,-5.015009433962264,209,-5.0150,-0.40487619047619045,-0.40487619047619045,-0.40487619047619045,-0.40487619047619045,21,-0.4049,-6.109885161290323,-6.109885161290323,-6.109885161290323,-6.109885161290323,155,-6.1099,-0.297,0.0036820454545454543,0.0005177033492822967,0.0005177033492822967,0.0005177033492822967,0.0005177033492822967,209,0.0005,5.714285714285715e-05,5.714285714285715e-05,5.714285714285715e-05,5.714285714285715e-05,21,0.0001,0.0029270967741935484,0.0029270967741935484,0.0029270967741935484,0.0029270967741935484,155,0.0029,1.28,0.34897254004576667,0.13983009708737865,0.13983009708737865,0.13983009708737865,0.13983009708737865,209,0.1398,-0.2966666666666667,-0.2966666666666667,-0.2966666666666667,-0.2966666666666667,21,-0.2967,1.079051612903226,1.079051612903226,1.079051612903226,1.079051612903226,155,1.0791,0.07045454545454545,0.23329954545454548,0.2324177033492823,0.2324177033492823,0.2324177033492823,0.2324177033492823,209,0.2324,0.10506666666666668,0.10506666666666668,0.10506666666666668,0.10506666666666668,21,0.1051,0.15987354838709678,0.15987354838709678,0.15987354838709678,0.15987354838709678,155,0.1599,0.18863636363636363,0.18863636363636363,0.0861244019138756,0.0861244019138756,0.0861244019138756,0.0861244019138756,209,0.0861,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,21,0.8571,0.09032258064516129,0.09032258064516129,0.09032258064516129,0.09032258064516129,155,0.0903,36.8714809762212,0.08863336773130095,0.10729237945815988,0.10729237945815988,0.10729237945815988,0.10729237945815988,209,0.1073,0.0,0.0,0.0,0.0,21,0.0000,0.10151536918041101,0.10151536918041101,0.10151536918041101,0.10151536918041101,155,0.1015
P46531,2555,2537,0.993,799,21,1717,1,1,1,1.28985,-3.48017880239521,-3.705424566088118,-3.705424566088118,-3.705424566088118,-3.705424566088118,799,-3.7054,1.4189095238095235,1.4189095238095235,1.4189095238095235,1.4189095238095235,21,1.4189,-3.443134012813046,-3.443134012813046,-3.443134012813046,-3.443134012813046,1717,-3.4431,0.332,0.0271908023483366,0.08457672090112642,0.08457672090112642,0.08457672090112642,0.08457672090112642,799,0.0846,0.00020952380952380954,0.00020952380952380954,0.00020952380952380954,0.00020952380952380954,21,0.0002,0.001092079207920792,0.001092079207920792,0.001092079207920792,0.001092079207920792,1717,0.0011,4.19,1.4219184952978057,0.413427135678392,0.413427135678392,0.413427135678392,0.413427135678392,799,0.4134,0.401904761904762,0.401904761904762,0.401904761904762,0.401904761904762,21,0.4019,1.9098124635993012,1.9098124635993012,1.9098124635993012,1.9098124635993012,1717,1.9098,0.025440313111545987,0.11735256360078278,0.2638227784730914,0.2638227784730914,0.2638227784730914,0.2638227784730914,799,0.2638,0.12279523809523814,0.12279523809523814,0.12279523809523814,0.12279523809523814,21,0.1228,0.048325276645311596,0.048325276645311596,0.048325276645311596,0.048325276645311596,1717,0.0483,0.08493150684931507,0.08493150684931507,0.18147684605757197,0.18147684605757197,0.18147684605757197,0.18147684605757197,799,0.1815,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,21,0.8571,0.021549213744903904,0.021549213744903904,0.021549213744903904,0.021549213744903904,1717,0.0215,594.8523128963775,0.23502659537588996,0.24696777412607862,0.24696777412607862,0.24696777412607862,0.24696777412607862,799,0.2470,0.0,0.0,0.0,0.0,21,0.0000,0.23324908250387513,0.23324908250387513,0.23324908250387513,0.23324908250387513,1717,0.2332
