UniProt_ID,tool,approach,region,seg_idx,score
P15941,catGRANULE,whole_db,Whole,,0.468664
P15941,catGRANULE,region_mean,Cytoplasmic,,-2.3336791666666667
P15941,catGRANULE,region_mean,Transmembrane,,-9.669382608695653
P15941,catGRANULE,region_mean,Extracellular/Lumenal,,-5.776363436123348
P15941,PLAAC,whole_db,Whole,,-0.074
P15941,PLAAC,region_mean,Cytoplasmic,,0.0119864864864864
P15941,PLAAC,region_mean,Transmembrane,,4.347826086956522e-05
P15941,PLAAC,region_mean,Extracellular/Lumenal,,0.0014453744493392
P15941,PScore,whole_db,Whole,,3.69
P15941,PScore,region_mean,Cytoplasmic,,1.140309859154929
P15941,PScore,region_mean,Transmembrane,,-1.938782608695652
P15941,PScore,region_mean,Extracellular/Lumenal,,2.4465594713656387
P15941,ESpritz,whole_db,Whole,,0.6749003984063745
P15941,ESpritz,region_mean,Cytoplasmic,,0.2598337837837837
P15941,ESpritz,region_mean,Transmembrane,,0.0670173913043478
P15941,ESpritz,region_mean,Extracellular/Lumenal,,0.4992333920704846
P15941,SEG,whole_db,Whole,,0.0533864541832669
P15941,SEG,region_mean,Cytoplasmic,,0.027027027027027
P15941,SEG,region_mean,Transmembrane,,0.9130434782608696
P15941,SEG,region_mean,Extracellular/Lumenal,,0.0281938325991189
P15941,ParSe2,whole_db,Whole,,1047.8771367042202
P15941,ParSe2,region_mean,Cytoplasmic,,1.18556801333626
P15941,ParSe2,region_mean,Transmembrane,,0.0
P15941,ParSe2,region_mean,Extracellular/Lumenal,,0.8584774624470237
Q7Z434,catGRANULE,whole_db,Whole,,0.249132
Q7Z434,catGRANULE,region_mean,Cytoplasmic,,-4.571209815950921
Q7Z434,PLAAC,whole_db,Whole,,-0.124
Q7Z434,PLAAC,region_mean,Cytoplasmic,,0.0008767578125
Q7Z434,PLAAC,region_mean,Transmembrane,,8.571428571428573e-05
Q7Z434,PLAAC,region_mean,Extracellular/Lumenal,,0.0005166666666666
Q7Z434,PScore,whole_db,Whole,,2.12
Q7Z434,PScore,region_mean,Cytoplasmic,,1.4033867187500002
Q7Z434,PScore,region_mean,Transmembrane,,-0.0149523809523809
Q7Z434,PScore,region_mean,Extracellular/Lumenal,,-0.045
Q7Z434,ESpritz,whole_db,Whole,,0.2277777777777777
Q7Z434,ESpritz,region_mean,Cytoplasmic,,0.4240861328124999
Q7Z434,ESpritz,region_mean,Transmembrane,,0.3158380952380953
Q7Z434,ESpritz,region_mean,Extracellular/Lumenal,,0.3004333333333333
Q7Z434,SEG,whole_db,Whole,,0.1666666666666666
Q7Z434,SEG,region_mean,Cytoplasmic,,0.142578125
Q7Z434,SEG,region_mean,Transmembrane,,0.8095238095238095
Q7Z434,SEG,region_mean,Extracellular/Lumenal,,0.0
Q7Z434,ParSe2,whole_db,Whole,,161.5620476398603
Q7Z434,ParSe2,region_mean,Cytoplasmic,,0.3224791370057092
Q7Z434,ParSe2,region_mean,Transmembrane,,0.0
Q9BR39,catGRANULE,whole_db,Whole,,1.59152
Q9BR39,catGRANULE,region_mean,Cytoplasmic,,-0.1562795665634674
Q9BR39,PLAAC,whole_db,Whole,,0.038
Q9BR39,PLAAC,region_mean,Cytoplasmic,,0.0095870919881305
Q9BR39,PLAAC,region_mean,Transmembrane,,7.61904761904762e-05
Q9BR39,PScore,whole_db,Whole,,4.39
Q9BR39,PScore,region_mean,Cytoplasmic,,1.158045994065282
Q9BR39,PScore,region_mean,Transmembrane,,-0.012
Q9BR39,ESpritz,whole_db,Whole,,0.2758620689655172
Q9BR39,ESpritz,region_mean,Cytoplasmic,,0.3905818991097923
Q9BR39,ESpritz,region_mean,Transmembrane,,0.3075809523809524
Q9BR39,SEG,whole_db,Whole,,0.2614942528735632
Q9BR39,SEG,region_mean,Cytoplasmic,,0.2700296735905044
Q9BR39,SEG,region_mean,Transmembrane,,0.0
Q9BR39,ParSe2,whole_db,Whole,,276.6461553093689
Q9BR39,ParSe2,region_mean,Cytoplasmic,,0.4178944944250284
Q9BR39,ParSe2,region_mean,Transmembrane,,0.0
O43561,catGRANULE,whole_db,Whole,,-0.334812
O43561,catGRANULE,region_mean,Cytoplasmic,,-4.114703243243243
O43561,catGRANULE,region_mean,Transmembrane,,-10.3468
O43561,catGRANULE,region_mean,Extracellular/Lumenal,,-11.93995
O43561,PLAAC,whole_db,Whole,,-0.126
O43561,PLAAC,region_mean,Cytoplasmic,,0.0006859574468085
O43561,PLAAC,region_mean,Transmembrane,,3.0434782608695656e-05
O43561,PLAAC,region_mean,Extracellular/Lumenal,,0.0005
O43561,PScore,whole_db,Whole,,2.71
O43561,PScore,region_mean,Cytoplasmic,,1.1058706896551724
O43561,PScore,region_mean,Transmembrane,,-2.096478260869565
O43561,PScore,region_mean,Extracellular/Lumenal,,-2.23
O43561,ESpritz,whole_db,Whole,,0.2022900763358778
O43561,ESpritz,region_mean,Cytoplasmic,,0.4562702127659575
O43561,ESpritz,region_mean,Transmembrane,,0.2524565217391304
O43561,ESpritz,region_mean,Extracellular/Lumenal,,0.2755499999999999
O43561,SEG,whole_db,Whole,,0.3129770992366412
