name,preds
P15941,0.023176124
Q7Z434,0.15061092
Q9BR39,0.023245709
O43561,0.06837486
P31431,0.07080604
O75445,0.024522448
Q9UM73,0.08968258
Q9H461,0.07600335
O14763,0.057516977
P46531,0.030909566
Q8N114,0.02145192
Q07065,0.03514378
P08172,0.09657824
Q08345,0.044663776
O60500,0.38619968
P05067,0.026335403
Q8WXG9,0.054619905
P11362,0.020594614
Q8NC56,0.046764087
P40967,0.036208585
P07766,0.028449323
P20963,0.037867203
P04626,0.021580279
O75460,0.022073856
P35968,0.022213845
Q12879,0.037625052
Q86WV6,0.044219688
P07949,0.023054698
P08908,0.06909156
Q7Z3C6,0.061213885
O75581,0.022125604
P63027,0.0221793
O60733,0.019896055
Q04671,0.3677861
Q14BN4,0.017437207
P15529,0.043909393
Q8TEM1,0.026149461
Q9UJA2,0.027480463
P00533,0.033006154
P21802,0.030198587
P08247,0.02527021
Q14739,0.046941828
P29317,0.024068464
P17948,0.024357377
P05556,0.05422964
P10747,0.03044419
P61073,0.05610588
Q15303,0.17241772
O00254,0.06389387
Q9H3U5,0.07965345
Q9Y624,0.029067831
P31645,0.022337278
P49146,0.050207555
P15954,0.018109825
P13569,0.07920357
Q9BRQ8,0.020292707
Q13021,0.020640148
