Entry,Transmembrane,Intramembrane
O14497,,
O75376,,
P08519,,
P49790,,
Q12888,,
Q5SW79,,
Q5VT06,,
Q685J3,"TRANSMEM 4394..4414; /note=""Helical""; /evidence=""ECO:0000255""",
Q8NEZ4,,
Q8NFD5,,
Q8WXI7,"TRANSMEM 14452..14472; /note=""Helical""; /evidence=""ECO:0000255""",
Q9C0C2,,
Q9NZM4,,
Q9ULI4,,
Q9UPA5,,
Q9Y4H2,,
Q9Y520,,
O15018,,
Q2LD37,"TRANSMEM 25..48; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:A0A0K3AWP8""",
Q8IWN7,,
Q8N3K9,,
Q96L96,,
Q9P2P6,,
Q9Y566,,
Q9Y6V0,,
Q03164,,
Q09666,,
Q5SSG8,"TRANSMEM 480..500; /note=""Helical""; /evidence=""ECO:0000255""",
Q5T1R4,,
Q68DE3,,
Q8IVL0,,
Q8NFC6,,
Q96RK0,,
A8CG34,"TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255""",
O14686,,
O15417,,
O95359,,
P98088,,
Q12802,,
Q6W4X9,,
Q6ZRS2,,
Q8TCU4,,
Q96T58,,
Q9H7N4,,
Q9HCJ0,,
Q9UKN1,"TRANSMEM 5381..5401; /note=""Helical""; /evidence=""ECO:0000255""",
Q9UPQ9,,
P20930,,
P78559,,
Q02817,,
Q15911,,
Q5JSZ5,,
Q5TGY3,,
Q5VUA4,,
Q96JG9,,
Q96L91,,
Q9C0A1,,
Q9HC84,,
Q9ULL5,,
Q7Z5P9,,
Q8WUY3,,
Q9UGU0,,
Q9Y3S1,,
O15027,,
Q15714,,
Q9UMD9,"TRANSMEM 468..488; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255""",
Q7Z6Z7,,
Q86UP3,,
Q9HCH0,,
Q9UPS6,,
P10070,,
P25054,,
Q02505,"TRANSMEM 3227..3247; /note=""Helical""; /evidence=""ECO:0000255""",
Q14157,,
Q9Y618,,
P13611,,
Q8IVF2,,
Q5VT52,,
Q8NDV7,,
Q96HA1,"TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255""",
P18583,,
P35658,,
Q12816,,
Q8WZ42,,
Q9H4A3,,
Q12955,,
O15021,,
Q8IVL1,,
Q2KJY2,,
E9PAV3,,
D6RIA3,,
Q5SYE7,,
E2RYF6,"TRANSMEM 1661..1681; /note=""Helical""; /evidence=""ECO:0000255""",
Q5H9R4,"TRANSMEM 7..24; /note=""Helical""; /evidence=""ECO:0000255""",
Q9P281,,
A6NF01,,
Q8NET4,,
A0A087WUL8,,
Q9H6K5,,
P0DPF2,,
A6H8Y1,,
Q10571,,
Q15648,,
Q7Z591,,
Q96DN6,,
Q9BYB0,,
Q9NYV4,,
Q9UIF8,,
Q9UMN6,,
P15822,,
P39060,,
P46013,,
P46821,,
P55197,,
Q02952,,
Q09472,,
Q5VV67,,
Q6PRD1,"TRANSMEM 382..402; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 416..436; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 445..465; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 494..514; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 544..564; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 576..594; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 608..628; /note=""Helical; Name=7""; /evidence=""ECO:0000255""",
Q6T4R5,,
Q6UB99,,
Q86TB3,,
Q86YZ3,,
Q8IZL2,,
Q8N2Y8,,
Q9NZP6,,
Q9P1Z0,,
Q9Y6X0,,
O15014,,
O15534,,
O95613,,
P31629,,
P35568,,
P55198,,
Q13796,,
Q14004,,
Q15517,,
Q5JU85,,
Q6P0Q8,,
Q8NEV8,,
Q92793,,
Q92804,,
Q9BTC0,,
Q9C0F0,,
Q9UQ35,,
Q9Y4B5,,
O00512,,
O15047,,
O95785,,
P10071,,
P39059,,
Q0VD83,,
Q5T6F2,,
Q6AI39,,
Q8TF72,,
Q96JK9,,
Q9NSC2,,
A7KAX9,,
Q15154,,
Q8IY92,,
Q96L73,,
Q9NPG3,,
Q9NR48,,
Q9Y467,,
O95996,,
P22105,,
Q12830,,
Q13428,,
Q5HYW2,,
Q8IWI9,,
Q8IXJ9,,
Q8WXX7,,
O75179,,
O94916,,
Q86V15,,
Q8IZD2,,
Q9HBL0,,
O14513,,
P48634,,
Q7Z5J4,,
P15923,,
Q7Z6E9,,
P52948,,
Q8NEY1,,
P15502,,
Q99102,"TRANSMEM 5369..5389; /note=""Helical""; /evidence=""ECO:0000255""",
O15069,,
Q9P1Y6,,
Q8WYQ9,,
Q5JPB2,,
Q6ZU65,,
Q9H195,"TRANSMEM 13381..13401; /note=""Helical""; /evidence=""ECO:0000255""",
Q9ULL0,,
A5PL33,,
Q5VZ46,,
Q9ULD9,,
Q9BY89,,
Q9Y4F5,,
Q96KW2,,
A6NNC1,"TRANSMEM 877..897; /note=""Helical""; /evidence=""ECO:0000255""",
A0A0U1RQI7,,
O00268,,
O15265,,
O43166,,
P16112,,
Q06945,,
Q14686,,
Q6P4R8,,
Q76L83,,
Q8TD26,,
Q96PK6,,
Q9C0A6,,
Q9H0E3,,
Q9NR09,,
Q9NRF2,,
Q9NZ56,,
Q9UMZ2,,
O14559,,
O15054,,
P51610,,
Q5D862,,
Q5TCY1,,
Q8NF64,,
Q8WYB5,,
Q92585,,
Q9NXV6,,
O15015,,
O15061,,
O60641,,
O75592,,
P35527,,
P46379,,
Q2VWA4,,
Q5T5U3,,
Q5T8A7,,
Q702N8,,
Q8TEK3,,
Q96PE2,,
Q96RY5,,
Q9P206,,
O94885,,
P49792,,
Q01484,,
Q07092,,
Q15751,,
Q2KHR2,,
Q96F45,,
Q9P2D1,,
Q9Y2H9,,
P54259,,
Q14687,,
Q641Q2,,
Q86YV5,,
Q96Q04,"TRANSMEM 40..60; /note=""Helical""; /evidence=""ECO:0000255""",
Q9BVL2,,
Q9BYW2,,
P11137,,
Q5T5P2,,
Q6WKZ4,,
Q9H7P9,,
P51826,,
Q99081,,
Q14671,,
Q5JTC6,,
Q6N021,,
Q6ZNA4,,
A1L4H1,,
P84550,,
Q15772,,
Q86UU0,,
Q9P267,,
O95071,,
P08047,,
Q711Q0,,
Q8WWM7,,
Q92766,,
A7E2V4,,
Q8IWZ3,,
Q9UPX8,,
Q14980,,
Q9H2D6,,
Q9UKV3,,
Q99700,,
P15884,,
Q86UR5,,
Q5VZP5,,
Q6ZUB1,"TRANSMEM 64..84; /note=""Helical""; /evidence=""ECO:0000255""",
Q17RH7,,
O60732,,
P49750,,
Q86XN7,,
Q9P227,,
Q9H2Y7,,
O75157,,
Q8N944,,
Q6ZVL6,"TRANSMEM 1180..1200; /note=""Helical""; /evidence=""ECO:0000255""",
Q9HCM7,,
E7EW31,,
A6NKL6,"TRANSMEM 53..73; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 167..187; /note=""Helical""; /evidence=""ECO:0000255""",
A0A096LP49,,
Q9UF83,,
A6NGG8,,
O14654,,
O60548,,
O95153,,
P16150,"TRANSMEM 254..276; /note=""Helical""; /evidence=""ECO:0000255""",
P35637,,
P78364,,
Q8IX07,,
Q8IXZ2,,
Q99490,,
Q9BXF3,,
Q9C0C7,,
Q9C0H9,,
Q9H792,,
Q9H992,,
Q9HAW4,,
Q9P1Y5,,
Q9ULT8,,
Q03052,,
Q12906,,
Q15596,,
Q6VMQ6,,
Q6ZMQ8,"TRANSMEM 32..52; /note=""Helical""; /evidence=""ECO:0000255""",
Q7Z2Z1,,
Q86SQ0,,
Q8N7J2,,
Q8TEJ3,,
Q9H1B7,,
Q9H7S9,,
Q9H987,,
Q9ULT6,"TRANSMEM 220..240; /note=""Helical""; /evidence=""ECO:0000255""",
Q9UQB3,,
O43151,,
O60292,,
O60673,,
O95180,"TRANSMEM 101..119; /note=""Helical; Name=S1 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 142..160; /note=""Helical; Name=S2 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 170..184; /note=""Helical; Name=S3 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 194..212; /note=""Helical; Name=S4 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 233..253; /note=""Helical; Name=S5 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 395..419; /note=""Helical; Name=S6 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 794..814; /note=""Helical; Name=S1 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 828..849; /note=""Helical; Name=S2 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 856..874; /note=""Helical; Name=S3 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 883..906; /note=""Helical; Name=S4 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 918..938; /note=""Helical; Name=S5 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 991..1015; /note=""Helical; Name=S6 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 1291..1313; /note=""Helical; Name=S1 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1332..1352; /note=""Helical; Name=S2 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1363..1382; /note=""Helical; Name=S3 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1397..1418; /note=""Helical; Name=S4 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1429..1452; /note=""Helical; Name=S5 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1530..1555; /note=""Helical; Name=S6 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1617..1637; /note=""Helical; Name=S1 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1652..1673; /note=""Helical; Name=S2 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1681..1699; /note=""Helical; Name=S3 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1714..1737; /note=""Helical; Name=S4 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1752..1772; /note=""Helical; Name=S5 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1836..1863; /note=""Helical; Name=S6 of repeat IV""; /evidence=""ECO:0000255""",
P08151,,
Q07687,,
Q12774,,
Q68CP9,,
Q6UXF1,"TRANSMEM 9..29; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 469..489; /note=""Helical""; /evidence=""ECO:0000255""",
Q70CQ4,,
Q96PV7,,
Q9BXA9,,
Q9HCM3,"TRANSMEM 998..1018; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1299..1319; /note=""Helical""; /evidence=""ECO:0000255""",
Q9P2R6,,
Q9UPT8,,
Q9UPV0,,
O15209,,
O95948,,
P27816,,
Q14160,,
Q4ZHG4,,
Q969V6,,
Q9Y261,,
O75420,,
P58107,,
Q12948,,
Q6UB98,,
Q8N350,"TRANSMEM 46..66; /note=""Helical; Signal-anchor for type III membrane protein""; /evidence=""ECO:0000255""",
Q9NWH9,,
Q9P266,,
P98082,,
O14974,,
Q01844,,
Q6Y7W6,,
Q9Y6Q9,,
O43524,,
Q4LE39,,
Q5T011,,
Q6W2J9,,
Q8IWC1,,
Q96J92,,
P53814,,
Q70E73,,
P14859,,
Q8IXK0,,
Q14005,,
Q6ZRI6,,
Q8NDX5,,
Q9Y4E1,,
Q9BX66,,
Q7Z2K8,,
Q8N3D4,,
Q92610,,
Q86UU1,,
Q96RV3,"TRANSMEM 28..50; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 57..74; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1003..1025; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1032..1049; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1067..1089; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1110..1132; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1160..1182; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1194..1213; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1266..1288; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1295..1312; /note=""Helical""; /evidence=""ECO:0000255""",
Q5EBL2,,
Q8WXD9,,
Q9UKJ3,,
Q8IXZ3,,
A6NMS7,"TRANSMEM 1583..1603; /note=""Helical""; /evidence=""ECO:0000255""",
Q5TF21,"TRANSMEM 915..935; /note=""Helical""; /evidence=""ECO:0000255""",
A6NM11,"TRANSMEM 1583..1603; /note=""Helical""; /evidence=""ECO:0000255""",
O60309,"TRANSMEM 1582..1602; /note=""Helical""; /evidence=""ECO:0000255""",
P61129,,
Q8IVF1,,
Q5HYC2,,
Q5T0Z8,,
Q8N7P7,,
P25940,,
P37198,,
Q15735,,
Q53ET0,,
Q5JRA6,"TRANSMEM 1177..1197; /note=""Helical""; /evidence=""ECO:0000255""","INTRAMEM 1145..1165; /evidence=""ECO:0000255"""
Q8IZC6,,
Q92794,,
Q96JJ6,"TRANSMEM 607..628; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",
Q9P2Y4,,
O94913,,
P43694,,
P78426,,
Q0VDD7,,
Q15788,,
Q5SXM2,,
Q6P1L5,,
Q6ZU35,,
Q70EL1,,
Q86VM9,,
Q86YN6,,
Q96QC0,,
Q96T23,,
O95104,,
P11831,,
P31249,,
P32242,,
Q12872,,
Q68D10,,
Q7Z5L9,,
Q9UI36,,
Q9ULX6,,
O94850,,
P09651,,
P55317,,
Q05925,,
Q2M3C7,,
Q6ZN18,,
Q86UU5,,
Q8IVH2,,
Q8N307,,
Q8WY36,,
Q92908,,
Q9H0J4,,
Q9H9J4,,
Q9NS56,,
O15055,,
P30414,,
Q13516,,
Q5H9F3,,
Q5T200,,
Q76N32,,
Q86X51,,
Q86XN8,,
Q8N3V7,,
Q92733,,
Q96B18,,
Q9C0K0,,
Q9NRM1,,
Q9P270,,
Q9ULJ6,,
P78332,,
Q14031,,
Q9UPN6,,
P39880,,
P52594,,
Q4KMQ1,,
Q6ZSY5,"TRANSMEM 769..789; /note=""Helical""; /evidence=""ECO:0000255""",
Q9UMS6,,
O75128,,
P52272,,
O15231,,
Q14677,,
Q9H201,,
Q9NQV8,,
Q9Y4D8,"TRANSMEM 282..302; /note=""Helical""; /evidence=""ECO:0000255""",
P28290,,
P15941,"TRANSMEM 1159..1181; /note=""Helical""; /evidence=""ECO:0000255""",
