stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,combined_score,score_normalized,protein,partner,pllps_1,pllps_2,protein_name,partner_name
9606.ENSP00000216832,9606.ENSP00000262710,PNN,ACIN1,9606,0.886,0,0,0,0,0.604,0.5,0.471,886.0,0.886,Q9H307,Q9UKV3,1.0,1.0,PNN,ACIN1
9606.ENSP00000216832,9606.ENSP00000457723,PNN,RNPS1,9606,0.971,0,0,0,0,0.595,0.8,0.677,971.0,0.971,Q9H307,Q15287,1.0,1.0,PNN,RNPS1
9606.ENSP00000262710,9606.ENSP00000457723,ACIN1,RNPS1,9606,0.999,0,0,0,0,0.758,0.9,0.978,999.0,0.999,Q9UKV3,Q15287,1.0,1.0,ACIN1,RNPS1
9606.ENSP00000265354,9606.ENSP00000498671,SRF,MRTFA,9606,0.995,0,0,0,0,0.457,0.9,0.922,995.0,0.995,P11831,Q969V6,1.0,1.0,SRF,MRTFA
9606.ENSP00000280772,9606.ENSP00000349588,ANK3,ANK2,9606,0.9,0,0,0,0,0.0,0.9,0.0,900.0,0.9,Q12955,Q01484,1.0,1.0,ANK3,ANK2
9606.ENSP00000280772,9606.ENSP00000398632,ANK3,CD44,9606,0.97,0,0,0,0,0.0,0.9,0.719,970.0,0.97,Q12955,P16070,1.0,1.0,ANK3,CD44
9606.ENSP00000281928,9606.ENSP00000498791,MED13L,MED19,9606,0.931,0,0,0,0,0.671,0.8,0.0,931.0,0.931,Q71F56,A0JLT2,1.0,1.0,MED13L,MED19
9606.ENSP00000281928,9606.ENSP00000300651,MED13L,MED1,9606,0.931,0,0,0,0,0.671,0.8,0.0,931.0,0.931,Q71F56,Q15648,1.0,1.0,MED13L,MED1
9606.ENSP00000281928,9606.ENSP00000363193,MED13L,MED12,9606,0.996,0,0,0,0,0.731,0.8,0.938,996.0,0.996,Q71F56,Q93074,1.0,1.0,MED13L,MED12
9606.ENSP00000293441,9606.ENSP00000345193,SHANK1,SHANK2,9606,0.957,0,0,0,0,0.0,0.9,0.597,957.0,0.957,Q9Y566,Q9UPX8,1.0,1.0,SHANK1,SHANK2
9606.ENSP00000293441,9606.ENSP00000489407,SHANK1,SHANK3,9606,0.971,0,0,0,0,0.299,0.9,0.63,971.0,0.971,Q9Y566,Q9BYB0,1.0,1.0,SHANK1,SHANK3
9606.ENSP00000296452,9606.ENSP00000334319,BSN,PCLO,9606,0.8,0,0,0,0,0.0,0.8,0.0,800.0,0.8,Q9UPA5,Q9Y6V0,1.0,1.0,BSN,PCLO
9606.ENSP00000300651,9606.ENSP00000346634,MED1,THRAP3,9606,0.925,0,0,0,0,0.287,0.9,0.0,925.0,0.925,Q15648,Q9Y2W1,1.0,1.0,MED1,THRAP3
9606.ENSP00000300651,9606.ENSP00000363193,MED1,MED12,9606,0.975,0,0,0,0,0.734,0.9,0.161,975.0,0.975,Q15648,Q93074,1.0,1.0,MED1,MED12
9606.ENSP00000300651,9606.ENSP00000498791,MED1,MED19,9606,0.988,0,0,0,0,0.944,0.8,0.0,988.0,0.988,Q15648,A0JLT2,1.0,1.0,MED1,MED19
9606.ENSP00000334319,9606.ENSP00000427018,PCLO,RIMS2,9606,0.8,0,0,0,0,0.0,0.8,0.0,800.0,0.8,Q9Y6V0,Q9UQ26,1.0,1.0,PCLO,RIMS2
9606.ENSP00000345193,9606.ENSP00000489407,SHANK2,SHANK3,9606,0.974,0,0,0,0,0.0,0.9,0.751,974.0,0.974,Q9UPX8,Q9BYB0,1.0,1.0,SHANK2,SHANK3
9606.ENSP00000346634,9606.ENSP00000363193,THRAP3,MED12,9606,0.912,0,0,0,0,0.162,0.9,0.0,912.0,0.912,Q9Y2W1,Q93074,1.0,1.0,THRAP3,MED12
9606.ENSP00000349588,9606.ENSP00000398632,ANK2,CD44,9606,0.97,0,0,0,0,0.0,0.9,0.72,970.0,0.97,Q01484,P16070,1.0,1.0,ANK2,CD44
9606.ENSP00000363193,9606.ENSP00000498791,MED12,MED19,9606,0.951,0,0,0,0,0.669,0.8,0.328,951.0,0.951,Q93074,A0JLT2,1.0,1.0,MED12,MED19
9606.ENSP00000379144,9606.ENSP00000401946,TNRC6A,TNRC6B,9606,0.821,0,0,0,0,0.165,0.4,0.672,821.0,0.821,Q8NDV7,Q9UPQ9,1.0,1.0,TNRC6A,TNRC6B
9606.ENSP00000398632,9606.ENSP00000498852,CD44,SPN,9606,0.769,0,0,0,0,0.0,0.0,0.769,769.0,0.769,P16070,P16150,1.0,1.0,CD44,SPN
9606.ENSP00000241014,9606.ENSP00000330572,MAPK8IP1,MAPK8IP2,9606,0.991,0,0,0,0,0.644,0.9,0.781,991.0,0.991,Q9UQF2,Q13387,1.0,1.0,MAPK8IP1,MAPK8IP2
9606.ENSP00000262713,9606.ENSP00000273317,AJUBA,LIMD1,9606,0.92,0,0,0,0,0.233,0.9,0.0,920.0,0.92,Q96IF1,Q9UGP4,1.0,1.0,AJUBA,LIMD1
9606.ENSP00000263205,9606.ENSP00000406549,MED15,TAF1,9606,0.8,0,0,0,0,0.8,0.0,0.0,800.0,0.8,Q96RN5,P21675,1.0,1.0,MED15,TAF1
9606.ENSP00000263205,9606.ENSP00000380888,MED15,MED13,9606,0.961,0,0,0,0,0.485,0.8,0.656,961.0,0.961,Q96RN5,Q9UHV7,1.0,1.0,MED15,MED13
9606.ENSP00000263205,9606.ENSP00000263390,MED15,MED26,9606,0.976,0,0,0,0,0.886,0.8,0.0,976.0,0.976,Q96RN5,O95402,1.0,1.0,MED15,MED26
9606.ENSP00000263205,9606.ENSP00000326767,MED15,MED25,9606,0.986,0,0,0,0,0.886,0.8,0.438,986.0,0.986,Q96RN5,Q71SY5,1.0,0.99,MED15,MED25
9606.ENSP00000263390,9606.ENSP00000406549,MED26,TAF1,9606,0.852,0,0,0,0,0.852,0.0,0.0,852.0,0.852,O95402,P21675,1.0,1.0,MED26,TAF1
9606.ENSP00000263390,9606.ENSP00000380888,MED26,MED13,9606,0.958,0,0,0,0,0.457,0.9,0.291,958.0,0.958,O95402,Q9UHV7,1.0,1.0,MED26,MED13
9606.ENSP00000263390,9606.ENSP00000326767,MED26,MED25,9606,0.976,0,0,0,0,0.886,0.8,0.0,976.0,0.976,O95402,Q71SY5,1.0,0.99,MED26,MED25
9606.ENSP00000264645,9606.ENSP00000364448,CASC3,UPF3A,9606,0.962,0,0,0,0,0.734,0.72,0.535,962.0,0.962,O15234,Q9H1J1,1.0,0.99,CASC3,UPF3A
9606.ENSP00000264645,9606.ENSP00000276201,CASC3,UPF3B,9606,0.994,0,0,0,0,0.944,0.9,0.0,994.0,0.994,O15234,Q9BZI7,1.0,1.0,CASC3,UPF3B
9606.ENSP00000276201,9606.ENSP00000326261,UPF3B,SRRM1,9606,0.805,0,0,0,0,0.0,0.8,0.068,805.0,0.805,Q9BZI7,Q8IYB3,1.0,1.0,UPF3B,SRRM1
9606.ENSP00000276201,9606.ENSP00000421592,UPF3B,ALYREF,9606,0.909,0,0,0,0,0.292,0.8,0.41,909.0,0.909,Q9BZI7,Q86V81,1.0,1.0,UPF3B,ALYREF
9606.ENSP00000276201,9606.ENSP00000364448,UPF3B,UPF3A,9606,0.952,0,0,0,0,0.343,0.9,0.338,952.0,0.952,Q9BZI7,Q9H1J1,1.0,0.99,UPF3B,UPF3A
9606.ENSP00000281282,9606.ENSP00000348416,CGNL1,TJP1,9606,0.948,0,0,0,0,0.303,0.9,0.325,948.0,0.948,Q0VF96,Q07157,1.0,1.0,CGNL1,TJP1
9606.ENSP00000289968,9606.ENSP00000494277,ARHGAP17,PATJ,9606,0.853,0,0,0,0,0.292,0.0,0.802,853.0,0.853,Q68EM7,Q8NI35,1.0,0.99,ARHGAP17,PATJ
9606.ENSP00000289968,9606.ENSP00000361027,ARHGAP17,AMOT,9606,0.986,0,0,0,0,0.457,0.0,0.977,986.0,0.986,Q68EM7,Q4VCS5,1.0,1.0,ARHGAP17,AMOT
9606.ENSP00000295851,9606.ENSP00000335055,ABI2,WASF3,9606,0.983,0,0,0,0,0.632,0.54,0.908,983.0,0.983,Q9NYB9,Q9UPY6,1.0,1.0,ABI2,WASF3
9606.ENSP00000326261,9606.ENSP00000364448,SRRM1,UPF3A,9606,0.757,0,0,0,0,0.734,0.0,0.125,757.0,0.757,Q8IYB3,Q9H1J1,1.0,0.99,SRRM1,UPF3A
9606.ENSP00000326261,9606.ENSP00000498362,SRRM1,PQBP1,9606,0.8,0,0,0,0,0.0,0.8,0.0,800.0,0.8,Q8IYB3,O60828,1.0,0.99,SRRM1,PQBP1
9606.ENSP00000326261,9606.ENSP00000386458,SRRM1,PRPF40A,9606,0.806,0,0,0,0,0.073,0.8,0.0,806.0,0.806,Q8IYB3,O75400,1.0,1.0,SRRM1,PRPF40A
9606.ENSP00000326261,9606.ENSP00000421592,SRRM1,ALYREF,9606,0.98,0,0,0,0,0.616,0.8,0.768,980.0,0.98,Q8IYB3,Q86V81,1.0,1.0,SRRM1,ALYREF
9606.ENSP00000326767,9606.ENSP00000406549,MED25,TAF1,9606,0.8,0,0,0,0,0.8,0.0,0.0,800.0,0.8,Q71SY5,P21675,0.99,1.0,MED25,TAF1
9606.ENSP00000326767,9606.ENSP00000380888,MED25,MED13,9606,0.886,0,0,0,0,0.457,0.8,0.0,886.0,0.886,Q71SY5,Q9UHV7,0.99,1.0,MED25,MED13
9606.ENSP00000333984,9606.ENSP00000344488,TRDN,JPH1,9606,0.798,0,0,0,0,0.226,0.54,0.48,798.0,0.798,Q13061,Q9HDC5,1.0,1.0,TRDN,JPH1
9606.ENSP00000333984,9606.ENSP00000362071,TRDN,JPH2,9606,0.81,0,0,0,0,0.0,0.54,0.605,810.0,0.81,Q13061,Q9BR39,1.0,1.0,TRDN,JPH2
9606.ENSP00000346151,9606.ENSP00000385450,MAGI2,MAGI1,9606,0.913,0,0,0,0,0.168,0.9,0.0,913.0,0.913,Q86UL8,Q96QZ7,1.0,1.0,MAGI2,MAGI1
