UniProt_ID,clean_global,clean_PICNIC_score,clean_PICNIC_GO_score,clean_PSAP_score,clean_PSPHunter_prob,clean_PSPire_score,clean_FuzDrop_pLLPS,clean_catGRANULE_score,clean_PLAAC_NLLR,clean_PScore_score,clean_ESpritz_score,clean_SEG_score,clean_DeepPhase_score,clean_SaPS_score,clean_PdPS_score,clean_PDL_score,clean_RY_score,clean_ParSe2_score,clean_LLPhyScore_score
O00254,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
O14763,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False
O43561,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False
O60500,False,False,False,True,False,False,True,True,True,True,True,True,False,True,False,False,True,True,False
O60733,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False
O75445,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False
O75460,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False
O75581,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P00533,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P01857,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False
P04626,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False
P05067,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False
P05556,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P07766,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P07949,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False
P08172,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P08247,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P08908,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False
P10747,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P11362,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
P13569,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P15529,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P15941,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P15954,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P17948,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False
P20963,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P21802,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
P29317,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P31431,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P31645,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P35968,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False
P40967,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False
P46531,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P49146,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P61073,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False
P63027,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q03135,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q04671,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
Q07065,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q08345,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False
Q12879,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q13021,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q14739,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
Q14BN4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q15303,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
Q16635,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q7Z3C6,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q7Z434,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
Q86WV6,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False
Q8N114,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
Q8NC56,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False
Q8TEM1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q8WXG9,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False
Q9BR39,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False
Q9BRQ8,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q9H3U5,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
Q9H461,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q9UJA2,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False
Q9UM73,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False
Q9Y624,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False
