UniProt_ID,approach,region,seg_idx,length,score_mean,score_sum,n_scored_residues
P15941,segment,Cytoplasmic,0.0,74,1.470104336537255,73.50521682686275,50
Q7Z434,segment,Cytoplasmic,0.0,512,0.33106976975381286,161.56204763986065,488
Q9BR39,segment,Cytoplasmic,0.0,674,0.4256094697067214,276.6461553093689,650
O43561,segment,Cytoplasmic,0.0,235,0.3915230130177132,82.61135574673749,211
P31431,segment,Cytoplasmic,0.0,28,0.0,0.0,4
O75445,segment,Cytoplasmic,0.0,139,0.14707703790254775,16.91385935879299,115
Q9UM73,segment,Cytoplasmic,0.0,561,0.1194006512465322,64.11814971938779,537
Q9H461,segment,Cytoplasmic,0.0,16,,,0
Q9H461,segment,Cytoplasmic,1.0,22,,,0
Q9H461,segment,Cytoplasmic,2.0,28,0.0,0.0,4
Q9H461,segment,Cytoplasmic,3.0,89,3.872663114384296,251.72310243497924,65
O14763,segment,Cytoplasmic,0.0,209,0.11425188515274033,21.136598753256962,185
P46531,segment,Cytoplasmic,0.0,799,0.2507917912738868,194.36363823726228,775
Q8N114,segment,Cytoplasmic,0.0,114,0.5443553955879605,48.991985602916444,90
Q07065,segment,Cytoplasmic,0.0,106,0.8976193124447374,73.60478362046847,82
P08172,segment,Cytoplasmic,0.0,14,,,0
P08172,segment,Cytoplasmic,1.0,21,,,0
P08172,segment,Cytoplasmic,2.0,180,0.5536637848226438,86.37155043233243,156
P08172,segment,Cytoplasmic,3.0,24,,,0
Q08345,segment,Cytoplasmic,0.0,475,0.07864262084693918,35.46782200196957,451
O60500,segment,Cytoplasmic,0.0,166,0.06936197234519696,9.849400073017968,142
P05067,segment,Cytoplasmic,0.0,48,0.011641364043656352,0.27939273704775247,24
Q8WXG9,segment,Cytoplasmic,0.0,10,,,0
Q8WXG9,segment,Cytoplasmic,1.0,10,,,0
Q8WXG9,segment,Cytoplasmic,2.0,24,,,0
Q8WXG9,segment,Cytoplasmic,3.0,152,0.7823295089659866,100.1381771476463,128
P11362,segment,Cytoplasmic,0.0,425,0.06285995359304117,25.206841390809508,401
P40967,segment,Cytoplasmic,0.0,45,0.0,0.0,21
P07766,segment,Cytoplasmic,0.0,55,0.13657167777735946,4.233722011098143,31
P20963,segment,Cytoplasmic,0.0,113,0.20772780144426956,18.48777432853999,89
P04626,segment,Cytoplasmic,0.0,580,0.095235083083909,52.95070619465341,556
O75460,segment,Cytoplasmic,0.0,513,0.148726458503951,72.72723820843204,489
P35968,segment,Cytoplasmic,0.0,571,0.11561957942203296,63.24390994385204,547
Q12879,segment,Cytoplasmic,0.0,24,,,0
