Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9Y6V0,PCLO_HUMAN,Protein piccolo (Aczonin),1.0
2,Q9Y566,SHAN1_HUMAN,SH3 and multiple ankyrin repeat domains protein 1 (Shank1) (Somatostatin receptor-interacting protein) (SSTR-interacting protein) (SSTRIP),1.0
3,Q9UPA5,BSN_HUMAN,Protein bassoon (Zinc finger protein 231),1.0
4,Q9UMD9,COHA1_HUMAN,Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen (120 kDa linear IgA dermatosis antigen) (Linear IgA disease antigen 1) (LAD-1); 97 kDa linear IgA disease antigen (97 kDa linear IgA bullous dermatosis antigen) (97 kDa LAD antigen) (97-LAD) (Linear IgA bullous disease antigen of 97 kDa) (LABD97)],1.0
5,Q9H4A3,WNK1_HUMAN,Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1),1.0
6,Q8WZ42,TITIN_HUMAN,Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14),1.0
7,Q2LD37,K1109_HUMAN,Transmembrane protein KIAA1109 (Fragile site-associated protein),1.0
8,Q12802,AKP13_HUMAN,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),1.0
9,O15027,SC16A_HUMAN,Protein transport protein Sec16A (SEC16 homolog A) (p250),1.0
10,Q12955,ANK3_HUMAN,Ankyrin-3 (ANK-3) (Ankyrin-G),1.0
11,Q9HCH0,NCK5L_HUMAN,Nck-associated protein 5-like (NCKAP5-like) (Centrosomal protein of 169 kDa) (Cep169),1.0
12,P78559,MAP1A_HUMAN,Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2],1.0
13,Q8TF72,SHRM3_HUMAN,Protein Shroom3 (Shroom-related protein) (hShrmL),1.0
14,Q15648,MED1_HUMAN,Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A),1.0
15,P22105,TENX_HUMAN,Tenascin-X (TN-X) (Hexabrachion-like protein),1.0
16,O95996,APCL_HUMAN,Adenomatous polyposis coli protein 2 (Adenomatous polyposis coli protein-like) (APC-like),1.0
17,P15502,ELN_HUMAN,Elastin (Tropoelastin),1.0
18,Q6UB99,ANR11_HUMAN,Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1),1.0
19,Q13796,SHRM2_HUMAN,Protein Shroom2 (Apical-like protein) (Protein APXL),1.0
