UniProt_ID,LLPhyScore_score
A0A087X1C5,-631.0
A0A0B4J2F0,-16.0
A0A0B4J2F2,-595.0
A0A0C5B5G6,-18.0
A0A0K2S4Q6,-182.0
A0A0U1RRE5,-11.0
A0A1B0GTW7,-613.0
A0A5B9,-127.0
A0AV02,-747.0
A0AV96,-273.0
A0AVF1,-669.0
A0AVI4,-680.0
A0AVK6,-347.0
A0AVT1,-1093.0
A0FGR8,-708.0
A0FGR9,-964.0
A0JLT2,-17.0
A0JNW5,-1011.0
A0JP26,-143.0
A0M8Q6,-38.0
A0MZ66,-266.0
A0PJK1,-1048.0
A0PJY2,-262.0
A0PK00,-532.0
A0PK11,-418.0
A1A4S6,-590.0
A1A4Y4,-85.0
A1A519,42.0
A1A5B4,-1241.0
A1A5C7,-858.0
A1E959,-4.0
A1KXE4,37.0
A1KZ92,-1391.0
A1L0T0,-810.0
A1L167,-97.0
A1L190,-69.0
A1L390,-474.0
A1L3X0,-525.0
A1L4H1,-399.0
A1L4K1,-480.0
A1X283,-109.0
A1XBS5,-278.0
A1Z1Q3,37.0
A2A288,-286.0
A2A2Y4,-714.0
A2IDD5,-362.0
A2PYH4,-1164.0
A2RRP1,-3130.0
A2RTX5,-755.0
A2RU14,-313.0
A2RU30,-142.0
A2RU49,-343.0
A2RUB1,-124.0
A2RUB6,-324.0
A2RUC4,-332.0
A2RUH7,-350.0
A2VDJ0,-722.0
A2VEC9,-557.0
A3KMH1,-1886.0
A4D0S4,-725.0
A4D126,-628.0
A4D161,-129.0
A4D1B5,-1112.0
A4D1E9,-353.0
A4D1P6,-450.0
A4D1T9,-267.0
A4D256,-486.0
A4D2B0,-80.0
A4D2B8,-228.0
A4GXA9,-442.0
A4UGR9,-1290.0
A5D8T8,-389.0
A5D8V6,58.0
A5D8V7,-635.0
A5D8W1,-1079.0
A5LHX3,-257.0
A5PKW4,-223.0
A5PLL7,-493.0
A5PLN9,-359.0
A5X5Y0,-524.0
A5YKK6,-2933.0
A5YM72,-1055.0
A6BM72,380.0
A6H8Y1,-317.0
A6H8Z2,-231.0
A6NC98,-978.0
A6NCS4,45.0
A6ND01,-189.0
A6ND36,-155.0
A6NDB9,154.0
A6NDE4,184.0
A6NDG6,-281.0
