UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,PSPire_includes_IDRs,PSPspredict_PDL,PSPspredict_catGRANULE,PSPspredict_PLAAC,PSPspredict_PScore,PSPspredict_ESpritz_DisProt,PSPspredict_SEG,PSPspredict_DeepPhase,PSPspredict_SaPS_10fea,PSPspredict_PdPS_10fea,PSPspredict_Psphunter,PSPspredict_PSPire,Entry name,p(LLPS),pLLPS_Class,TMD_count,Length,Functional_Categories,Compartment
O43561,Linker for activation of T-cells family member 1,LAT,Receptor cluster,PhasePDB,True,0.3832165678,0.5234676667,,0.785,0.8835028,Yes,0.13425925,0.221791411042944,0.786416884978498,0.861980865405523,0.817914110429447,0.948564417177914,0.491313470415442,0.854233128834355,0.993963190184049,0.785,0.974634289741516,LAT_HUMAN,1.0,High,1,262,[],Golgi apparatus
O60500,Nephrin,NPHS1 NPHN,Receptor cluster,LLPSDB+PhasePDB,True,0.2428889741,0.1194671032,0.0,0.816,0.19236472,Yes,0.38799757,0.783263803680981,0.693539617418812,0.714231354642313,4.9079754601227e-05,0.58041717791411,,0.014773006134969,0.909104294478527,0.816,0.953405499458313,NPHN_HUMAN,0.79,High,1,1241,['Adhesion'],plasma membrane
P00533,Epidermal growth factor receptor,EGFR ERBB ERBB1 HER1,,PhasePDB,True,0.7243557948,0.9770155874,0.000833333,0.781,0.9948772,Yes,0.85725904,0.784932515337423,0.921803173347832,0.885953468145249,0.547386503067484,0.525104294478527,0.510616869492236,0.919705521472392,0.956220858895705,0.781,0.997010350227356,EGFR_HUMAN,0.28,Low,1,1210,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",nucleus
Q7Z434,Mitochondrial antiviral-signaling protein,MAVS IPS1 KIAA1271 VISA,Inclusion body; Receptor cluster,PhasePDB,True,0.3417054212,0.3719084584,0.008333333,0.795,0.97495615,Yes,0.22459128,0.50041717791411,0.789234343334486,0.785007610350076,0.831754601226993,0.817521472392638,0.403524968527066,0.898208588957055,0.921815950920245,0.795,0.982102215290069,MAVS_HUMAN,1.0,High,1,540,[],mitochondrion
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1 IRE1,Stress granule,PhasePDB,True,0.7630394757000001,0.9830522498,0.0,0.274,0.13928577,Yes,0.2746446,0.652220858895705,0.898868073748208,0.746738421395955,4.9079754601227e-05,0.612564417177914,,0.656490797546012,0.59401226993865,0.274,0.0547319278120994,ERN1_HUMAN,0.52,Medium,1,977,"['Kinase', 'Transferase', 'Hydrolase', 'Chaperone', 'RNA Processing']",mitochondrion
P05067,Amyloid-beta precursor protein,APP A4 AD1,"Cell membrane; Single- pass type I membrane protein; Membrane; Single- pass type I membrane protein; Perikaryon; Cell projection, growth cone; Membrane, clathrin-coated pit; Early endosome; Cytoplasmic vesicle.",LLPSDB+PhasePDB,True,0.769808888,0.9115391104,0.0,0.922,0.8443614,Yes,0.9060831,0.52,0.256190994019079,0.870895846923244,4.9079754601227e-05,0.805644171779141,0.57859840537138,0.425276073619631,0.592392638036809,0.922,0.971359848976135,A4_HUMAN,0.75,High,1,770,['Adhesion'],extracellular region
P07766,T-cell surface glycoprotein CD3 epsilon chain,CD3E T3E,,PhasePDB,True,0.164514824,0.3334278235,0.0025,0.214,0.061977915,No,0.08398447,0.861398773006135,0.526320992536206,0.322570123939986,0.820907975460122,0.443141104294478,,0.597349693251533,0.676220858895705,0.214,0.0514188185334205,CD3E_HUMAN,0.64,Medium,1,207,['Receptor'],endoplasmic reticulum
P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET CDHF12 CDHR16 PTC,,PhasePDB,True,0.2879960374,0.8939286407,0.0,0.555,0.91190875,Yes,0.23649363,0.708907975460122,0.593939993079926,0.937866927592955,4.9079754601227e-05,0.35563190184049,0.199664288711707,0.680147239263803,0.734282208588957,0.555,0.98181265592575,RET_HUMAN,0.46,Medium,1,1114,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane
P08247,Synaptophysin,SYP,,PhasePDB,True,0.1996463957,0.0809225178,0.001666667,0.308,0.09619441,Yes,0.09528848,0.917349693251533,0.995600810637141,0.994564035659926,0.801128834355828,0.916564417177914,,0.958134969325153,0.816196319018405,0.308,0.106939315795898,SYPH_HUMAN,0.27,Low,4,313,[],cytoplasmic vesicle
Q08345,Epithelial discoidin domain-containing receptor 1,DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,,PhasePDB,True,0.2617370626,0.7716558811,0.0,0.49,0.092777506,Yes,0.49380827,0.833128834355828,0.855024467401512,0.816644922809306,4.9079754601227e-05,0.808098159509202,0.367771716323961,0.570061349693251,0.66483435582822,0.49,0.116858422756195,DDR1_HUMAN,0.81,High,1,913,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane
