Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9Y4H2,IRS2_HUMAN,Insulin receptor substrate 2 (IRS-2),1.0
2,P35568,IRS1_HUMAN,Insulin receptor substrate 1 (IRS-1),1.0
3,Q9NRF2,SH2B1_HUMAN,"SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)",1.0
4,Q9BX66,SRBS1_HUMAN,Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP),1.0
5,O14654,IRS4_HUMAN,Insulin receptor substrate 4 (IRS-4) (160 kDa phosphotyrosine protein) (py160) (Phosphoprotein of 160 kDa) (pp160),1.0
6,O75420,GGYF1_HUMAN,GRB10-interacting GYF protein 1 (PERQ amino acid-rich with GYF domain-containing protein 1),1.0
7,Q6Y7W6,GGYF2_HUMAN,GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein),1.0
8,O14511,NRG2_HUMAN,"Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin-1) (DON-1) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]",1.0
9,Q8N3F8,MILK1_HUMAN,MICAL-like protein 1 (Molecule interacting with Rab13) (MIRab13),1.0
10,Q13480,GAB1_HUMAN,GRB2-associated-binding protein 1 (GRB2-associated binder 1) (Growth factor receptor bound protein 2-associated protein 1),1.0
11,O14964,HGS_HUMAN,Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110),1.0
12,P56975,NRG3_HUMAN,"Pro-neuregulin-3, membrane-bound isoform (Pro-NRG3) [Cleaved into: Neuregulin-3 (NRG-3)]",1.0
13,O14492,SH2B2_HUMAN,SH2B adapter protein 2 (Adapter protein with pleckstrin homology and Src homology 2 domains) (SH2 and PH domain-containing adapter protein APS),0.99
14,P24394,IL4RA_HUMAN,Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)],0.99
15,Q92625,ANS1A_HUMAN,Ankyrin repeat and SAM domain-containing protein 1A (Odin),0.99
16,P15514,AREG_HUMAN,Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF),0.99
17,O15156,ZBT7B_HUMAN,Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (hcKrox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger and BTB domain-containing protein 15) (Zinc finger protein 67 homolog) (Zfp-67) (Zinc finger protein 857B) (Zinc finger protein Th-POK),0.98
18,Q92879,CELF1_HUMAN,CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2),0.98
19,Q9UM73,ALK_HUMAN,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),0.97
20,Q9Y2L6,FRM4B_HUMAN,FERM domain-containing protein 4B (GRP1-binding protein GRSP1),0.97
21,Q14C86,GAPD1_HUMAN,GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6),0.96
22,O75886,STAM2_HUMAN,Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein),0.96
23,P31943,HNRH1_HUMAN,"Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]",0.95
24,P42566,EPS15_HUMAN,Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p),0.93
25,Q01974,ROR2_HUMAN,"Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)",0.91
26,P29376,LTK_HUMAN,Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1),0.91
27,P52799,EFNB2_HUMAN,Ephrin-B2 (EPH-related receptor tyrosine kinase ligand 5) (LERK-5) (HTK ligand) (HTK-L),0.9
28,P19525,E2AK2_HUMAN,"Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)",0.9
29,Q92783,STAM1_HUMAN,Signal transducing adapter molecule 1 (STAM-1),0.89
30,P98172,EFNB1_HUMAN,Ephrin-B1 (EFL-3) (ELK ligand) (ELK-L) (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) [Cleaved into: Ephrin-B1 C-terminal fragment (Ephrin-B1 CTF); Ephrin-B1 intracellular domain (Ephrin-B1 ICD)],0.86
31,Q9C004,SPY4_HUMAN,Protein sprouty homolog 4 (Spry-4),0.85
