UniProt_ID,length,fuzdrop_score
P15941,1255,0.9995
Q7Z434,540,0.9938
Q9BR39,696,0.9462
O43561,262,0.9213
P31431,198,0.8636
O75445,5202,0.0937
Q9UM73,1620,0.174
Q9H461,694,0.4981
O14763,440,0.3519
P46531,2555,0.1871
Q8N114,240,0.2536
Q07065,602,0.9971
P08172,466,0.3514
Q08345,913,0.1217
O60500,1241,0.1702
P05067,770,0.199
Q8WXG9,6306,0.1589
P11362,822,0.1878
Q8NC56,503,0.5327
P40967,661,0.1262
P07766,207,0.3238
P20963,164,0.969
P04626,1255,0.207
O75460,977,0.1098
P35968,1356,0.3245
Q12879,1464,0.1475
Q86WV6,379,0.3762
P07949,1114,0.1072
P08908,422,0.158
P01857,330,0.3456
Q7Z3C6,839,0.1477
O75581,1613,0.15
P63027,116,0.9953
O60733,806,0.0997
Q04671,838,0.168
Q14BN4,828,0.6603
P15529,392,0.1408
Q8TEM1,1887,0.1517
Q9UJA2,301,0.1465
P00533,1210,0.1218
P21802,821,0.1705
P08247,313,0.2042
Q14739,615,0.2283
P29317,976,0.1086
P17948,1338,0.1352
P05556,798,0.1748
P10747,220,0.1284
Q16635,292,0.1083
P61073,352,0.1778
Q15303,1308,0.1056
O00254,374,0.1037
Q9H3U5,465,0.133
Q9Y624,299,0.1585
P31645,630,0.1242
P49146,381,0.1302
P13569,1480,0.1293
Q9BRQ8,373,0.1076
Q03135,178,0.1871
Q13021,153,0.2089
