Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9UKN1,MUC12_HUMAN,Mucin-12 (MUC-12) (Mucin-11) (MUC-11),1.0
2,Q68DE3,USF3_HUMAN,Basic helix-loop-helix domain-containing protein USF3 (Upstream transcription factor 3),1.0
3,Q2KJY2,KI26B_HUMAN,Kinesin-like protein KIF26B,1.0
4,Q12816,TROP_HUMAN,Trophinin (MAGE-D3 antigen),1.0
5,Q12955,ANK3_HUMAN,Ankyrin-3 (ANK-3) (Ankyrin-G),1.0
6,P22105,TENX_HUMAN,Tenascin-X (TN-X) (Hexabrachion-like protein),1.0
7,Q9HBL0,TENS1_HUMAN,Tensin-1,1.0
8,P39060,COIA1_HUMAN,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)],1.0
9,Q5D862,FILA2_HUMAN,Filaggrin-2 (FLG-2) (Intermediate filament-associated and psoriasis-susceptibility protein) (Ifapsoriasin),1.0
10,Q07092,COGA1_HUMAN,Collagen alpha-1(XVI) chain,1.0
11,Q9UQB3,CTND2_HUMAN,Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin),1.0
12,Q9H792,PEAK1_HUMAN,Inactive tyrosine-protein kinase PEAK1 (Pseudopodium-enriched atypical kinase 1) (Sugen kinase 269) (Tyrosine-protein kinase SgK269),1.0
13,Q70E73,RAPH1_HUMAN,Ras-associated and pleckstrin homology domains-containing protein 1 (RAPH1) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein) (Lamellipodin) (Proline-rich EVH1 ligand 2) (PREL-2) (Protein RMO1),1.0
14,Q9H7S9,ZN703_HUMAN,Zinc finger protein 703 (Zinc finger elbow-related proline domain protein 1),1.0
15,O60292,SI1L3_HUMAN,Signal-induced proliferation-associated 1-like protein 3 (SIPA1-like protein 3) (SPA-1-like protein 3),1.0
16,P16150,LEUK_HUMAN,Leukosialin (GPL115) (Galactoglycoprotein) (GALGP) (Leukocyte sialoglycoprotein) (Sialophorin) (CD antigen CD43) [Cleaved into: CD43 cytoplasmic tail (CD43-ct) (CD43ct)],1.0
17,P98082,DAB2_HUMAN,Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2),1.0
18,Q9P1Y5,CAMP3_HUMAN,Calmodulin-regulated spectrin-associated protein 3 (Protein Nezha),1.0
19,Q14160,SCRIB_HUMAN,Protein scribble homolog (Scribble) (hScrib) (Protein LAP4),1.0
20,P15941,MUC1_HUMAN,Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)],1.0
21,Q8IY33,MILK2_HUMAN,MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2),1.0
22,Q8IZF6,AGRG4_HUMAN,Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112),1.0
23,Q9Y2J4,AMOL2_HUMAN,Angiomotin-like protein 2 (Leman coiled-coil protein) (LCCP),1.0
24,Q5T4S7,UBR4_HUMAN,E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1),1.0
25,Q8IZ21,PHAR4_HUMAN,Phosphatase and actin regulator 4,1.0
26,Q96PX6,CC85A_HUMAN,Coiled-coil domain-containing protein 85A,1.0
27,Q8NFW1,COMA1_HUMAN,Collagen alpha-1(XXII) chain,1.0
28,Q5TAT6,CODA1_HUMAN,Collagen alpha-1(XIII) chain (COLXIIIA1),1.0
29,P16070,CD44_HUMAN,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),1.0
