Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q16821,PPR3A_HUMAN,Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1),1.0
2,P35638,DDIT3_HUMAN,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),1.0
3,P18848,ATF4_HUMAN,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),0.99
4,Q5VWQ8,DAB2P_HUMAN,Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein),0.99
5,Q9H7J1,PPR3E_HUMAN,Protein phosphatase 1 regulatory subunit 3E,0.98
6,Q96RS0,TGS1_HUMAN,Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT),0.98
7,O15516,CLOCK_HUMAN,Circadian locomoter output cycles protein kaput (hCLOCK) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 8) (bHLHe8),0.95
8,Q12772,SRBP2_HUMAN,Sterol regulatory element-binding protein 2 (SREBP-2) (Class D basic helix-loop-helix protein 2) (bHLHd2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2],0.92
9,P10606,COX5B_HUMAN,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)",0.88
10,Q9Y314,NOSIP_HUMAN,Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein),0.87
11,Q96LL9,DJC30_HUMAN,"DnaJ homolog subfamily C member 30, mitochondrial (Williams-Beuren syndrome chromosomal region 18 protein)",0.87
