tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
O00254,-16.0,-16.0,-7.0,-28.0,-29.0,-29.0,-17.0,-8.0,-150.0
O14763,0.0,24.0,-2.0,-39.0,-27.0,-30.0,-33.0,-14.0,-121.0
O43561,64.0,28.0,15.0,-16.0,-17.0,-51.0,-25.0,50.0,48.0
O60500,26.0,22.0,10.0,-14.0,-6.0,-36.0,-8.0,24.0,18.0
O75445,-5.0,9.0,0.0,-37.0,-10.0,-25.0,-4.0,23.0,-49.0
O75460,-26.0,15.0,-45.0,-141.0,-71.0,-68.0,-80.0,19.0,-397.0
O75581,62.0,30.0,27.0,-17.0,27.0,-41.0,-66.0,83.0,105.0
P00533,-10.0,11.0,-37.0,-152.0,-76.0,-80.0,-70.0,9.0,-405.0
P04626,30.0,17.0,29.0,-132.0,-48.0,-100.0,-98.0,3.0,-299.0
P05067,-4.0,-5.0,3.0,1.0,0.0,6.0,-4.0,10.0,7.0
P05556,-2.0,-2.0,-6.0,-10.0,-11.0,0.0,-7.0,-1.0,-39.0
P07766,13.0,6.0,10.0,-5.0,-1.0,-11.0,11.0,9.0,32.0
P07949,3.0,14.0,-26.0,-100.0,-51.0,-92.0,-77.0,-13.0,-342.0
P08172,-11.0,22.0,-2.0,-41.0,-10.0,2.0,10.0,38.0,8.0
P08247,59.0,29.0,33.0,39.0,25.0,16.0,-9.0,21.0,213.0
P08908,6.0,-14.0,6.0,-20.0,-53.0,-37.0,-3.0,-2.0,-117.0
P10747,-5.0,-3.0,-1.0,-11.0,-1.0,-7.0,-6.0,9.0,-25.0
P11362,-5.0,22.0,-37.0,-110.0,-46.0,-96.0,-85.0,-18.0,-375.0
P13569,-139.0,76.0,-150.0,-376.0,-187.0,-141.0,-195.0,7.0,-1105.0
P15529,-7.0,3.0,5.0,-9.0,-5.0,-4.0,-3.0,0.0,-20.0
P15941,11.0,1.0,4.0,-4.0,2.0,-22.0,-17.0,13.0,-12.0
P17948,-9.0,51.0,-47.0,-122.0,-81.0,-88.0,-93.0,0.0,-389.0
P20963,16.0,19.0,7.0,-6.0,-8.0,-20.0,3.0,-17.0,-6.0
P21802,-6.0,3.0,-26.0,-91.0,-58.0,-81.0,-57.0,-11.0,-327.0
P29317,-49.0,-34.0,-25.0,-102.0,-103.0,-78.0,-61.0,8.0,-444.0
P31431,0.0,4.0,-1.0,4.0,0.0,3.0,2.0,0.0,12.0
P31645,-1.0,7.0,-10.0,-41.0,-32.0,-7.0,-4.0,5.0,-83.0
P35968,-8.0,60.0,-40.0,-155.0,-87.0,-98.0,-75.0,-2.0,-405.0
P40967,-1.0,12.0,2.0,-23.0,3.0,-10.0,-4.0,5.0,-16.0
P46531,167.0,112.0,21.0,-92.0,-26.0,-162.0,-118.0,-7.0,-105.0
P49146,-17.0,-12.0,-4.0,-22.0,-21.0,-26.0,-13.0,8.0,-107.0
P61073,-6.0,29.0,-6.0,-35.0,-13.0,-27.0,-20.0,9.0,-69.0
P63027,15.0,-2.0,1.0,-7.0,-16.0,-23.0,-19.0,-2.0,-53.0
Q03135,-31.0,-25.0,-28.0,-44.0,-53.0,-23.0,-42.0,5.0,-241.0
Q04671,-15.0,48.0,-34.0,-116.0,-67.0,-103.0,-59.0,-13.0,-359.0
Q07065,52.0,28.0,26.0,31.0,15.0,-18.0,-13.0,8.0,129.0
Q08345,43.0,-23.0,-30.0,-108.0,-52.0,-74.0,-94.0,-23.0,-361.0
Q12879,12.0,100.0,-11.0,-146.0,29.0,-97.0,-17.0,86.0,-44.0
Q14BN4,-69.0,97.0,-91.0,-268.0,-62.0,-90.0,-160.0,-112.0,-755.0
Q15303,-19.0,-10.0,-16.0,-115.0,-59.0,-88.0,-73.0,-8.0,-388.0
Q7Z3C6,16.0,-3.0,-37.0,-159.0,-105.0,-135.0,-104.0,-11.0,-538.0
Q7Z434,125.0,69.0,11.0,-76.0,11.0,-95.0,-57.0,66.0,54.0
Q86WV6,-22.0,2.0,-28.0,-81.0,-54.0,-88.0,-61.0,-16.0,-348.0
Q8N114,28.0,-17.0,8.0,-3.0,-17.0,-21.0,-39.0,28.0,-33.0
Q8TEM1,6.0,-9.0,-12.0,-11.0,-14.0,-31.0,-15.0,4.0,-82.0
Q8WXG9,42.0,12.0,25.0,16.0,6.0,-20.0,-25.0,26.0,82.0
Q9BR39,192.0,108.0,64.0,-6.0,-25.0,-97.0,-60.0,43.0,219.0
Q9H461,29.0,42.0,17.0,8.0,-22.0,-14.0,-24.0,-17.0,19.0
Q9UM73,6.0,39.0,-30.0,-110.0,-17.0,-57.0,-60.0,23.0,-206.0
Q9Y624,3.0,12.0,1.0,-13.0,-4.0,-6.0,2.0,11.0,6.0
