tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
O00254|tm|seg0,-9.0,-7.0,-12.0,-11.0,-10.0,-3.0,-16.0,-7.0,-75.0
O00254|tm|seg1,-8.0,-9.0,-10.0,-7.0,-11.0,-4.0,-12.0,-3.0,-64.0
O00254|tm|seg2,-10.0,-5.0,-11.0,-11.0,-10.0,-6.0,-14.0,0.0,-67.0
O00254|tm|seg3,-9.0,-6.0,-11.0,-13.0,-10.0,-8.0,-16.0,-5.0,-78.0
O00254|tm|seg4,-10.0,-5.0,-14.0,-16.0,-13.0,0.0,-13.0,0.0,-71.0
O00254|tm|seg5,-13.0,-7.0,-13.0,-15.0,-10.0,-3.0,-15.0,0.0,-76.0
O00254|tm|seg6,-7.0,-2.0,-16.0,-16.0,-6.0,-5.0,-18.0,-6.0,-76.0
O14763|tm|seg0,-8.0,-8.0,-8.0,-8.0,-18.0,-8.0,-14.0,1.0,-71.0
O43561|tm|seg0,-7.0,3.0,-15.0,-12.0,1.0,-4.0,-18.0,-12.0,-64.0
O60500|tm|seg0,1.0,5.0,-13.0,-9.0,0.0,-6.0,-9.0,-13.0,-44.0
O60733|tm|seg0,-2.0,3.0,-9.0,-8.0,-4.0,-4.0,-9.0,-8.0,-41.0
O60733|tm|seg1,-2.0,3.0,-9.0,-4.0,-11.0,-6.0,-7.0,-6.0,-42.0
O75445|tm|seg0,-5.0,3.0,-12.0,-11.0,-2.0,0.0,-16.0,-5.0,-48.0
O75460|tm|seg0,-12.0,-8.0,-11.0,-12.0,-12.0,-5.0,-17.0,-4.0,-81.0
O75581|tm|seg0,-12.0,-9.0,-9.0,-13.0,-16.0,-3.0,-16.0,11.0,-67.0
P00533|tm|seg0,-2.0,7.0,-12.0,-10.0,-5.0,-6.0,-14.0,-11.0,-53.0
P04626|tm|seg0,-15.0,-4.0,-12.0,-15.0,-12.0,-7.0,-18.0,-4.0,-87.0
P05067|tm|seg0,-10.0,-7.0,-7.0,-7.0,-11.0,-9.0,-15.0,-4.0,-70.0
P05556|tm|seg0,-6.0,-5.0,-14.0,-10.0,-11.0,-8.0,-16.0,-7.0,-77.0
P07766|tm|seg0,-13.0,-6.0,-11.0,-12.0,-13.0,-12.0,-20.0,-1.0,-88.0
P07949|tm|seg0,-9.0,-8.0,-9.0,-11.0,-11.0,-5.0,-16.0,0.0,-69.0
P08172|tm|seg0,-11.0,-3.0,-8.0,-19.0,-9.0,-6.0,-18.0,1.0,-73.0
P08172|tm|seg1,-9.0,-6.0,-12.0,-11.0,-7.0,-6.0,-16.0,-1.0,-68.0
P08172|tm|seg2,-7.0,-5.0,-11.0,-13.0,-6.0,-9.0,-19.0,0.0,-70.0
P08172|tm|seg3,-4.0,-5.0,-9.0,-6.0,-9.0,-2.0,-14.0,-2.0,-51.0
P08172|tm|seg4,-8.0,-8.0,-10.0,-10.0,-17.0,-7.0,-15.0,0.0,-75.0
P08172|tm|seg5,-9.0,-8.0,-12.0,-12.0,-13.0,-6.0,-15.0,-6.0,-81.0
P08172|tm|seg6,-13.0,-10.0,-15.0,-9.0,-16.0,-12.0,-13.0,2.0,-86.0
P08247|tm|seg0,-4.0,0.0,-7.0,-3.0,-10.0,-2.0,-8.0,3.0,-31.0
P08247|tm|seg1,-6.0,-6.0,-8.0,-7.0,-11.0,-4.0,-15.0,3.0,-54.0
P08247|tm|seg2,-4.0,-2.0,-6.0,-3.0,-10.0,-7.0,-17.0,-2.0,-51.0
P08247|tm|seg3,-11.0,0.0,-12.0,-12.0,-9.0,-6.0,-14.0,-2.0,-66.0
P08908|tm|seg0,-5.0,3.0,-12.0,-13.0,-7.0,-8.0,-13.0,-8.0,-63.0
P08908|tm|seg1,-6.0,0.0,-6.0,-6.0,-6.0,-7.0,-16.0,-2.0,-49.0
P08908|tm|seg2,-10.0,-2.0,-13.0,-13.0,-11.0,-8.0,-19.0,-8.0,-84.0
P08908|tm|seg3,-8.0,1.0,-12.0,-13.0,-6.0,-5.0,-15.0,-5.0,-63.0
P08908|tm|seg4,-8.0,0.0,-13.0,-12.0,-8.0,-6.0,-17.0,0.0,-64.0
P08908|tm|seg5,-10.0,-3.0,-15.0,-18.0,-12.0,-5.0,-16.0,-8.0,-87.0
P08908|tm|seg6,-3.0,1.0,-13.0,-12.0,-7.0,-11.0,-11.0,-5.0,-61.0
P10747|tm|seg0,-13.0,-10.0,-14.0,-15.0,-16.0,-8.0,-22.0,-1.0,-99.0
P11362|tm|seg0,-9.0,-3.0,-8.0,-11.0,-11.0,-8.0,-15.0,1.0,-64.0
P13569|tm|seg0,-8.0,-8.0,-7.0,-6.0,-9.0,-3.0,-12.0,0.0,-53.0
P13569|tm|seg1,-8.0,1.0,-13.0,-14.0,-6.0,-7.0,-15.0,-10.0,-72.0
P13569|tm|seg10,-11.0,-11.0,-4.0,-9.0,-14.0,2.0,-12.0,9.0,-50.0
P13569|tm|seg11,-2.0,0.0,-6.0,-6.0,-2.0,-5.0,-12.0,1.0,-32.0
P13569|tm|seg2,-5.0,-3.0,-9.0,-7.0,-5.0,-3.0,-15.0,-5.0,-52.0
P13569|tm|seg3,1.0,8.0,-8.0,-9.0,-7.0,-3.0,-7.0,-8.0,-33.0
P13569|tm|seg4,-4.0,-6.0,-8.0,-10.0,-7.0,-4.0,-7.0,12.0,-34.0
