stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,combined_score,score_normalized,protein,partner,pllps_1,pllps_2,protein_name,partner_name
9606.ENSP00000248121,9606.ENSP00000270349,SYNGR3,SLC6A3,9606,0.911,0,0,0,0,0.292,0.0,0.88,911.0,0.911,O43761,Q01959,0.52,0.29,SYNGR3,SLC6A3
9606.ENSP00000256178,9606.ENSP00000333769,LYVE1,BSG,9606,0.874,0,0,0,0,0.0,0.0,0.874,874.0,0.874,Q9Y5Y7,P35613,0.56,0.29,LYVE1,BSG
9606.ENSP00000272542,9606.ENSP00000429754,SLC20A1,SLC20A2,9606,0.766,0,0,0,0,0.421,0.0,0.614,766.0,0.766,Q8WUM9,Q08357,0.35,0.45,SLC20A1,SLC20A2
9606.ENSP00000321735,9606.ENSP00000333769,SLC16A8,BSG,9606,0.989,0,0,0,0,0.0,0.9,0.895,989.0,0.989,O95907,P35613,0.57,0.29,SLC16A8,BSG
9606.ENSP00000333769,9606.ENSP00000448071,BSG,SLC16A7,9606,0.742,0,0,0,0,0.0,0.5,0.506,742.0,0.742,P35613,O60669,0.29,0.37,BSG,SLC16A7
9606.ENSP00000333769,9606.ENSP00000367123,BSG,SLC3A2,9606,0.909,0,0,0,0,0.308,0.5,0.76,909.0,0.909,P35613,P08195,0.29,0.43,BSG,SLC3A2
9606.ENSP00000333769,9606.ENSP00000441065,BSG,SLC16A1,9606,0.999,0,0,0,0,0.954,0.9,0.878,999.0,0.999,P35613,P53985,0.29,0.29,BSG,SLC16A1
9606.ENSP00000367064,9606.ENSP00000496870,CUBN,LRP2,9606,0.983,0,0,0,0,0.0,0.0,0.983,983.0,0.983,O60494,P98164,0.89,0.32,CUBN,LRP2
9606.ENSP00000265113,9606.ENSP00000278379,SLC1A3,SLC1A2,9606,0.9,0,0,0,0,0.0,0.9,0.0,900.0,0.9,P43003,P43004,0.19,0.19,SLC1A3,SLC1A2
9606.ENSP00000252595,9606.ENSP00000300456,SLC27A1,SLC27A4,9606,0.929,0,0,0,0,0.0,0.9,0.325,929.0,0.929,Q6PCB7,Q6P1M0,0.13,0.14,SLC27A1,SLC27A4
9606.ENSP00000269228,9606.ENSP00000451206,NPC1,NPC2,9606,0.998,0,0,0,0,0.955,0.9,0.762,998.0,0.998,O15118,P61916,0.15,0.16,NPC1,NPC2
9606.ENSP00000320935,9606.ENSP00000416293,SLC2A4,SLC2A1,9606,0.9,0,0,0,0,0.0,0.9,0.0,900.0,0.9,P14672,P11166,0.14,0.12,SLC2A4,SLC2A1
9606.ENSP00000471683,9606.ENSP00000481301,SLC38A5,SLC38A3,9606,0.9,0,0,0,0,0.0,0.9,0.0,900.0,0.9,Q8WUX1,Q99624,0.16,0.13,SLC38A5,SLC38A3
