UniProt_ID,mean_rank,weighted_mean_rank,rank_sd,n_predictors,Entry_name,p(LLPS),pLLPS_Class,TMD_count,Length,Protein_Name,leakage_any
Q9BR39,0.8366791194969545,0.8400529264094322,0.22767958782478614,18,JPH2_HUMAN,1.0,High,1,696,Junctophilin-2 (JP-2) (Junctophilin type 2) [Cleaved into: Junctophilin-2 N-terminal fragment (JP2NT)],True
Q07065,0.8025714286488227,0.8214686294009506,0.227707474070537,18,CKAP4_HUMAN,0.85,High,1,602,Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63),True
P00533,0.7701485045493628,0.7884804019074014,0.19388033782704034,18,EGFR_HUMAN,0.28,Low,1,1210,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),True
P04626,0.7458482874533046,0.7519598749688198,0.12701067386680814,18,ERBB2_HUMAN,0.53,Medium,1,1255,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),True
Q7Z434,0.7200793243166125,0.7416508579566333,0.2771424318261372,18,MAVS_HUMAN,1.0,High,1,540,Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA),True
Q9UM73,0.7138955093932946,0.7255037379638354,0.19863470023411164,18,ALK_HUMAN,0.97,High,1,1620,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),True
O43561,0.6803499198274944,0.6992473289901402,0.2718003616808674,17,LAT_HUMAN,1.0,High,1,262,Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38),True
P46531,0.684301168439407,0.697367475096969,0.3297280677360895,18,NOTC1_HUMAN,0.93,High,1,2555,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],False
O75581,0.6885577754337175,0.6848499437931923,0.18287348922760563,18,LRP6_HUMAN,0.42,Medium,1,1613,Low-density lipoprotein receptor-related protein 6 (LRP-6),False
Q15303,0.6521676765716877,0.670500605761617,0.25956033030899084,18,ERBB4_HUMAN,0.19,Low,1,1308,Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)],True
P15941,0.6562023192525515,0.6664574071963826,0.30122738873177707,18,MUC1_HUMAN,1.0,High,1,1255,Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)],False
Q8NC56,0.6504576848566658,0.6415793005408343,0.2796315589799923,17,LEMD2_HUMAN,0.68,Medium,2,503,LEM domain-containing protein 2 (hLEM2),True
P21802,0.6273822843265151,0.640703199320322,0.244103261184867,18,FGFR2_HUMAN,0.27,Low,1,821,Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332),True
P11362,0.619247080534724,0.6293630508595076,0.20872392848214463,18,FGFR1_HUMAN,0.69,Medium,1,822,Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331),True
Q08345,0.614426566184541,0.6052099856908681,0.20626697364446964,18,DDR1_HUMAN,0.81,High,1,913,Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a),False
P08247,0.6046412286330463,0.6046892214512701,0.3269400187844819,18,SYPH_HUMAN,0.27,Low,4,313,Synaptophysin (Major synaptic vesicle protein p38),True
Q9H461,0.621631528209322,0.6018122564574849,0.31144700071285353,18,FZD8_HUMAN,0.94,High,7,694,Frizzled-8 (Fz-8) (hFz8),False
O75460,0.6088188054535836,0.5989457239810099,0.22630824867826782,18,ERN1_HUMAN,0.52,Medium,1,977,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],False
P29317,0.5741098313109142,0.5926076751946983,0.2580224686905753,18,EPHA2_HUMAN,0.24,Low,1,976,Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK),False
P07949,0.579051866010862,0.5883217841632804,0.2306842860593081,18,RET_HUMAN,0.46,Medium,1,1114,Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment],True
Q12879,0.5812676838742697,0.5859150805101859,0.2042027207433834,18,NMDE1_HUMAN,0.5,Medium,4,1464,"Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)",True
P05067,0.5653109079852443,0.5818464024491868,0.28643761361045206,17,A4_HUMAN,0.75,High,1,770,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],True
O75445,0.5780666689367085,0.5784773234346821,0.31491576859914305,17,USH2A_HUMAN,0.98,High,1,5202,Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein),False
P05556,0.55576949238666,0.5768856867654392,0.27510096737135903,18,ITB1_HUMAN,0.24,Low,1,798,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),True
P35968,0.5678849972245646,0.5747596333290618,0.26073895436922667,18,VGFR2_HUMAN,0.51,Medium,1,1356,Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309),True
