uniprot_id,gene_name,pllps_score,degree,functional_group
O43761,SYNGR3,0.52,1,Transporter
Q01959,SLC6A3,0.29,1,Transporter
Q9Y5Y7,LYVE1,0.56,1,Transporter
P35613,BSG,0.29,5,Transporter
Q8WUM9,SLC20A1,0.35,1,Transporter
Q08357,SLC20A2,0.45,1,Transporter
O95907,SLC16A8,0.57,1,Transporter
O60669,SLC16A7,0.37,1,Transporter
P08195,SLC3A2,0.43,1,Transporter
P53985,SLC16A1,0.29,1,Transporter
O60494,CUBN,0.89,1,Transporter
P98164,LRP2,0.32,1,Transporter
P43003,SLC1A3,0.19,1,Transporter
P43004,SLC1A2,0.19,1,Transporter
Q6PCB7,SLC27A1,0.13,1,Transporter
Q6P1M0,SLC27A4,0.14,1,Transporter
O15118,NPC1,0.15,1,Transporter
P61916,NPC2,0.16,1,Transporter
P14672,SLC2A4,0.14,1,Transporter
P11166,SLC2A1,0.12,1,Transporter
Q8WUX1,SLC38A5,0.16,1,Transporter
Q99624,SLC38A3,0.13,1,Transporter
Q9UNF1,Q9UNF1,1.0,0,Transporter
O95409,O95409,1.0,0,Transporter
O00165,O00165,1.0,0,Transporter
Q9HBR0,Q9HBR0,1.0,0,Transporter
Q5VZ89,Q5VZ89,0.99,0,Transporter
P18848,P18848,0.99,0,Transporter
Q92504,Q92504,0.99,0,Transporter
Q9BZC7,Q9BZC7,0.98,0,Transporter
Q9ULF5,Q9ULF5,0.98,0,Transporter
Q9BXB5,Q9BXB5,0.97,0,Transporter
Q13433,Q13433,0.96,0,Transporter
Q12912,Q12912,0.96,0,Transporter
O60343,O60343,0.96,0,Transporter
Q8WZ55,Q8WZ55,0.95,0,Transporter
Q96CP6,Q96CP6,0.89,0,Transporter
Q9NRU3,Q9NRU3,0.88,0,Transporter
Q3KR37,Q3KR37,0.88,0,Transporter
O15533,O15533,0.77,0,Transporter
P35523,P35523,0.76,0,Transporter
P55011,P55011,0.75,0,Transporter
Q504Y0,Q504Y0,0.74,0,Transporter
Q92503,Q92503,0.68,0,Transporter
Q9Y6R1,Q9Y6R1,0.68,0,Transporter
O75880,O75880,0.67,0,Transporter
Q9Y6M7,Q9Y6M7,0.67,0,Transporter
A6NFX1,A6NFX1,0.67,0,Transporter
Q9H8M5,Q9H8M5,0.66,0,Transporter
Q6P5W5,Q6P5W5,0.66,0,Transporter
Q86UK0,Q86UK0,0.63,0,Transporter
Q9NSA1,Q9NSA1,0.63,0,Transporter
Q9NZJ7,Q9NZJ7,0.63,0,Transporter
O95718,O95718,0.6,0,Transporter
Q8NE01,Q8NE01,0.59,0,Transporter
P0CK97,P0CK97,0.57,0,Transporter
O43715,O43715,0.57,0,Transporter
Q96RN1,Q96RN1,0.56,0,Transporter
Q9Y2W3,Q9Y2W3,0.56,0,Transporter
Q96K37,Q96K37,0.55,0,Transporter
Q96Q91,Q96Q91,0.55,0,Transporter
Q8IVW8,Q8IVW8,0.53,0,Transporter
Q8TF71,Q8TF71,0.53,0,Transporter
Q6U841,Q6U841,0.52,0,Transporter
Q96D15,Q96D15,0.51,0,Transporter
Q96PQ0,Q96PQ0,0.5,0,Transporter
P54368,P54368,0.48,0,Transporter
Q86UW2,Q86UW2,0.47,0,Transporter
Q9H8K7,Q9H8K7,0.47,0,Transporter
Q96HN2,Q96HN2,0.47,0,Transporter
Q969I6,Q969I6,0.46,0,Transporter
Q6ZMD2,Q6ZMD2,0.45,0,Transporter
Q8IYS0,Q8IYS0,0.45,0,Transporter
O15438,O15438,0.44,0,Transporter
Q7RTT9,Q7RTT9,0.42,0,Transporter
O95202,O95202,0.42,0,Transporter
Q86U90,Q86U90,0.41,0,Transporter
Q9BY10,Q9BY10,0.41,0,Transporter
Q9NWF4,Q9NWF4,0.41,0,Transporter
Q5TF39,Q5TF39,0.4,0,Transporter
Q99523,Q99523,0.39,0,Transporter
Q86YT5,Q86YT5,0.39,0,Transporter
P22748,P22748,0.38,0,Transporter
Q8NCK7,Q8NCK7,0.38,0,Transporter
O15431,O15431,0.38,0,Transporter
Q96JW4,Q96JW4,0.36,0,Transporter
O15440,O15440,0.36,0,Transporter
O95528,O95528,0.36,0,Transporter
Q6ICL7,Q6ICL7,0.36,0,Transporter
Q9Y5Y0,Q9Y5Y0,0.36,0,Transporter
Q96J65,Q96J65,0.36,0,Transporter
Q9NUM3,Q9NUM3,0.36,0,Transporter
