UniProt_ID,region,unspliced_score,spliced_score,n_segments,tool,tool_type,whole_score,splice_delta
O00254,Cytoplasmic,0.4098799688385903,0.2178004162690341,3,DeePhase,sequence,0.4546829937627076,-0.1920795525695562
O00254,Extracellular/Lumenal,0.3245296171485235,0.1950837291750926,4,DeePhase,sequence,0.4546829937627076,-0.12944588797343093
O00254,Transmembrane,0.4547832163261507,0.4512135670249378,7,DeePhase,sequence,0.4546829937627076,-0.003569649301212896
O14763,Cytoplasmic,0.4058664002017613,0.4058664002017613,1,DeePhase,sequence,0.6988238830210836,0.0
O14763,Extracellular/Lumenal,0.3350194565800528,0.3350194565800528,1,DeePhase,sequence,0.6988238830210836,0.0
O14763,Transmembrane,0.5121076395642211,0.5121076395642211,1,DeePhase,sequence,0.6988238830210836,0.0
O43561,Cytoplasmic,0.668891758549701,0.668891758549701,1,DeePhase,sequence,0.6475741385548002,0.0
O43561,Transmembrane,0.5347628505405719,0.5347628505405719,1,DeePhase,sequence,0.6475741385548002,0.0
O60500,Cytoplasmic,0.49501948792644,0.49501948792644,1,DeePhase,sequence,0.8102068868890275,0.0
O60500,Extracellular/Lumenal,0.7281165451903482,0.7281165451903482,1,DeePhase,sequence,0.8102068868890275,0.0
O60500,Transmembrane,0.5222525215442053,0.5222525215442053,1,DeePhase,sequence,0.8102068868890275,0.0
O60733,Transmembrane,0.42608330676855366,0.4359028963202399,2,DeePhase,sequence,0.4812713663054601,0.009819589551686214
O75445,Cytoplasmic,0.3652975443557631,0.3652975443557631,1,DeePhase,sequence,0.6112309185243979,0.0
O75445,Extracellular/Lumenal,0.6192947590770546,0.6192947590770546,1,DeePhase,sequence,0.6112309185243979,0.0
O75445,Transmembrane,0.5340124596043605,0.5340124596043605,1,DeePhase,sequence,0.6112309185243979,0.0
O75460,Cytoplasmic,0.736585092439449,0.736585092439449,1,DeePhase,sequence,0.8076256814335443,0.0
O75460,Extracellular/Lumenal,0.5441549576535176,0.5441549576535176,1,DeePhase,sequence,0.8076256814335443,0.0
O75460,Transmembrane,0.4712362967743385,0.4712362967743385,1,DeePhase,sequence,0.8076256814335443,0.0
O75581,Cytoplasmic,0.7239592645671089,0.7239592645671089,1,DeePhase,sequence,0.6863973018752079,0.0
O75581,Extracellular/Lumenal,0.5408543358093589,0.5408543358093589,1,DeePhase,sequence,0.6863973018752079,0.0
O75581,Transmembrane,0.5691391174929641,0.5691391174929641,1,DeePhase,sequence,0.6863973018752079,0.0
P00533,Cytoplasmic,0.7436360421932625,0.7436360421932625,1,DeePhase,sequence,0.708737096472045,0.0
P00533,Extracellular/Lumenal,0.3910713978721543,0.3910713978721543,1,DeePhase,sequence,0.708737096472045,0.0
P00533,Transmembrane,0.536199443986308,0.536199443986308,1,DeePhase,sequence,0.708737096472045,0.0
P01857,Extracellular/Lumenal,0.3871847853274284,0.3871847853274284,1,DeePhase,sequence,0.3871847853274284,0.0
P04626,Cytoplasmic,0.7821972512774278,0.7821972512774278,1,DeePhase,sequence,0.7916032112568478,0.0
P04626,Extracellular/Lumenal,0.371540899707839,0.371540899707839,1,DeePhase,sequence,0.7916032112568478,0.0
P04626,Transmembrane,0.5288874802798802,0.5288874802798802,1,DeePhase,sequence,0.7916032112568478,0.0
P05067,Cytoplasmic,0.3563983992628537,0.3563983992628537,1,DeePhase,sequence,0.7517669594641843,0.0
P05067,Extracellular/Lumenal,0.7344462138568033,0.7344462138568033,1,DeePhase,sequence,0.7517669594641843,0.0
P05067,Transmembrane,0.5552364669194518,0.5552364669194518,1,DeePhase,sequence,0.7517669594641843,0.0
P05556,Cytoplasmic,0.1925813749188188,0.1925813749188188,1,DeePhase,sequence,0.5887369735934134,0.0
P05556,Extracellular/Lumenal,0.6231271349866099,0.6231271349866099,1,DeePhase,sequence,0.5887369735934134,0.0
P05556,Transmembrane,0.5222356352042711,0.5222356352042711,1,DeePhase,sequence,0.5887369735934134,0.0
P07766,Cytoplasmic,0.4141107652120344,0.4141107652120344,1,DeePhase,sequence,0.3840600106586072,0.0
P07766,Extracellular/Lumenal,0.1240112911383712,0.1240112911383712,1,DeePhase,sequence,0.3840600106586072,0.0
P07766,Transmembrane,0.4402226753634938,0.4402226753634938,1,DeePhase,sequence,0.3840600106586072,0.0
P07949,Cytoplasmic,0.3360263810013507,0.3360263810013507,1,DeePhase,sequence,0.4284791594927323,0.0
P07949,Extracellular/Lumenal,0.3891213420903651,0.3891213420903651,1,DeePhase,sequence,0.4284791594927323,0.0
P07949,Transmembrane,0.4609549458168894,0.4609549458168894,1,DeePhase,sequence,0.4284791594927323,0.0
P08172,Cytoplasmic,0.4427194673148561,0.6051416023208434,4,DeePhase,sequence,0.4707865788405745,0.16242213500598723
P08172,Extracellular/Lumenal,0.503455091868635,0.3244701406451759,2,DeePhase,sequence,0.4707865788405745,-0.17898495122345914
P08172,Transmembrane,0.44770445716494345,0.409509509560385,7,DeePhase,sequence,0.4707865788405745,-0.03819494760455844
P08247,Cytoplasmic,0.5172313396137749,0.6933155469645624,2,DeePhase,sequence,0.5961894697111274,0.17608420735078756
P08247,Extracellular/Lumenal,0.3737263535023647,0.1145149592431627,2,DeePhase,sequence,0.5961894697111274,-0.25921139425920203
P08247,Transmembrane,0.46445909978158934,0.454362255006821,4,DeePhase,sequence,0.5961894697111274,-0.010096844774768354
P08908,Cytoplasmic,0.41070031587953476,0.4262157393532491,4,DeePhase,sequence,0.5755573841337309,0.015515423473714318
