UniProt_ID,Entry_name,mean_rank,weighted_mean_rank,rank_sd,TMD_count,Length,leakage_any,TMD_class,role,LLPS_mode,evidence_in_vivo,evidence_in_vitro,is_Receptor,is_Ion Channel,is_Transporter,is_Hydrolase,is_GPCR,is_Transferase,is_Adhesion,is_Receptor Tyrosine Kinase,is_Kinase,functional_groups,locations,seq_len,cyto_len,total_PTM,cyto_PTM,cyto_PTM_density,total_PTM_density
Q9BR39,JPH2_HUMAN,0.8366791194969545,0.8400529264094322,0.2276795878247861,1,696,True,single,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,Transcription Factor,Cell membrane;Sarcoplasmic reticulum membrane;Endoplasmic reticulum membrane;Nucleus,696,674,12,12,0.017804154302670624,0.017241379310344827
Q07065,CKAP4_HUMAN,0.8025714286488227,0.8214686294009506,0.227707474070537,1,602,True,single,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Endoplasmic reticulum membrane;Cell membrane;Cytoskeleton;Perinuclear region,602,106,7,5,0.04716981132075472,0.011627906976744186
P00533,EGFR_HUMAN,0.7701485045493628,0.7884804019074014,0.1938803378270403,1,1210,True,single,both,both,False,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Endoplasmic reticulum membrane;Golgi apparatus membrane;Nucleus membrane;Endosome;Endosome membrane;Nucleus;Secreted,1210,542,48,34,0.06273062730627306,0.03966942148760331
P04626,ERBB2_HUMAN,0.7458482874533046,0.7519598749688198,0.1270106738668081,1,1255,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Ruffle membrane;Early endosome;Perinuclear region;Nucleus;Cytoplasm,1255,580,19,11,0.01896551724137931,0.015139442231075698
Q7Z434,MAVS_HUMAN,0.7200793243166125,0.7416508579566333,0.2771424318261372,1,540,True,single,both,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Mitochondrion outer membrane;Mitochondrion;Peroxisome,540,512,24,24,0.046875,0.044444444444444446
Q9UM73,ALK_HUMAN,0.7138955093932946,0.7255037379638354,0.1986347002341116,1,1620,True,single,unclear,unclear,False,False,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane,1620,561,23,7,0.012477718360071301,0.014197530864197531
O43561,LAT_HUMAN,0.6803499198274944,0.6992473289901402,0.2718003616808674,1,262,True,single,unclear,partner_dependent,False,False,False,False,False,False,False,False,False,False,False,,Cell membrane,262,235,19,18,0.07659574468085106,0.07251908396946564
P46531,NOTC1_HUMAN,0.684301168439407,0.697367475096969,0.3297280677360895,1,2555,False,single,driver,autonomous,True,True,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane;Late endosome membrane;Nucleus,2555,799,51,4,0.0050062578222778474,0.019960861056751468
O75581,LRP6_HUMAN,0.6885577754337175,0.6848499437931923,0.1828734892276056,1,1613,False,single,driver,autonomous,False,False,True,False,True,False,False,False,True,False,False,Transporter;Receptor;Adhesion,Cell membrane;Endoplasmic reticulum;Membrane raft,1613,220,18,8,0.03636363636363636,0.011159330440173589
Q15303,ERBB4_HUMAN,0.6521676765716877,0.670500605761617,0.2595603303089908,1,1308,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Nucleus;Mitochondrion,1308,633,21,10,0.01579778830963665,0.016055045871559634
P15941,MUC1_HUMAN,0.6562023192525515,0.6664574071963826,0.301227388731777,1,1255,False,single,unclear,unclear,True,False,False,False,False,False,False,False,False,False,False,,Apical cell membrane;Secreted;Cell membrane;Cytoplasm;Nucleus,1255,74,18,9,0.12162162162162163,0.014342629482071713
Q8NC56,LEMD2_HUMAN,0.6504576848566658,0.6415793005408343,0.2796315589799923,2,503,True,multi,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Nucleus inner membrane;Nucleus envelope;Spindle,503,0,6,0,,0.011928429423459244
P21802,FGFR2_HUMAN,0.6273822843265151,0.640703199320322,0.244103261184867,1,821,True,single,unclear,partner_dependent,False,False,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Golgi apparatus;Cytoplasmic vesicle;Secreted,821,423,15,7,0.016548463356973995,0.018270401948842874
P11362,FGFR1_HUMAN,0.619247080534724,0.6293630508595076,0.2087239284821446,1,822,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Nucleus;Cytosol;Cytoplasmic vesicle,822,425,15,7,0.01647058823529412,0.01824817518248175
