Protein,Degree,Betweenness,pLLPS,Is_High_pLLPS
ARHGEF5,22,0.00015489804481022304,1.0,True
RHOA,216,0.007665489907586565,0.26,False
GRB2,224,0.006360035545822609,0.25,False
RHOG,65,0.0006575924352138375,0.13,False
CDC42,242,0.007672951375064859,0.13,False
GAREM1,18,5.1932380661632786e-05,0.97,True
MCF2,46,0.00020517464502167905,0.22,False
DTNA,40,0.00036737689895560254,0.94,True
CTNNAL1,25,0.00028067968594341176,0.24,False
SRGAP2,27,0.0003699287513190886,0.82,True
ARHGEF1,53,0.00042350999128630003,0.78,True
RHOB,58,0.0002222391478471834,0.11,False
PTPN20,20,0.0004679704171371311,0.38,False
RHOC,64,0.0003648320185308201,0.21,False
TCAF1,8,6.830784915966168e-05,0.14,False
EGFR,371,0.02261916786426827,0.28,False
ROCK1,56,0.00068242008183953,0.86,True
RAC1,145,0.001932953317030623,0.11,False
NPY4R2,10,2.6480775918371316e-05,0.18,False
NPY4R,35,0.00019144435122116487,0.18,False
SLC6A13,22,0.00015481486201990253,0.21,False
SHANK3,57,0.00042351702311605615,1.0,True
GNA13,109,0.0010991757515732012,0.22,False
TNS1,32,0.00038000451419367324,1.0,True
VCL,94,0.0009038406718560954,0.41,False
SRC,478,0.029930400199125122,0.22,False
DLC1,23,7.78374269819302e-05,1.0,True
TLN1,87,0.0008510875441808263,0.79,True
TLN2,76,0.0005155066160498339,0.41,False
PXN,84,0.0005206646492208839,0.96,True
TGFB1I1,31,0.00018921375798718802,0.99,True
AXL,48,0.00033762376927674956,0.6,False
PTK2,127,0.0016644897065763063,0.64,False
ITGB3,117,0.0011511533567047756,0.2,False
UBXN6,19,9.386587318677057e-05,0.48,False
CCDC88A,24,0.00012986942745204033,0.95,True
FAXDC2,41,0.00016359700648561928,0.15,False
DMTN,39,0.0003313705420677351,1.0,True
EPB42,32,0.00014772757925986667,0.28,False
SNCA,79,0.0012313301538224857,0.62,False
SLC4A1,58,0.0008675828960325309,0.3,False
PIP4K2A,47,0.0002592628642601394,0.38,False
PINK1,87,0.001060586279370264,0.32,False
GYPB,37,0.00016636290523534583,0.19,False
AKT1,265,0.012909370411886202,0.59,False
SELENBP1,16,8.750355704368825e-05,0.16,False
TMOD1,27,0.00011498770975361839,0.26,False
ILK,50,0.00041683023710624174,0.28,False
SMIM10L1,2,2.893962195250125e-08,0.18,False
OSBP2,32,0.0004082151656924338,0.99,True
ITGB1,178,0.004002808364449382,0.24,False
ENO1,33,0.0004890211939149482,0.16,False
SLITRK1,41,0.0006681831199403217,0.26,False
SIPA1L3,8,2.0074381280261383e-05,1.0,True
SIPA1,16,0.00011804612943808715,1.0,True
YWHAZ,77,0.0010745700685013935,0.22,False
KCNC3,32,0.00021635762703209262,1.0,True
GJA3,34,0.0002063304879742167,0.99,True
DNMBP,21,0.0003561652895112159,0.99,True
ENOX1,9,3.191756948195199e-05,0.52,False
GJA8,33,0.0002208373910054305,0.66,False
DAGLA,21,6.0541586672871886e-05,0.75,True
WNK4,43,0.0003960928497671759,1.0,True
KCNJ1,55,0.00040622303235858396,0.12,False
SLC12A3,57,0.00045043425141088234,0.21,False
SLC12A1,61,0.0005890653732008227,0.29,False
SLC12A2,57,0.0009289601949858255,0.75,True
SCNN1B,53,0.00028664317990140605,0.27,False
SCNN1A,53,0.0003972525360255541,0.69,False
SCNN1G,48,0.0001565687794789972,0.24,False
ITSN1,117,0.002052841771466418,0.98,True
NEDD4L,74,0.0013319458996875863,0.97,True
SLC12A4,29,0.00023238990579427742,0.34,False
SLC12A5,48,0.0003845371277303419,0.64,False
ITSN2,102,0.0015588262642541567,0.99,True
KCNMA1,66,0.0009403127203263862,0.47,False
TRPV5,49,0.0005837005304561271,0.16,False
TRPV4,64,0.0006816552068398333,0.26,False
CLCNKB,32,9.620616334810945e-05,0.19,False
CFTR,115,0.004149214005586481,0.13,False
SLC12A7,22,0.00018856491384492725,0.48,False
NR3C2,27,0.000150534779734014,0.99,True
SGK1,32,0.0001087032200515538,0.29,False
SCNN1D,46,0.0003478456501912381,0.75,True
GNB3,185,0.0021798545976648644,0.1,False
SLC12A6,19,8.349376421276517e-05,0.27,False
CLDN2,41,0.0002849461444187277,0.17,False
ADRB2,67,0.0009432562957011352,0.26,False
REN,63,0.0005155051147554522,0.22,False
BSND,42,0.0002329240776526539,0.95,True
KCNJ10,61,0.0006989822776356536,0.14,False
SYT2,57,0.00046433982935104246,0.69,False
WNK3,26,0.00010722720204526967,1.0,True
TJP2,69,0.000677507397146662,1.0,True
KCNJ2,54,0.00029462251029810843,0.16,False
MARVELD3,23,3.158767317228324e-05,0.71,True
PNPLA8,29,0.0002724898115173764,0.32,False
PPHLN1,8,2.8152160511368615e-05,1.0,True
MAST1,5,1.9347476128079972e-05,1.0,True
MAGI2,48,0.0004785076551526253,1.0,True
SNTB2,40,0.0002102918299003018,0.72,True
TMEM145,17,0.00021531779848251597,0.24,False
ACE2,72,0.0015979057710600762,0.24,False
CACNG2,98,0.0008120962910883437,0.62,False
APC,61,0.0005043225686022006,1.0,True
GSK3B,110,0.0027315639498316875,0.28,False
AXIN1,72,0.0007268068872518108,1.0,True
CTNNB1,280,0.01207117739414065,0.37,False
ARHGEF4,32,0.0003296699424930099,0.53,False
AMER1,23,0.00024862192918277773,1.0,True
DVL1,91,0.000998984633903541,1.0,True
SPATA13,17,1.7775083198057315e-05,0.59,False
JUP,69,0.0009628059674119672,0.2,False
CTNNA1,55,0.00029043038986854115,0.23,False
SIAH1,19,0.00019043907701416063,0.16,False
ASAP1,52,0.000505296584493261,0.98,True
DVL2,75,0.000996227291534372,1.0,True
KHDRBS1,18,0.00023029563270497727,0.99,True
CDH1,169,0.004186195557329037,0.34,False
LRP5,77,0.0005544472402630188,0.37,False
LRP6,80,0.0008245655004952019,0.42,False
WNT3,45,9.68961991194302e-05,0.33,False
CASP3,116,0.0030216822791475093,0.34,False
WNT3A,67,0.00028424224680809434,0.4,False
CDH2,94,0.0011136012496591712,0.41,False
HRK,22,4.608112072398013e-05,0.5,False
FZD2,57,0.00012268173200720073,0.32,False
CTNND1,75,0.0006849001531593212,0.98,True
DLG1,78,0.00077105412544513,0.81,True
CLIP1,25,0.00047190648872140825,0.99,True
KIAA1109,15,0.00011760751579054507,1.0,True
HERC1,14,7.276663943103086e-05,1.0,True
RGS1,51,0.0002276308372234056,0.45,False
TOR1A,44,0.0010180148232797432,0.11,False
IL18R1,34,0.00021033272977285015,0.12,False
C1orf43,11,6.652201794454262e-05,0.43,False
VPS13C,34,0.00034188934770262635,0.78,True
HLA-DQA1,55,0.00018797039578262185,0.14,False
PLXNA1,54,0.0004298992832839071,0.23,False
CTLA4,105,0.0006050189027626053,0.13,False
WDFY3,28,0.00010011533320918305,0.88,True
AKAP6,29,0.00021677621498798413,1.0,True
VPS13B,16,0.0001298015172886352,0.94,True
NBAS,41,9.723362520498779e-05,0.19,False
VPS13A,37,0.0006299725718050833,0.38,False
LMTK3,2,2.619907261897625e-06,1.0,True
ESR1,84,0.0026495720412407246,0.91,True
ELFN1,13,5.3920579727271e-05,0.89,True
ANK3,110,0.0014444665754196507,1.0,True
NFASC,61,0.0003466227862853894,0.92,True
EPB41,64,0.0006563042189989081,0.83,True
SCN5A,94,0.0010365178965751288,0.8,True
ADD1,41,0.0003901938381239336,0.92,True
CD44,186,0.005285399896912551,1.0,True
ADD3,35,0.0002288356835669553,0.88,True
