UniProt_ID,Gene,Protein_name,reviewed,protein_existence,length,n_transmem,n_intramem,n_lipid,topology,tm_evidence,membrane_descriptor,kw_transmembrane,kw_gpi,in_CD-CODE,in_PhaSepDB,in_DrLLPS,in_PhaSePro,in_LLPSDB,n_databases,CDCODE_role,CDCODE_driver_criteria,CDCODE_n_biomol_condensates,CDCODE_n_synthetic_condensates,CDCODE_condensate_names,PhaSepDB_class,PhaSepDB_MLO,DrLLPS_type,DrLLPS_condensate,PhaSePro_partner_dependent,all_pmids,n_pmids,flagged_pmid_citations,evidence_proteomics_inventory_only,evidence_rnai_screen_only,flag_no_pmid,flag_single_database,flag_unreviewed,flag_tm_predicted_only,flag_no_membrane_descriptor,n_flags,catgranule_leakage,catgranule_train_positive,catgranule_label_contradiction,set_legacy_427,set_legacy_rule_reconstructed,set_recommended_primary,set_strict_transmem,set_full_union_475,set_evidence_core,set_catgranule_clean
Q9NUT2,ABCB8,"Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial ATP-binding cassette 1) (M-ABC1) (Mitochondrial sulfonylurea-receptor) (MITOSUR)",reviewed,Evidence at protein level,735.0,3,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
P28288,ABCD3,ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (70 kDa peroxisomal membrane protein) (PMP70),reviewed,Evidence at protein level,659.0,4,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,3.0,0.0,P-body;Stress granule;Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O95870,ABHD16A,Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (hBAT5) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23) (Protein G5),reviewed,Evidence at protein level,558.0,2,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q5T8D3,ACBD5,Acyl-CoA-binding domain-containing protein 5,reviewed,Evidence at protein level,534.0,1,0,0,single-pass,sequence_analysis,Single-pass membrane protein,True,False,True,False,True,False,False,2,member,,2.0,0.0,Stress granule;Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,"Stress granule, Postsynaptic density",,23071613;29373831,2,23071613=Bayés A PLoS One 2012,False,False,False,False,False,True,False,1,catgranule_train_positive,True,False,True,True,True,True,True,True,False
Q16570,ACKR1,Atypical chemokine receptor 1 (Duffy antigen receptor for chemokines) (Duffy antigen/chemokine receptor) (Duffy blood group antigen) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234),reviewed,Evidence at protein level,336.0,7,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O95573,ACSL3,Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2),reviewed,Evidence at protein level,720.0,1,0,0,single-pass,sequence_analysis,Single-pass type III membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4),reviewed,Evidence at protein level,711.0,1,0,0,single-pass,sequence_analysis,Single-pass type III membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,not_in_catgranule,False,False,True,True,True,True,True,False,True
Q9UKU0,ACSL6,Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6) (LACS 6),reviewed,Evidence at protein level,697.0,1,0,0,single-pass,sequence_analysis,Single-pass type III membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q9P0K1,ADAM22,"Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)",reviewed,Evidence at protein level,906.0,1,0,0,single-pass,sequence_analysis,Single-pass type I membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O75077,ADAM23,"Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)",reviewed,Evidence at protein level,832.0,1,0,0,single-pass,sequence_analysis,Single-pass type I membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O43306,ADCY6,Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase),reviewed,Evidence at protein level,1168.0,12,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,False,False,False,1,member,,1.0,0.0,P-body,not_in_phasepdb,,not_in_drllps,,,25995375,1,,False,False,False,True,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O14514,ADGRB1,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)],reviewed,Evidence at protein level,1584.0,7,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O94910,ADGRL1,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),reviewed,Evidence at protein level,1474.0,7,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q9HAR2,ADGRL3,Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3),reviewed,Evidence at protein level,1447.0,7,0,0,multi-pass,experimental,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,False,False,1,not_in_catgranule,False,False,True,True,True,True,True,False,True
Q8WXG9,ADGRV1,Adhesion G protein-coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G protein-coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G protein-coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],reviewed,Evidence at protein level,6306.0,7,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,False,True,False,False,False,1,not_in_cdcode,,,,,PS-other only,,not_in_drllps,,,36964137,1,,False,False,False,True,False,True,False,2,catgranule_train_negative,False,True,True,True,True,True,True,False,False
P07550,ADRB2,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),reviewed,Evidence at protein level,413.0,7,0,2,multi-pass,experimental,Multi-pass membrane protein,True,False,False,False,True,False,False,1,not_in_cdcode,,,,,not_in_phasepdb,,Regulator,Stress granule,,18794846,1,18794846=Ohn T Nat Cell Biol 2008,False,True,False,True,False,False,False,2,catgranule_train_positive,True,False,False,False,False,True,True,False,False
Q9Y4W6,AFG3L2,Mitochondrial inner membrane m-AAA protease component AFG3L2 (EC 3.4.24.-) (EC 3.6.-.-) (AFG3-like protein 2) (Paraplegin-like protein),reviewed,Evidence at protein level,797.0,2,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,2.0,0.0,Nucleolus;Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,"Nucleolus, Postsynaptic density",,23071613;26980300,2,23071613=Bayés A PLoS One 2012;26980300=Palm D RNA Biol 2016,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q9NUQ2,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 5) (1-AGP acyltransferase 5) (1-AGPAT 5) (Lysophosphatidic acid acyltransferase epsilon) (LPAAT-epsilon),reviewed,Evidence at protein level,364.0,3,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
