Entry,Entry name,Protein names,p(LLPS),pLLPS_Class,TMD_count,Length,Functional_Categories,Compartment,Subcellular location [CC]
P15941,MUC1_HUMAN,Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)],1,High,1,1255,[],nucleus," Apical cell membrane {ECO:0000269|PubMed:11118479, ECO:0000269|PubMed:12832415, ECO:0000269|PubMed:12939402, ECO:0000269|PubMed:15471854, ECO:0000269|PubMed:15972891, ECO:0000269|PubMed:16507569, ECO:0000269|PubMed:17524503, ECO:0000269|PubMed:17545600}; Single-pass type I membrane protein {ECO:0000269|PubMed:11118479, ECO:0000269|PubMed:12832415, ECO:0000269|PubMed:12939402, ECO:0000269|PubMed:15471854, ECO:0000269|PubMed:15972891, ECO:0000269|PubMed:16507569, ECO:0000269|PubMed:17524503, ECO:0000269|PubMed:17545600}. Note=Exclusively located in the apical domain of the plasma membrane of highly polarized epithelial cells. After endocytosis, internalized and recycled to the cell membrane. Located to microvilli and to the tips of long filopodial protusions.;  [Isoform 5]: Secreted.;  [Isoform Y]: Secreted.;  [Isoform 9]: Secreted.;  [Mucin-1 subunit beta]: Cell membrane. Cytoplasm. Nucleus. Note=On EGF and PDGFRB stimulation, transported to the nucleus through interaction with CTNNB1, a process which is stimulated by phosphorylation. On HRG stimulation, colocalizes with JUP/gamma-catenin at the nucleus."
Q7Z434,MAVS_HUMAN,Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA),1,High,1,540,[],mitochondrion," Mitochondrion outer membrane {ECO:0000269|PubMed:16125763}. Mitochondrion {ECO:0000269|PubMed:11780052, ECO:0000269|PubMed:17709747, ECO:0000269|PubMed:20127681, ECO:0000269|PubMed:21170385}. Peroxisome {ECO:0000269|PubMed:20451243}."
Q9BR39,JPH2_HUMAN,Junctophilin-2 (JP-2) (Junctophilin type 2) [Cleaved into: Junctophilin-2 N-terminal fragment (JP2NT)],1,High,1,696,['Transcription Factor'],nucleus," [Junctophilin-2]: Cell membrane {ECO:0000250|UniProtKB:Q9ET78}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9ET78}. Sarcoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9ET78}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:Q9ET78}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9ET78}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:Q9ET78}. Note=The transmembrane domain is anchored in sarcoplasmic reticulum membrane, while the N-terminal part associates with the plasma membrane. In heart cells, it predominantly associates along Z lines within myocytes. In skeletal muscle, it is specifically localized at the junction of A and I bands. {ECO:0000250|UniProtKB:Q9ET78}.;  [Junctophilin-2 N-terminal fragment]: Nucleus {ECO:0000269|PubMed:30409805}. Note=Accumulates in the nucleus of stressed hearts. {ECO:0000250|UniProtKB:Q9ET78}."
O43561,LAT_HUMAN,Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38),1,High,1,262,[],Golgi apparatus," Cell membrane {ECO:0000269|PubMed:9489702, ECO:0000269|PubMed:9729044}; Single-pass type III membrane protein {ECO:0000269|PubMed:9489702, ECO:0000269|PubMed:9729044}. Note=Present in lipid rafts."
P31431,SDC4_HUMAN,Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein),1,High,1,198,['Receptor'],plasma membrane, [Isoform 1]: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000269|PubMed:9169435}. Note=Shedding of the ectodomain produces a soluble form. {ECO:0000269|PubMed:9169435}.;  [Isoform 2]: Secreted.
O75445,USH2A_HUMAN,Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein),0.98,High,1,5202,[],extracellular region," Cell projection, stereocilium membrane {ECO:0000269|PubMed:14676276}; Single-pass type I membrane protein {ECO:0000269|PubMed:14676276}. Note=Component of the interstereocilia ankle links in the inner ear sensory cells. In photoreceptors, localizes at a plasma membrane microdomain in the apical inner segment that surrounds the connecting cilia called periciliary membrane complex. {ECO:0000250|UniProtKB:Q2QI47}.;  [Isoform 2]: Secreted."
Q9UM73,ALK_HUMAN,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),0.97,High,1,1620,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",plasma membrane," Cell membrane {ECO:0000269|PubMed:16317043, ECO:0000269|PubMed:9174053}; Single-pass type I membrane protein {ECO:0000269|PubMed:16317043, ECO:0000269|PubMed:9174053}. Note=Membrane attachment was crucial for promotion of neuron-like differentiation and cell proliferation arrest through specific activation of the MAP kinase pathway."
Q9H461,FZD8_HUMAN,Frizzled-8 (Fz-8) (hFz8),0.94,High,7,694,"['GPCR', 'Receptor']",Golgi apparatus, Membrane; Multi-pass membrane protein. Golgi apparatus {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Colocalizes with GOPC at the Golgi apparatus. {ECO:0000250}.
O14763,TR10B_HUMAN,Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262),0.93,High,1,440,['Receptor'],plasma membrane, Membrane; Single-pass type I membrane protein.
P46531,NOTC1_HUMAN,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],0.93,High,1,2555,['Receptor'],extracellular region, Cell membrane {ECO:0000250|UniProtKB:Q01705}; Single-pass type I membrane protein {ECO:0000305|PubMed:30598546}.;  [Notch 1 intracellular domain]: Nucleus {ECO:0000250|UniProtKB:Q01705}. Note=Following proteolytical processing NICD is translocated to the nucleus. Nuclear location may require MEGF10. {ECO:0000250|UniProtKB:Q01705}.
Q8N114,SHSA5_HUMAN,Protein shisa-5 (Putative NF-kappa-B-activating protein 120) (Scotin),0.86,High,1,240,[],endoplasmic reticulum, Endoplasmic reticulum membrane {ECO:0000269|PubMed:12135983}; Single-pass type I membrane protein {ECO:0000269|PubMed:12135983}. Nucleus membrane {ECO:0000269|PubMed:12135983}.
