protein,degree,pllps_score,is_high_pllps
Q8IXK0,3,1.0,True
Q6W2J9,3,1.0,True
P51610,3,1.0,True
Q09472,3,1.0,True
Q8NDX5,3,1.0,True
P78364,3,1.0,True
Q96JK9,2,1.0,True
Q8IZL2,2,1.0,True
Q8NEZ4,2,1.0,True
Q03164,2,1.0,True
O14686,2,1.0,True
Q76L83,2,1.0,True
Q96CJ1,2,0.9,True
Q9UNY4,2,0.9,True
Q03468,2,0.99,True
Q13094,2,1.0,True
O95835,2,1.0,True
Q99459,2,0.96,True
Q15811,2,0.98,True
Q06587,2,0.98,True
