UniProt_ID,region,n_residues,n_fragments,score
O00254,Cytoplasmic,55,4,0.2342242209703877
O14763,Cytoplasmic,209,1,0.4498729377118284
O43561,Cytoplasmic,235,1,0.4544761708546457
O60500,Cytoplasmic,166,1,0.3537785842163318
O75460,Cytoplasmic,513,1,0.7758538234529484
O75581,Cytoplasmic,220,1,0.4354060534904835
P00533,Cytoplasmic,542,1,0.8183654506478608
P01857,Cytoplasmic,28,1,0.2947084860969418
P04626,Cytoplasmic,580,1,0.7953411621610624
P05067,Cytoplasmic,48,1,0.6014346960958739
P05556,Cytoplasmic,47,1,0.7392075418370958
P07766,Cytoplasmic,55,1,0.831665910748056
P07949,Cytoplasmic,457,1,0.6601118430847157
P08172,Cytoplasmic,239,4,0.8355063140036926
P08247,Cytoplasmic,122,3,0.7346223275908816
P08908,Cytoplasmic,183,4,0.904220394218737
P10747,Cytoplasmic,41,1,0.3867483023072016
P11362,Cytoplasmic,425,1,0.810063951372265
P13569,Cytoplasmic,1122,7,0.65917859070974
P15529,Cytoplasmic,26,1,0.6372316589091136
P15941,Cytoplasmic,74,1,0.5241433607162015
P17948,Cytoplasmic,558,1,0.8002284278510552
P20963,Cytoplasmic,113,1,0.7015714075729382
P21802,Cytoplasmic,423,1,0.8485446490918463
P29317,Cytoplasmic,418,1,0.8416441913880403
P31431,Cytoplasmic,28,1,0.7334203996945157
P31645,Cytoplasmic,208,7,0.5475005913604755
P35968,Cytoplasmic,571,1,0.8213420218929204
P40967,Cytoplasmic,45,1,0.1499158501095961
P46531,Cytoplasmic,799,1,0.7060837555475514
P49146,Cytoplasmic,112,4,0.589715958079406
P61073,Cytoplasmic,113,4,0.4553596858033638
P63027,Cytoplasmic,93,1,0.6180425619501736
Q03135,Cytoplasmic,156,2,0.3338861972648543
Q04671,Cytoplasmic,339,7,0.1661461268288948
Q07065,Cytoplasmic,106,1,0.7911327663236672
Q08345,Cytoplasmic,475,1,0.4056786069350552
Q12879,Cytoplasmic,663,3,0.4673723288038459
Q14739,Cytoplasmic,211,1,0.8889028585754365
Q14BN4,Cytoplasmic,802,1,0.6733664874268235
Q15303,Cytoplasmic,633,1,0.8622924656144291
Q7Z3C6,Cytoplasmic,653,7,0.0780793040839423
Q7Z434,Cytoplasmic,512,1,0.4121424067175262
Q86WV6,Cytoplasmic,284,3,0.207588441178412
Q8N114,Cytoplasmic,114,1,0.2059411933435675
Q8TEM1,Cytoplasmic,1840,2,0.476826103851095
Q9BR39,Cytoplasmic,674,1,0.7819438935940052
Q9H461,Cytoplasmic,155,4,0.1749305404526225
Q9UM73,Cytoplasmic,561,1,0.6946259224287519
Q9Y624,Cytoplasmic,40,1,0.6694326394443453
O00254,Transmembrane,162,7,0.055593362288932
O14763,Transmembrane,21,1,0.354422216350199
O43561,Transmembrane,23,1,0.1229976951993802
O60500,Transmembrane,21,1,0.1873497875191596
O60733,Transmembrane,42,2,0.1411974831805178
O75460,Transmembrane,21,1,0.094175743069984
O75581,Transmembrane,23,1,0.4718774808809676
P00533,Transmembrane,23,1,0.1365610564519112
P01857,Transmembrane,21,1,0.1753619322104155
P04626,Transmembrane,23,1,0.2202919945159137
P05067,Transmembrane,21,1,0.3190834708206735
P05556,Transmembrane,23,1,0.203117964369817
P07766,Transmembrane,26,1,0.1119859243192283
P07949,Transmembrane,22,1,0.1818935819367738
P08172,Transmembrane,173,7,0.069733312532584
P08247,Transmembrane,96,4,0.0973953627623886
P08908,Transmembrane,165,7,0.0967834800804101
P10747,Transmembrane,27,1,0.1273939819807759
P11362,Transmembrane,21,1,0.2299648483360026
P13569,Transmembrane,253,12,0.0747877730660554
P15529,Transmembrane,23,1,0.3090058917732572
P15941,Transmembrane,23,1,0.1060894465365108
P15954,Transmembrane,27,1,0.1501589079890298
P17948,Transmembrane,22,1,0.0390872827257756
P20963,Transmembrane,21,1,0.1491822258979562
P21802,Transmembrane,21,1,0.2302290947942772
P29317,Transmembrane,21,1,0.1820979316848612
P31431,Transmembrane,25,1,0.2494276551054557
P31645,Transmembrane,258,12,0.0638470455267901
P35968,Transmembrane,21,1,0.1061142327069294
P40967,Transmembrane,21,1,0.1048209219104127
P46531,Transmembrane,21,1,0.0777515812716592
P49146,Transmembrane,182,7,0.0719645506335693
P61073,Transmembrane,148,7,0.0584775624984082
P63027,Transmembrane,20,1,0.3177540634816038
Q04671,Transmembrane,205,12,0.0695834998395834
Q07065,Transmembrane,21,1,0.1545170500716061
Q08345,Transmembrane,21,1,0.1329117651313263
Q12879,Transmembrane,62,3,0.1372739794279309
Q13021,Transmembrane,84,4,0.11835281905094
Q14739,Transmembrane,168,8,0.0672030243264992
Q14BN4,Transmembrane,21,1,0.1496479327736612
Q15303,Transmembrane,24,1,0.1592532019367138
Q7Z3C6,Transmembrane,93,4,0.1981097142495027
Q7Z434,Transmembrane,21,1,0.1007216676279185
Q86WV6,Transmembrane,75,4,0.0666510395172991
Q8N114,Transmembrane,21,1,0.2525829753409531
Q8NC56,Transmembrane,42,2,0.0662072688590473
Q8TEM1,Transmembrane,21,1,0.2218145779065797
Q9BR39,Transmembrane,21,1,0.1287184715763509
Q9BRQ8,Transmembrane,21,1,0.4762641173760933
Q9H3U5,Transmembrane,253,12,0.0358703773696757
Q9H461,Transmembrane,147,7,0.0812082680818908
Q9UJA2,Transmembrane,107,5,0.1740102297648076
Q9UM73,Transmembrane,21,1,0.2237207470827999
Q9Y624,Transmembrane,21,1,0.1762981896908655
O00254,Extracellular/Lumenal,119,4,0.1136493099972672
O14763,Extracellular/Lumenal,155,1,0.2021964289193442
O60500,Extracellular/Lumenal,1032,1,0.3085671604813687
O75460,Extracellular/Lumenal,425,1,0.4446922272635511
O75581,Extracellular/Lumenal,1351,1,0.4912942556606597
P00533,Extracellular/Lumenal,621,1,0.5806229431493711
P01857,Extracellular/Lumenal,350,1,0.3844259720718784
P04626,Extracellular/Lumenal,630,1,0.2042742274441187
P05067,Extracellular/Lumenal,684,1,0.8084428230340511
P05556,Extracellular/Lumenal,708,1,0.7119750700596916
P07766,Extracellular/Lumenal,104,1,0.4539686789616895
P07949,Extracellular/Lumenal,607,1,0.1699603155669501
P08172,Extracellular/Lumenal,54,4,0.2222221185269823
P08908,Extracellular/Lumenal,74,4,0.3549329612773827
P10747,Extracellular/Lumenal,134,1,0.3218205301192947
P11362,Extracellular/Lumenal,355,1,0.6008378846899722
P13569,Extracellular/Lumenal,105,6,0.0859162843931782
P15529,Extracellular/Lumenal,309,1,0.6049235975231909
P15941,Extracellular/Lumenal,1135,1,0.6727861611624806
P17948,Extracellular/Lumenal,732,1,0.8067555371486275
P21802,Extracellular/Lumenal,356,1,0.654645564360994
P29317,Extracellular/Lumenal,514,1,0.3057503828205671
P31431,Extracellular/Lumenal,127,1,0.4751893077489919
P31645,Extracellular/Lumenal,164,6,0.194304388950471
P35968,Extracellular/Lumenal,745,1,0.4222737460806858
P40967,Extracellular/Lumenal,126,1,0.2275719408806902
P46531,Extracellular/Lumenal,1717,1,0.1467426109661093
P49146,Extracellular/Lumenal,87,4,0.5405347409641296
P61073,Extracellular/Lumenal,91,4,0.3317845869827178
Q04671,Extracellular/Lumenal,294,6,0.1806635731182603
Q07065,Extracellular/Lumenal,475,1,0.8482287355242839
Q08345,Extracellular/Lumenal,397,1,0.3174381600866002
Q12879,Extracellular/Lumenal,702,2,0.6283789776064044
Q15303,Extracellular/Lumenal,626,1,0.4119244283172237
Q7Z3C6,Extracellular/Lumenal,53,2,0.4475532177950207
Q86WV6,Extracellular/Lumenal,20,2,0.7064226859084344
Q8N114,Extracellular/Lumenal,77,1,0.1582896054008933
Q9H461,Extracellular/Lumenal,365,4,0.3749650561573173
Q9UM73,Extracellular/Lumenal,1020,1,0.216827250578232
Q9Y624,Extracellular/Lumenal,211,1,0.6221972675322845
