UniProt_ID,region,length,fuzdrop_score
P15941,Cytoplasmic,74,0.6441
Q7Z434,Cytoplasmic,512,0.9947
Q9BR39,Cytoplasmic,674,0.9499
O43561,Cytoplasmic,235,0.9887
O75445,Cytoplasmic,139,0.124
Q9UM73,Cytoplasmic,561,0.2101
Q9H461,Cytoplasmic,155,0.6125
O14763,Cytoplasmic,209,0.258
P46531,Cytoplasmic,799,0.4358
Q8N114,Cytoplasmic,114,0.9228
Q07065,Cytoplasmic,106,0.9926
P08172,Cytoplasmic,239,0.5564
Q08345,Cytoplasmic,475,0.1626
O60500,Cytoplasmic,166,0.7994
P05067,Cytoplasmic,48,0.2044
Q8WXG9,Cytoplasmic,196,0.5022
P11362,Cytoplasmic,425,0.1748
P20963,Cytoplasmic,113,0.9859
P04626,Cytoplasmic,580,0.2757
O75460,Cytoplasmic,513,0.1101
P35968,Cytoplasmic,571,0.3997
Q12879,Cytoplasmic,663,0.4962
Q86WV6,Cytoplasmic,284,0.4091
P07949,Cytoplasmic,457,0.1202
P08908,Cytoplasmic,183,0.1939
Q7Z3C6,Cytoplasmic,653,0.1688
O75581,Cytoplasmic,220,0.7289
P63027,Cytoplasmic,93,0.994
Q04671,Cytoplasmic,339,0.2706
Q14BN4,Cytoplasmic,802,0.6004
Q8TEM1,Cytoplasmic,58,0.9895
P00533,Cytoplasmic,542,0.139
P21802,Cytoplasmic,423,0.1759
P08247,Cytoplasmic,122,0.9639
P29317,Cytoplasmic,418,0.1001
P17948,Cytoplasmic,558,0.1705
P61073,Cytoplasmic,113,0.2594
Q15303,Cytoplasmic,633,0.2437
O00254,Cytoplasmic,55,0.1343
P31645,Cytoplasmic,208,0.2867
P49146,Cytoplasmic,112,0.1504
P13569,Cytoplasmic,1122,0.1299
Q03135,Cytoplasmic,156,0.2113
Q9H461,Transmembrane,147,0.1476
P08172,Transmembrane,173,0.1928
Q8WXG9,Transmembrane,147,0.1367
Q12879,Transmembrane,62,0.1513
Q86WV6,Transmembrane,75,0.1595
P08908,Transmembrane,165,0.1587
Q7Z3C6,Transmembrane,93,0.1339
Q04671,Transmembrane,205,0.1585
Q9UJA2,Transmembrane,107,0.1496
P08247,Transmembrane,96,0.166
Q14739,Transmembrane,168,0.117
P61073,Transmembrane,148,0.1216
O00254,Transmembrane,162,0.123
Q9H3U5,Transmembrane,253,0.1146
P31645,Transmembrane,258,0.1146
P49146,Transmembrane,182,0.1134
P13569,Transmembrane,253,0.1206
Q13021,Transmembrane,84,0.2033
P15941,Extracellular/Lumenal,1135,0.9987
O43561,Extracellular/Lumenal,4,0.232
P31431,Extracellular/Lumenal,127,0.9798
O75445,Extracellular/Lumenal,5011,0.0935
Q9UM73,Extracellular/Lumenal,1020,0.1005
Q9H461,Extracellular/Lumenal,365,0.1583
O14763,Extracellular/Lumenal,155,0.1709
P46531,Extracellular/Lumenal,1717,0.1047
Q8N114,Extracellular/Lumenal,77,0.1363
Q07065,Extracellular/Lumenal,475,0.9913
P08172,Extracellular/Lumenal,54,0.1245
Q08345,Extracellular/Lumenal,397,0.1104
O60500,Extracellular/Lumenal,1032,0.1018
P05067,Extracellular/Lumenal,684,0.1887
Q8WXG9,Extracellular/Lumenal,5934,0.0931
P11362,Extracellular/Lumenal,355,0.1735
P40967,Extracellular/Lumenal,126,0.1148
P07766,Extracellular/Lumenal,104,0.2007
P04626,Extracellular/Lumenal,630,0.0948
O75460,Extracellular/Lumenal,425,0.1057
P35968,Extracellular/Lumenal,745,0.0929
Q12879,Extracellular/Lumenal,702,0.0921
P07949,Extracellular/Lumenal,607,0.1
P08908,Extracellular/Lumenal,74,0.2259
P01857,Extracellular/Lumenal,330,0.3486
Q7Z3C6,Extracellular/Lumenal,53,0.1035
O75581,Extracellular/Lumenal,1351,0.0908
P63027,Extracellular/Lumenal,2,0.188
Q04671,Extracellular/Lumenal,294,0.0962
P15529,Extracellular/Lumenal,309,0.1167
Q8TEM1,Extracellular/Lumenal,1782,0.0936
P00533,Extracellular/Lumenal,621,0.0954
P21802,Extracellular/Lumenal,356,0.1013
P08247,Extracellular/Lumenal,95,0.1034
Q14739,Extracellular/Lumenal,211,0.7897
P29317,Extracellular/Lumenal,514,0.1302
P17948,Extracellular/Lumenal,732,0.0955
P05556,Extracellular/Lumenal,708,0.1072
P10747,Extracellular/Lumenal,134,0.1073
P61073,Extracellular/Lumenal,91,0.124
Q15303,Extracellular/Lumenal,626,0.0956
O00254,Extracellular/Lumenal,119,0.0921
Q9Y624,Extracellular/Lumenal,211,0.1102
P31645,Extracellular/Lumenal,164,0.0894
P49146,Extracellular/Lumenal,87,0.5788
P13569,Extracellular/Lumenal,105,0.1005
