Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9ULI4,KI26A_HUMAN,Kinesin-like protein KIF26A,1.0
2,Q2KJY2,KI26B_HUMAN,Kinesin-like protein KIF26B,1.0
3,Q96L91,EP400_HUMAN,E1A-binding protein p400 (EC 3.6.4.-) (CAG repeat protein 32) (Domino homolog) (hDomino) (Trinucleotide repeat-containing gene 12 protein) (p400 kDa SWI2/SNF2-related protein),1.0
4,A7KAX9,RHG32_HUMAN,Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP),1.0
5,Q86YV5,PRAG1_HUMAN,Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223),1.0
6,Q01484,ANK2_HUMAN,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin),1.0
7,Q9P227,RHG23_HUMAN,Rho GTPase-activating protein 23 (Rho-type GTPase-activating protein 23),1.0
8,O43166,SI1L1_HUMAN,Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1) (High-risk human papilloma viruses E6 oncoproteins targeted protein 1) (E6-targeted protein 1),1.0
9,Q5T5U3,RHG21_HUMAN,Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21),1.0
10,Q8TD26,CHD6_HUMAN,Chromodomain-helicase-DNA-binding protein 6 (CHD-6) (EC 3.6.4.12) (ATP-dependent helicase CHD6) (Radiation-induced gene B protein),1.0
11,O14559,RHG33_HUMAN,Rho GTPase-activating protein 33 (Rho-type GTPase-activating protein 33) (Sorting nexin-26) (Tc10/CDC42 GTPase-activating protein),1.0
12,Q969V6,MRTFA_HUMAN,Myocardin-related transcription factor A (MRTF-A) (MKL/myocardin-like protein 1) (Megakaryoblastic leukemia 1 protein) (Megakaryocytic acute leukemia protein),1.0
13,Q70CQ4,UBP31_HUMAN,Ubiquitin carboxyl-terminal hydrolase 31 (EC 3.4.19.12) (Deubiquitinating enzyme 31) (Ubiquitin thioesterase 31) (Ubiquitin-specific-processing protease 31),1.0
14,Q14160,SCRIB_HUMAN,Protein scribble homolog (Scribble) (hScrib) (Protein LAP4),1.0
15,Q99490,AGAP2_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)",1.0
16,Q9H9J4,UBP42_HUMAN,Ubiquitin carboxyl-terminal hydrolase 42 (EC 3.4.19.12) (Deubiquitinating enzyme 42) (Ubiquitin thioesterase 42) (Ubiquitin-specific-processing protease 42),1.0
17,Q70EL1,UBP54_HUMAN,Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54),1.0
18,P11831,SRF_HUMAN,Serum response factor (SRF),1.0
19,Q9P275,UBP36_HUMAN,Ubiquitin carboxyl-terminal hydrolase 36 (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36),1.0
20,O15085,ARHGB_HUMAN,Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),1.0
21,O43182,RHG06_HUMAN,Rho GTPase-activating protein 6 (Rho-type GTPase-activating protein 6) (Rho-type GTPase-activating protein RhoGAPX-1),1.0
22,Q2M1Z3,RHG31_HUMAN,Rho GTPase-activating protein 31 (Cdc42 GTPase-activating protein),1.0
23,Q96QB1,RHG07_HUMAN,Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein) (DLC-1) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12),1.0
24,P23588,IF4B_HUMAN,Eukaryotic translation initiation factor 4B (eIF-4B),1.0
25,Q7Z6I6,RHG30_HUMAN,Rho GTPase-activating protein 30 (Rho-type GTPase-activating protein 30),1.0
26,Q4KMP7,TB10B_HUMAN,TBC1 domain family member 10B (Rab27A-GAP-beta),1.0
27,Q9Y6N7,ROBO1_HUMAN,Roundabout homolog 1 (Deleted in U twenty twenty) (H-Robo-1),1.0
28,O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),1.0
29,Q3L8U1,CHD9_HUMAN,Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (Chromatin-related mesenchymal modulator) (CReMM) (Chromatin-remodeling factor CHROM1) (Kismet homolog 2) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein),1.0
30,Q96PV0,SYGP1_HUMAN,Ras/Rap GTPase-activating protein SynGAP (Neuronal RasGAP) (Synaptic Ras GTPase-activating protein 1) (Synaptic Ras-GAP 1),1.0
31,O15234,CASC3_HUMAN,Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz),1.0
32,Q9UKN7,MYO15_HUMAN,Unconventional myosin-XV (Unconventional myosin-15),1.0
33,Q14978,NOLC1_HUMAN,Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130),1.0
34,Q9NW75,GPTC2_HUMAN,G patch domain-containing protein 2,1.0
35,Q9UER7,DAXX_HUMAN,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),1.0
36,Q8TAQ2,SMRC2_HUMAN,SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2),1.0
37,Q8WU79,SMAP2_HUMAN,Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like),1.0
38,Q68EM7,RHG17_HUMAN,Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1),1.0
39,Q9UN86,G3BP2_HUMAN,Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2),1.0
40,Q8IYT8,ULK2_HUMAN,Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2),1.0
41,Q70EL4,UBP43_HUMAN,Ubiquitin carboxyl-terminal hydrolase 43 (EC 3.4.19.12) (Deubiquitinating enzyme 43) (Ubiquitin thioesterase 43) (Ubiquitin-specific-processing protease 43),1.0
42,Q05682,CALD1_HUMAN,Caldesmon (CDM),1.0
43,Q96FS4,SIPA1_HUMAN,Signal-induced proliferation-associated protein 1 (Sipa-1) (GTPase-activating protein Spa-1) (p130 SPA-1),1.0
44,P46937,YAP1_HUMAN,Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog),1.0
45,Q5U651,RAIN_HUMAN,Ras-interacting protein 1 (Rain),1.0
46,O14924,RGS12_HUMAN,Regulator of G-protein signaling 12 (RGS12),1.0
47,P49321,NASP_HUMAN,Nuclear autoantigenic sperm protein (NASP),1.0
48,Q9BZI7,REN3B_HUMAN,Regulator of nonsense transcripts 3B (Nonsense mRNA reducing factor 3B) (Up-frameshift suppressor 3 homolog B) (hUpf3B) (Up-frameshift suppressor 3 homolog on chromosome X) (hUpf3p-X),1.0
49,P45378,TNNT3_HUMAN,"Troponin T, fast skeletal muscle (TnTf) (Beta-TnTF) (Fast skeletal muscle troponin T) (fTnT)",1.0
50,Q6ZW31,SYDE1_HUMAN,Rho GTPase-activating protein SYDE1 (Synapse defective protein 1 homolog 1) (Protein syd-1 homolog 1),1.0
51,P45379,TNNT2_HUMAN,"Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)",0.99
52,Q92574,TSC1_HUMAN,Hamartin (Tuberous sclerosis 1 protein),0.99
53,Q92560,BAP1_HUMAN,Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Cerebral protein 6),0.99
