UniProt_ID,score
O00254,0.0067556067
O14763,0.005453388
O43561,0.8835028
O60500,0.19236472
O60733,0.095477454
O75445,0.1819633
O75460,0.13928577
O75581,0.56313956
P00533,0.9948772
P01857,0.37336266
P04626,0.97369987
P05067,0.8443614
P05556,0.3943021
P07766,0.061977915
P07949,0.91190875
P08172,0.05264176
P08247,0.09619441
P08908,0.8727934
P10747,0.08280896
P11362,0.47035217
P13569,0.021911938
P15529,0.0045261797
P15941,0.14811698
P15954,0.49630556
P17948,0.9283825
P20963,0.7059225
P21802,0.9132317
P31431,0.02247028
P31645,0.011828845
P35968,0.8592192
P40967,0.89362746
P46531,0.03198308
P49146,0.0028923738
P29317,0.83137894
P61073,0.24888709
P63027,0.091656424
Q03135,0.9744093
Q04671,0.00041875648
Q07065,0.75943923
Q08345,0.092777506
Q12879,0.21759966
Q13021,0.036293495
Q14739,0.5698512
Q14BN4,0.58318293
Q15303,0.9430021
Q16635,0.009672598
Q7Z3C6,0.0078108557
Q7Z434,0.97495615
Q9UM73,0.72956294
Q9Y624,0.1137257
Q86WV6,0.7079318
Q8N114,0.0060578524
Q8NC56,0.9496786
Q8TEM1,0.08759173
Q8WXG9,0.022319196
Q9BR39,0.5504534
Q9BRQ8,0.102038205
Q9H3U5,0.01865598
Q9H461,0.0016049944
Q9UJA2,0.0030629006
